"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.793246208407765,0.000495840860362398,0.123861046918527,0.00753678107750845,0.00642795193856133,0.00109084989279728,0.00128918623694224,0.00277670881802943,0.0416506322704415,0.0137843759180747,0.000297504516217439,3.03488818809614e-07,3.34719272157915e-06,2.22653631435836e-05,8.26070873363756e-06,8.3102928196738e-05,2.62214702394552e-07,4.3535394528171e-06,2.97504516217439e-08,7.69545015282442e-06,0.00010447994193521,2.57837247388447e-07,1.51727303270894e-05,0.000458156954974856,1.80486073171913e-06,1.65610847361041e-06,3.04446288262513e-07,4.46256774326158e-08,0.00292659248186656,5.66646935222149e-05,2.71720791478594e-06,3.67889462802181e-06,9.32180817481309e-07,1.49743939829444e-07,2.06269797910758e-06,0.000614842666849374,3.57005419460927e-08,1.58669075315967e-07,0.000177511028009739,5.30549720587766e-06,6.94177204507358e-06,1.19001806486976e-05,1.27926941973499e-06,0.00264382346745231,0,8.33012645408829e-06,2.64779019433521e-06,2.66940126777296e-07,3.59980464623101e-06,0.00011823358428216,2.09672400172157e-05,0.000141810486063646,4.8592404315515e-07,5.8509221522763e-06,1.94171280917915e-05,4.46256774326158e-08,4.50223501209058e-06,4.8592404315515e-06,6.29717892660246e-06,6.98143931390257e-06,3.04446288262513e-07,2.70729109757869e-05,4.90882451758774e-06,0
0.794469882742945,0.00049847526837931,0.122924001182338,0.00697865375731034,0.00558292300584828,0.00109664559043448,0.00129603569778621,0.00338963182497931,0.0419716175975379,0.0139573075146207,0.000299085161027586,3.03488818809674e-07,3.34719272157981e-06,2.2265363143588e-05,8.76518911918179e-06,5.10937150088793e-05,2.62214702394604e-07,4.35353945281796e-06,1.29603569778621e-08,6.64666922856972e-06,0.000104479941935231,3.09054666395172e-07,2.09459307772986e-05,0.000416825019418779,1.26313633007317e-06,1.66789824799717e-06,3.92798511482897e-07,4.88505763011724e-08,0.00292659248186714,5.63177358214945e-05,2.52627266014634e-06,3.67889462802254e-06,1.09166083775069e-06,1.74466343932759e-07,2.14244670349428e-06,0.000785597022965793,5.18414279114483e-08,2.29298623454483e-07,0.000185432799837103,4.06755818997517e-06,1.37878259233717e-06,5.09740809444683e-06,1.07670657969931e-06,0.00260503175255028,0,7.96651495040559e-06,2.85925413942372e-06,2.66940126777349e-07,2.85227548566641e-06,9.945578554704e-05,8.76419216864504e-06,0.000112309761462153,4.88505763011724e-07,4.79533208180897e-06,1.59412390827703e-05,5.7823131132e-08,4.26096659410635e-06,2.56253369175205e-06,8.59570752793283e-06,7.86893058663579e-06,4.14731423291586e-07,2.7296505696451e-05,5.50715476505462e-06,6.40982966704229e-09
0.79975,0.000733,0.1175,0.00738,0.0064279519385626,0.000719,0.00151,0.00294,0.04155,0.01302,0.00012,3.03488818809674e-07,3.34719272157981e-06,2.2265363143588e-05,3.17e-05,1.7e-05,2.62214702394604e-07,4.35353945281796e-06,2.25563366295668e-07,3.36e-06,9.6e-05,2e-06,1.5e-05,0.0003718,8.4e-06,1.12e-06,2.5e-07,4e-08,0.003344,5.25686001089234e-05,1.25e-06,1.53e-06,1.63e-06,1.2e-07,6.2e-07,0.000644,4e-08,2.8e-06,0.000172,2.5e-06,4.6e-06,1.3e-05,1.275e-05,0.002377,7.1e-05,7.96651495040559e-06,3.6e-06,2.66940126777349e-07,1.74e-06,0.00016,4.3e-05,0.0001477,2.7e-07,4.6e-06,1.262e-05,4e-08,4.55e-06,5.2e-06,1.11e-05,3.62e-06,2.3e-07,2.75949061577163e-05,1e-05,0.000627113737888152
0.772,7e-04,0.1249,0.0074,0.0064279519385626,0.001,0.0018,0.0031,0.0283,0.015,0.000296264808957179,3.03488818809674e-07,3.34719272157981e-06,2.2265363143588e-05,1.42e-05,4.24928736355678e-05,3e-06,4.35353945281796e-06,2.6e-06,1.39e-05,0.000104479941935231,5.92790169578643e-07,1.98e-05,0.0004387,3.9e-06,1.41314251506938e-06,2.76088536958689e-07,4.68277149757811e-08,0.00292659248186714,5.93e-05,2.28704573189878e-06,4.9e-06,3e-06,0,1.9e-05,0.000566629178072598,3.40100542403055e-08,5.67731785136691e-07,0.0001284,1.52e-05,1.8e-06,4.6e-06,1.2449745727868e-06,0.002424,5.86e-05,1.38e-05,2.99566769163688e-06,2e-07,2.79137229414484e-06,0.0001892,3.44e-05,0.0001282,4.05056860605762e-07,1.49e-05,1.05e-05,3.93613214925185e-08,1.9e-06,1.96e-05,1.18e-05,1.82e-05,0,3.15e-05,2.4e-06,0.0316990251235844
0.7006,0.00053,0.12181,0.00774,0.0127,0.00102,0.00123,0.00274,0.0425,0.01369,0.00047,3.03488818809674e-07,3.34719272157981e-06,2.2265363143588e-05,8.19e-06,4.24928736355678e-05,2.62214702394604e-07,4.35353945281796e-06,2.25563366295668e-07,7.99e-06,0.000104479941935231,2.3e-07,1.179e-05,0.0003859,1.006e-06,1.769e-06,2.99e-07,4e-08,0.00292659248186714,5.534e-05,2.91e-06,3.67889462802254e-06,1.196e-06,1.64e-07,2.087e-06,0.000566629178072598,4.2e-08,5.67731785136691e-07,0.00017938,5.7e-06,5.54e-07,5.98e-06,1.398e-06,0.002322,0,7.96651495040559e-06,1.216e-06,2.66940126777349e-07,3.76e-06,0.000118233584282184,8.75e-06,0.00012894,4.98e-07,5.16e-06,1.24023623917097e-05,4.8e-08,4.05e-06,3.3e-07,5.54615535651699e-06,7.83e-06,3.2e-07,2.3e-05,5.81e-06,0.0879667089787632
0.796451450404324,0.000530702613571137,0.120054074380886,0.00746660811940065,0.00695677583332951,0.00104550402523752,0.0012392999234517,0.00433506516928333,0.040726953378549,0.0137147866428496,0.000296264808957179,3.03488818809674e-07,1.19259014285649e-06,2.2265363143588e-05,9.24257360713777e-06,4.44239828214041e-05,2.62214702394604e-07,4.35353945281796e-06,2.25563366295668e-07,7.75183592856716e-06,0.000117271364047555,4.34301577023571e-07,1.84851472142755e-05,0.000413431249523582,4.05480648571206e-06,1.60999669285626e-06,3.08085786904592e-07,4.1740654999977e-07,0.00276283383095086,4.81011357618783e-05,2.62369831428427e-06,4.8200518273783e-06,1.34166391071355e-06,1.49073767857061e-07,2.07709449880838e-06,3.30277901812914e-05,3.77653545237888e-08,8.84504355951894e-07,0.000197771198690367,5.51572941071125e-06,6.71825780475821e-06,6.35054251071079e-06,1.32178740833261e-06,0.00301129011071263,0,6.36048076190126e-06,8.69895126701902e-06,2.66940126777349e-07,3.41875840952193e-06,0.000177894696309426,4.581533798807e-05,0.000131184915714214,4.67097805952124e-07,5.19770537261619e-06,8.11955122261458e-06,4.47221303571183e-08,5.68467968094925e-06,6.71825780475821e-06,4.91943433928301e-06,9.63016540356613e-06,2.88209284523651e-07,2.9516606035698e-05,6.82757856785339e-06,5.62866612319191e-07
0.797619890361075,0.000597691937325646,0.122526847151757,0.00747114921657057,0.0064279519385626,0.00109576855176368,0.000896537905988469,0.00288884436374062,0.0397465138321555,0.0130496072982766,0.000298845968662823,3.03488818809674e-07,3.34719272157981e-06,2.2265363143588e-05,1.79307581197694e-05,4.24928736355678e-05,2.62214702394604e-07,4.35353945281796e-06,2.25563366295668e-07,0,0.000104479941935231,5.92790169578643e-07,1.19538387465129e-05,0.000414290508497919,5.97691937325646e-06,1.41314251506938e-06,2.76088536958689e-07,4.68277149757811e-08,0.00292659248186714,5.37922743593081e-05,2.28704573189878e-06,6.97307260213254e-06,1.21112116452587e-06,0,0,0.000653476518142706,3.40100542403055e-08,5.67731785136691e-07,0.000139461452042651,5.06259071479244e-06,0,1.59384516620172e-05,1.2449745727868e-06,0.00252823689488748,0,7.96922583100861e-06,2.99566769163688e-06,2.66940126777349e-07,2.79137229414484e-06,0.000145438371415907,3.38692097817866e-05,0.000122526847151757,4.05056860605762e-07,4.98105782930765e-06,1.24023623917097e-05,3.93613214925185e-08,3.85455373300392e-06,2.56253369175205e-06,7.96922583100861e-06,3.48653630106627e-05,0,2.5899983950778e-05,3.98461291550431e-06,2.44005725558161e-06
0.790910417267723,0.000528270348017508,0.124891084163385,0.00727617649156191,0.0064279519385626,0.00109641015626275,0.000219282031252551,0.0037676639915211,0.0430390823158415,0.0141137889206187,0.000239216761366419,3.03488818809674e-07,3.34719272157981e-06,2.2265363143588e-05,2.19282031252551e-05,4.24928736355678e-05,2.62214702394604e-07,4.35353945281796e-06,2.25563366295668e-07,0,0.000119608380683209,5.92790169578643e-07,4.68466157675904e-06,0.000436570589493715,5.98041903416047e-07,1.41314251506938e-06,2.76088536958689e-07,4.68277149757811e-08,0.00292659248186714,6.54855884240572e-05,2.28704573189878e-06,3.67889462802254e-06,1.21112116452587e-06,0,0,0.000566629178072598,3.40100542403055e-08,5.67731785136691e-07,0.000166255649149661,5.06259071479244e-06,0,7.16561607485293e-06,1.2449745727868e-06,0.00271610697801455,0,7.67487109383928e-06,2.69118856537221e-06,2.66940126777349e-07,2.79137229414484e-06,0.00018459560085442,1.46520266336932e-05,9.14007375720859e-05,4.05056860605762e-07,1.6944520596788e-06,1.24023623917097e-05,3.93613214925185e-08,5.98041903416047e-07,2.56253369175205e-06,5.54615535651699e-06,7.57519744326993e-06,0,2.47190653411966e-05,4.5849879261897e-06,5.16484063728395e-06
0.7925281,0.000585221,0.123937905,0.008044309,0.0064279519385626,0.000535,0.000431,0.003213756,0.0406530215,0.0138022885,3e-04,3.03488818809674e-07,2.48473420516537e-06,2.2265363143588e-05,4.16e-06,5.32e-05,1.9e-07,4.35353945281796e-06,2.25563366295668e-07,3.65899011760023e-06,0.000122,2.3e-07,1.55142348501635e-05,0.000298,1.3e-06,4.92460687321012e-07,8.31886517145496e-08,2.11338649865372e-08,0.002495,4.72e-05,9.03294913665113e-07,3.67889462802254e-06,9.7e-07,4.31557786678595e-08,8.93274405616173e-07,0.00104,1.25229978419595e-08,2.7e-07,0.00018,2.25185376783218e-06,1.6e-06,4.87e-06,5.46159780760227e-07,0.00204,0.000177,7.04e-06,5.1e-06,2.66940126777349e-07,1.36955583190354e-06,0.000103,2.09672400172199e-05,0.000117170112906554,1.5157548449388e-07,2.25880599141876e-06,1.29e-05,1.2107319431191e-08,2.71750769501051e-06,2.56253369175205e-06,6.38e-06,1.55733143529973e-06,9.67215962491076e-08,2.4e-05,5.5639582284034e-06,0.00270461081768203
0.794595408528923,0.000499745539955297,0.123736995692932,0.00719633577535628,0.00599694647946357,0.00106945545550434,0.000899541971919535,0.00269862591575861,0.041978625356245,0.013493129578793,0.000209893126781225,3.03488818809674e-07,3.34719272157981e-06,2.2265363143588e-05,8.395725071249e-06,7.99592863928476e-05,2.62214702394604e-07,4.35353945281796e-06,2.25563366295668e-07,8.31576578485615e-06,0.000104479941935231,5.92790169578643e-07,1.79908394383907e-05,0.000442774548400393,2.76501955547065e-06,1.69913483584801e-06,3.1983714557139e-07,4.99745539955297e-08,0.00320636738435319,6.79653934339205e-05,3.0284579721291e-06,3.67889462802254e-06,1.05946054470523e-06,1.59918572785695e-07,2.11892108941046e-06,0.000566629178072598,3.99796431964238e-08,5.67731785136691e-07,0.000168913992504891,5.8870024606734e-06,0,7.46619836693214e-06,1.43926715507126e-06,0.0025187175213747,0,7.96651495040559e-06,3.07843252612463e-06,2.66940126777349e-07,3.94798976564685e-06,0.000118233584282184,3.59816788767814e-05,0.000125935876068735,5.19735361553509e-07,6.24681924944122e-06,1.24023623917097e-05,4.99745539955297e-08,4.72759280797711e-06,2.56253369175205e-06,5.54615535651699e-06,7.94595408528923e-06,3.1983714557139e-07,2.89852413174073e-05,5.19735361553509e-06,3.24247474903228e-06
