"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.569662942748448,0.00421827217809252,0.149993910704732,0.0870141260922806,0.048656456116829,0.00127529158872565,0.0468914907239122,0.064058877495219,0.0244267388917451,0.00206008641255681,0.000392397411915584,5.9429592619848e-07,7.55365017937498e-06,0.000130472139461932,5.36166296377648e-07,3.33537800128246e-08,1.77776841998813e-07,1.20073608046169e-05,2.35432011270024e-05,2.69773220691964e-05,1.48130022998133e-07,5.67995253747807e-05,3.27651838949512e-06,2.22293133850178e-06,4.58123978411444e-07,0.000396880545230478,1.28931312978409e-05,2.49270455919374e-06,1.61705265102522e-06,1.35671405169813e-06,7.32802166752352e-07,5.3758445432435e-06,2.00071674209486e-05,3.32556806598457e-07,7.11220309096995e-07,1.87664062248628e-06,6.66094606726703e-06,1.23605184753409e-05,3.98283373094317e-06,1.55095077059634e-06,2.10913608904626e-06,7.7280550222063e-05,2.09932615374837e-07,3.24512659654188e-05,2.71795807986837e-06,1.98749289135243e-06,1.31453132991721e-06,0.000101042333568263,1.93255725368425e-07,4.708768942987e-07,1.47443327527281e-06,9.80993529788959e-09,3.44328728955925e-07,3.61986612492126e-07,0.000222195034497199,2.15818576553571e-06,2.15818576553571e-05,2.28080995675933e-06,7.72041907943911e-05,5.29736506086038e-05,1.54158900379509e-05
0.573266237595264,0.00511844854995771,0.149419324977612,0.0838638108569994,0.048656456116829,0.00118118043460563,0.046755058869806,0.0627994264398657,0.0241157672065315,0.00265765597786266,0.000492158514419011,5.9429592619848e-07,7.98945373752139e-06,0.000129015661547506,5.36166296377648e-07,2.83009029998431e-07,1.77776841998813e-07,1.12704299801953e-05,2.36236086921125e-05,2.16549746344365e-05,1.4954629214437e-07,6.89021920186615e-05,3.26793253574223e-06,2.28361550690421e-06,4.6262900355387e-07,0.000396880545230478,1.28931312978409e-05,2.6871854887278e-06,1.61705265102522e-06,1.55922698213826e-06,7.18551431051755e-07,5.78778412956756e-06,1.67333894902464e-05,3.64197300670068e-07,1.31402263658891e-06,2.71269870270497e-06,6.6146104337915e-06,1.96863405767604e-05,9.84317028838021e-06,1.56506407585245e-06,2.70324907134071e-06,0.000228361550690421,2.98974730088437e-07,3.11703291267967e-05,2.71795807986837e-06,1.97847722796442e-06,1.28691810726819e-06,0.000102169558838334,1.57568065040829e-07,4.4294266297711e-07,1.4322185742784e-06,1.93563102162376e-08,3.44510960093307e-07,4.75334059401477e-07,0.000216091342404284,1.00619120234568e-06,2.25211736198139e-05,2.46079257209505e-06,7.08708260763375e-05,5.21905091414713e-05,0.000184586415968635
0.564514884001426,0.00435452017434497,0.153047131184088,0.0874835881527545,0.048656456116829,0.00128767978067538,0.0475753445684642,0.0656618391977978,0.023394487618377,0.00216251566220292,0.000452162365733338,5.9429592619848e-07,7.98945373752139e-06,0.000146461288031016,5.36166296377648e-07,2.83009029998431e-07,1.17955399756523e-07,1.26570083968236e-05,3.14547732684061e-05,7.27391631831891e-05,1.4954629214437e-07,6.6841393195363e-05,3.31493768819065e-06,2.3177248886084e-06,4.99149392093559e-07,0.000396880545230478,1.47444249695654e-05,2.66793082088407e-06,1.61705265102522e-06,1.55922698213826e-06,8.02670238315758e-07,5.70893589484341e-06,2.00071674209486e-05,4.03132836193324e-07,1.31402263658891e-06,4.91480832318846e-06,7.20233594055493e-06,9.82961664637691e-06,3.24377349330438e-06,1.62171261233918e-06,9.82961664637691e-06,9.82961664637691e-05,2.98974730088437e-07,1.57273866342031e-05,2.71795807986837e-06,2.05332197700102e-06,1.28691810726819e-06,0.000101245051457682,1.57568065040829e-07,4.80644265557909e-07,1.4322185742784e-06,1.93563102162376e-08,3.62897264719689e-07,4.75334059401477e-07,8.15858181649283e-05,1.00619120234568e-06,2.65399649452177e-05,2.44112912955174e-06,7.66710098417399e-05,5.4062891555073e-05,0.000114227538409728
0.572949541629738,0.00420104484989877,0.147914252825426,0.0859143256627184,0.048656456116829,0.0013313170298975,0.0448604531037312,0.0656684452006476,0.0244272020967118,0.0020610759944339,0.000483218773814647,3.15571444123851e-06,8.28375040825109e-06,0.000112225094816545,3.55017874639332e-07,2.83009029998431e-07,1.77776841998813e-07,1.19621300538197e-05,2.86972782000127e-05,2.30761618515566e-05,1.4954629214437e-07,5.38443776536321e-05,3.33322337855818e-06,2.3500210979598e-06,4.93080381443517e-07,0.000396880545230478,1.23270095360879e-05,2.61332602165064e-06,1.61705265102522e-06,2.02656036773286e-06,7.40606732928163e-07,5.09845114412597e-06,1.99204474103181e-05,3.76713411422847e-07,3.45156267010462e-06,1.77508937319666e-06,6.87354051732263e-06,1.08477683917574e-05,3.64879482268203e-06,1.55813400536151e-06,2.16955367835148e-06,7.7280550222063e-05,2.98974730088437e-07,2.74152692082596e-05,2.71795807986837e-06,2.05121438680503e-06,1.28691810726819e-06,9.32908081691135e-05,1.57785722061926e-07,4.62509397794019e-07,1.78495098082553e-06,1.93563102162376e-08,3.51073231587784e-07,3.89533501340379e-07,0.00019239996483926,1.57785722061926e-06,1.88356705711424e-05,2.50879298078462e-06,6.71575479526071e-05,4.8223261305176e-05,0.000274145380949276
0.58686889631301,0.00427470060441655,0.142110046760159,0.0842590985803884,0.048656456116829,0.00113992016117775,0.0436019461650488,0.0626956088647761,0.0219434631026716,0.00227984032235549,0.000569960080588873,5.9429592619848e-07,4.74966733824061e-06,0.000154839155226644,7.59946774118498e-07,2.83009029998431e-07,1.77776841998813e-07,1.519893548237e-05,2.75480705617955e-05,3.1347804432388e-05,1.4954629214437e-07,4.27470060441655e-05,3.79973387059249e-06,2.84980040294437e-06,8.5494012088331e-07,0.000396880545230478,6.64953427353685e-06,2.84980040294437e-06,1.61705265102522e-06,1.55922698213826e-06,1.89986693529624e-06,8.5494012088331e-06,2.65981370941474e-05,5.69960080588873e-07,1.89986693529624e-06,2.84980040294437e-06,7.59946774118498e-06,9.49933467648122e-06,5.69960080588873e-06,1.89986693529624e-06,5.69960080588873e-06,7.7280550222063e-05,2.98974730088437e-07,3.11703291267967e-05,2.71795807986837e-06,1.89986693529624e-06,1.28691810726819e-06,0.00010639254837659,2.84980040294437e-07,7.59946774118498e-07,2.84980040294437e-06,1.93563102162376e-08,4.74966733824061e-07,2.84980040294437e-07,0.000493965403177024,1.00619120234568e-06,2.08985362882587e-05,2.84980040294437e-06,6.83952096706648e-05,1.89986693529624e-05,7.19109816138541e-09
0.56779697633621,0.0136349188142486,0.146088415866949,0.0866791267477232,0.048656456116829,0.00126609960418023,0.0464561162456899,0.0616493114958526,0.0238611079249351,0.00208419473303514,0.000477222158498701,5.9429592619848e-07,1.17844655466006e-05,0.00014316664754961,5.36166296377648e-07,2.83009029998431e-07,1.77776841998813e-07,1.44140570322057e-05,2.45428538656475e-05,2.52245998063599e-05,1.4954629214437e-07,5.97014659509599e-05,3.50612198080678e-06,2.43480693111582e-06,6.8174594071243e-07,0.000396880545230478,1.65566871315876e-05,3.21394514907288e-06,2.53219920836045e-06,1.55827643591413e-06,7.79138217957063e-07,6.13571346641187e-06,2.15236932710639e-05,4.03132836193324e-07,8.76530495201696e-07,2.04523782213729e-06,7.59659762508136e-06,9.64183544721865e-06,4.86961386223164e-06,1.65566871315876e-06,9.44705089272939e-06,7.7280550222063e-05,2.98974730088437e-07,4.22682483241707e-05,9.73922772446328e-07,2.43480693111582e-06,5.84353663467797e-07,0.000108105427741542,1.57568065040829e-07,4.80644265557909e-07,1.94784554489266e-06,1.93563102162376e-08,3.62897264719689e-07,4.75334059401477e-07,0.000210367318848407,5.84353663467797e-07,2.0160201389639e-05,2.33741465387119e-06,7.1096362388582e-05,2.2010654657287e-05,1.10030706768072e-09
0.573562202970278,0.00431160552577657,0.147346152142365,0.0883088012504239,0.048456117147489,0.00123612543743594,0.0465772064825864,0.0623996120817665,0.0239313884687599,0.00207669073489239,0.00044500515747694,5.9429592619848e-07,8.9001031495388e-06,0.000136468248292928,5.36166296377648e-07,2.83009029998431e-07,1.77776841998813e-07,1.36468248292928e-05,2.37336083987701e-05,2.17558076988726e-05,8.9001031495388e-07,6.0421811381869e-05,3.80726634730271e-06,2.67003094486164e-06,5.53784195971303e-07,0.000396880545230478,1.38446048992826e-05,3.06559108484114e-06,1.61705265102522e-06,2.07669073489239e-06,8.75176809704649e-07,6.23007220467716e-06,2.00071674209486e-05,4.30171652227709e-07,1.31402263658891e-06,5.93340209969253e-06,8.01009283458492e-06,8.9001031495388e-06,9.88900349948756e-06,1.78002062990776e-06,4.94450174974378e-06,7.7280550222063e-05,9.88900349948756e-06,3.30292716882884e-05,2.71795807986837e-06,2.67003094486164e-06,4.94450174974378e-06,9.98789353448243e-05,1.57568065040829e-07,5.43895192471816e-07,1.48335052492313e-06,1.93563102162376e-08,3.95560139979502e-07,3.95560139979502e-07,0.000201735671389546,1.97780069989751e-06,2.2250257873847e-05,2.76892097985652e-06,6.40807426766794e-05,5.34006188972328e-05,4.68714178469831e-06
0.571432569519755,0.00440391601787789,0.148754496603875,0.0899377515651062,0.0478558873942731,0.00137010720556201,0.0464857801887111,0.0641993090606199,0.0233896872949515,0.000587188802383719,0.000195729600794573,1.95729600794573e-06,6.85053602781005e-06,0.000141903960576065,5.36166296377648e-07,2.83009029998431e-07,1.77776841998813e-07,1.17437760476744e-05,2.05516080834302e-05,2.83807921152131e-05,1.27224240516472e-07,6.06761762463176e-05,3.42526801390503e-06,2.34875520953487e-06,4.99110482026161e-07,0.000396880545230478,1.37010720556201e-05,2.74021441112402e-06,1.61705265102522e-06,1.17437760476744e-06,7.53558963059106e-07,5.28469922145347e-06,2.00071674209486e-05,3.52313281430231e-07,9.49288563853678e-06,2.05516080834302e-06,7.04626562860462e-06,2.09430672850193e-05,4.78637518190803e-06,1.56583680635658e-06,1.95729600794573e-06,9.78648003972864e-05,2.98974730088437e-07,2.74021441112402e-05,1.85943120754844e-05,2.1530256087403e-06,1.28691810726819e-06,0.000107651280437015,1.4679720059593e-07,4.79537521946703e-07,1.56583680635658e-06,1.93563102162376e-08,3.52313281430231e-07,3.6209976146996e-07,0.000210409320854166,1.00619120234568e-06,1.66370160675387e-05,2.25089040913759e-06,7.2419952293992e-05,5.67615842304261e-05,9.50512671904491e-08
0.557149946620207,0.00379557152591751,0.12205758959661,0.101781246971314,0.048656456116829,0.00129848499570862,0.0775095658976839,0.058431824806888,0.0247710983796722,0.00189778576295875,0.000399533844833422,3.09638729745902e-07,6.07291444146801e-06,0.000142833349527948,3.5958046035008e-07,2.83009029998431e-07,1.7979023017504e-07,1.15864815001692e-05,2.29731960779218e-05,2.90660872116315e-05,1.4954629214437e-07,6.11286782595136e-05,3.26618918151323e-06,2.49708653020889e-06,3.29615421987573e-07,0.000396880545230478,1.21857822674194e-05,2.6968534526256e-06,1.61705265102522e-06,1.4882635720045e-06,7.1916092070016e-07,6.10287947983052e-06,1.80789064787123e-05,3.5958046035008e-07,1.08872972717108e-06,2.81671360607563e-06,6.83202874665152e-06,1.73797222502539e-05,7.76094493588922e-06,1.56817034097118e-06,2.57699329917557e-06,3.49592114229244e-05,1.69801884054204e-07,3.11703291267967e-05,3.49592114229244e-07,2.20742449270466e-06,6.39254151733475e-07,0.000101881130432523,1.29848499570862e-07,4.69452267679271e-07,1.67804214830037e-06,1.93563102162376e-08,3.39603768108409e-07,3.79557152591751e-07,0.000240719141512137,3.69568806470915e-07,2.95655045176732e-05,2.67687676038393e-06,7.35142274493497e-05,5.99300767250133e-05,0.000908475067270542
0.571341700474236,0.00442519389351818,0.147014774906882,0.0893889166490671,0.048656456116829,0.00130789063963982,0.0448419647876508,0.0650995190557563,0.0235026964566854,0.00206509048364182,0.000540857031429999,5.9429592619848e-07,7.98945373752139e-06,0.000126855558280854,4.52353153559636e-07,2.83009029998431e-07,1.77007755740727e-07,1.33739193226327e-05,2.26176576779818e-05,3.14680454650181e-05,1.4954629214437e-07,7.37532315586363e-05,3.83516804104909e-06,2.65511633611091e-06,5.80192088261272e-07,0.000737532315586363,1.27838934701636e-05,2.26176576779818e-06,1.61705265102522e-06,1.77007755740727e-06,8.85038778703635e-07,5.99859616676908e-06,1.86841519948545e-05,4.22851860936181e-07,6.49028437715999e-07,4.91688210390908e-06,7.57199844001999e-06,1.18005170493818e-05,4.13018096728363e-06,1.77007755740727e-06,2.06509048364182e-06,5.9002585246909e-05,2.16342812572e-07,3.44181747273636e-05,2.71795807986837e-06,2.16342812572e-06,1.28691810726819e-06,0.000106204653444436,1.57568065040829e-07,4.80644265557909e-07,1.4322185742784e-06,1.93563102162376e-08,3.93350568312727e-07,3.7368303989709e-07,0.000216342812572,1.00619120234568e-06,2.06509048364182e-05,2.65511633611091e-06,6.88363494547272e-05,4.42519389351818e-05,0.000133017708005334
