"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.573646020363989,0.00858294298371057,0.173495300177483,0.0616657390045872,0.0331992487309105,0.000956882156967732,0.0318960718989244,0.0585727865780248,0.0426247506285626,0.0116952263629389,0.00177844764527336,2.89235646878853e-07,1.75003550543529e-06,0.000316061076089342,1.03459579918509e-06,5.08700918954831e-08,2.21630720197783e-07,3.44090957455063e-05,8.0925967186444e-05,1.8364405032714e-05,4.15615482319318e-05,4.01189346539058e-07,2.41636908325185e-05,2.76432623124011e-06,1.52714526061517e-06,1.16952263629389e-06,0.000287814605023391,1.8364405032714e-05,3.51823338521469e-06,0,3.99776692242441e-06,5.41266674648414e-07,4.09273747872603e-08,1.64313097661126e-05,1.04026999933409e-05,1.83644050327141e-07,1.58722514112334e-06,9.6654763330074e-06,1.73978573994133e-05,2.80298813657214e-05,6.76583343310518e-06,4.34946434985333e-06,1.93309526660148e-05,5.89232149734991e-05,1.00427517816544e-06,1.34350121028803e-05,0,3.63421910121078e-06,2.31009552180793e-06,0.000480374173750468,0,4.92939292983377e-07,1.05100449631748e-07,2.42603455958486e-06,0,2.12640479326163e-07,1.09926461778238e-06,9.85878585966754e-05,1.21502778303708e-06,1.37249763928705e-05,1.29517382862299e-06,6.28255961645481e-05,0.000164313097661126,2.4583152756219e-05
0.584058501584128,0.00834369287977325,0.168814251288436,0.0603462438513833,0.0331992487309105,0.000970196846485262,0.0311433187721769,0.0572416139426304,0.0400691297598413,0.0120304408964172,0.00174635432367347,2.89235646878853e-07,9.11985035696146e-07,0.000312403384568254,1.25155393196599e-06,5.08700918954831e-08,2.21630720197783e-07,2.69714723322903e-05,8.0925967186444e-05,1.83367203985714e-05,4.11363462909751e-05,4.01189346539058e-07,2.86208069713152e-05,2.44489605314286e-06,1.23214999503628e-06,9.70196846485262e-07,0.000287814605023391,1.9972003474254e-05,2.91059053945579e-06,0,3.99776692242441e-06,4.65694486312926e-07,4.09273747872603e-08,1.2903618058254e-05,1.04026999933409e-05,1.843374008322e-07,1.03811062573923e-06,7.72816658030175e-06,1.35827558507937e-05,3.34717912037415e-05,8.7220696499025e-06,3.47330471041724e-06,1.88364366157064e-05,5.89232149734991e-05,7.66455508723357e-07,1.26562547318813e-05,2.03741337761905e-06,2.93969644485034e-06,2.31009552180793e-06,0.000520339369452074,0,3.88078738594105e-07,1.05100449631748e-07,2.62923345397506e-06,0,1.74635432367347e-07,1.74635432367347e-07,0.000114483227885261,1.21502778303708e-06,1.16423621578231e-05,1.20304408964172e-06,7.01452320008844e-05,0.000139227785346991,0.00015393297743882
0.581723906233987,0.00814019326099361,0.169682228076441,0.0587492547127605,0.0363051280120705,0.000928913815539405,0.030380552049521,0.0577399817205935,0.0408683812562754,0.0119400343272372,0.00167510616993769,2.89235646878853e-07,1.75003550543529e-06,0.00030744081658074,1.13842166888969e-06,5.08700918954831e-08,6.69659805229231e-08,3.04216882946994e-05,8.0925967186444e-05,1.7918183074205e-05,4.01795883137539e-05,2.25771020048712e-07,2.89867029977796e-05,2.63645065318748e-06,1.38543047133282e-06,1.03519839319793e-06,0.000287814605023391,1.93120321259464e-05,3.06168462950805e-06,0,3.5109306931304e-06,5.0272318235423e-07,3.50136412448427e-08,1.46789429306247e-05,1.01309961962537e-05,1.8788740821003e-07,1.2111275906003e-06,7.4427904066906e-06,1.58757206682558e-05,3.29185627113398e-05,8.16984962379662e-06,3.79027449759745e-06,1.76694522894056e-05,5.89232149734991e-05,7.21319275918343e-07,1.23408735535101e-05,0,3.33107920258312e-06,1.67414951307308e-06,0.000518881116797547,5.14968390221279e-07,4.45228104790977e-07,1.05100449631748e-07,2.41460192628369e-06,7.14622677866051e-08,1.93818680770632e-07,8.25594874161181e-07,0.000104973957754005,2.14291137673354e-07,1.40465927431154e-05,1.2474805514556e-06,6.5722326598926e-05,0.000138906576741835,2.69160904675658e-09
0.582569515829192,0.00826312353852176,0.169220275269026,0.0588844083936714,0.0346549223169312,0.000907399080164773,0.0305040541842626,0.0588844083936714,0.0406398949733372,0.0118734134957731,0.00172791952499462,2.89235646878853e-07,1.75003550543529e-06,0.000306971178183402,1.07150316913074e-06,5.08700918954831e-08,2.21630720197783e-07,3.10832450864954e-05,8.0925967186444e-05,1.70442889809991e-05,4.05433631562984e-05,4.01189346539058e-07,2.89595451116417e-05,2.50982724300895e-06,1.32248589343164e-06,1.06184998742686e-06,0.000287814605023391,2.07543406633432e-05,3.26277541591163e-06,0,3.76474086451342e-06,4.82659085194028e-07,4.09273747872603e-08,1.65069407136358e-05,1.12942225935403e-05,1.83410452373731e-07,1.58722514112334e-06,7.72254536310445e-06,1.56381543602865e-05,2.99248632820297e-05,9.22340567933555e-06,3.80335359132894e-06,1.7375727066985e-05,5.89232149734991e-05,1.00427517816544e-06,1.32248589343164e-05,0,3.15659041716894e-06,2.31009552180793e-06,0.000523202448350327,0,4.73005903490148e-07,1.05100449631748e-07,2.37557060057748e-06,0,1.83410452373731e-07,1.09926461778238e-06,0.000106184998742686,1.21502778303708e-06,1.54450907262089e-05,1.23560725809671e-06,6.08150447344476e-05,0.000136109862024716,1.54218051662269e-08
0.584756949354607,0.00804753946383606,0.170702513568193,0.0583209918790943,0.0331992446281968,0.000946769348686595,0.0328528963994249,0.0553860068981658,0.0404459865758913,0.0117494076172006,0.00167659815905034,2.89235611135543e-07,1.75003528916851e-06,0.000331369272040308,1.03459567133128e-06,5.0870085609033e-08,2.21630692808989e-07,3.37996657481115e-05,8.09259571857336e-05,1.82726484296513e-05,3.9480281840231e-05,4.01189296960677e-07,2.72361521630638e-05,2.36692337171649e-06,1.49432505059164e-06,1.14559091191078e-06,0.000287814569455692,1.99720010061436e-05,3.4324764630572e-06,0,3.4746435096798e-06,5.45941634107016e-07,4.09273697295164e-08,1.54323403835915e-05,1.04026987077908e-05,1.99768332572872e-07,1.58722494497643e-06,7.72816562526644e-06,1.63791097322781e-05,3.13465849179716e-05,9.22340453952083e-06,4.12799118809996e-06,2.08289256711051e-05,5.8923207691856e-05,1.00427505405861e-06,1.27245800463478e-05,0,3.45570812270607e-06,2.31009523632977e-06,0.000520723141777627,0,4.449815938827e-07,1.05100436643591e-07,2.48053569355888e-06,0,2.15459025618861e-07,1.0992644819369e-06,0.000113612321842391,1.21502763288576e-06,1.46256007777835e-05,1.43973077424293e-06,6.91141624541214e-05,0.000139227768141429,0
0.584757021618008,0.00822026521844305,0.159569854240365,0.0613135076293282,0.0331992487309105,0.00860710122872273,0.0298830817941047,0.0566714755059721,0.0411980350947852,0.0119919163186699,0.00164405304368861,2.89235646878853e-07,1.75003550543529e-06,0.000308501718198039,1.03459579918509e-06,5.08700918954831e-08,2.21630720197783e-07,3.60724579585795e-05,8.0925967186444e-05,1.95352185191235e-05,3.76198019996982e-05,2.32101606167804e-07,2.94962457838251e-05,3.17205528429332e-06,1.76010384677251e-06,1.31524243495089e-06,0.000287814605023391,1.9972003474254e-05,4.03276540716559e-06,0,3.99776692242441e-06,6.09266716190485e-07,4.09273747872603e-08,1.69240754497357e-05,9.76760925956175e-06,2.22430705910812e-07,1.58722514112334e-06,7.72816658030175e-06,1.8954964503704e-05,3.13465887917363e-05,9.12932984260029e-06,4.63236122309909e-06,1.83747104882845e-05,5.89232149734991e-05,1.00427517816544e-06,1.26562547318813e-05,0,3.94572730485267e-06,2.31009552180793e-06,0.000542537504417242,0,5.41570414391542e-07,1.05100449631748e-07,2.93028277786852e-06,0,2.41772506424796e-07,9.76760925956175e-07,0.000110248262929707,1.21502778303708e-06,1.47964773931975e-05,1.5376731408617e-06,6.5085158729555e-05,0.000139227785346991,0.00102904455499131
0.579703051296516,0.00827008478130127,0.167992324593662,0.0615772577692071,0.0331992487309105,0.00109603533246161,0.0313864663386735,0.0594848266799622,0.0405533073010798,0.0120563886570778,0.00169387278653159,2.89235646878853e-07,1.75003550543529e-06,0.00034276014033345,1.03459579918509e-06,5.08700918954831e-08,2.21630720197783e-07,2.88954769467153e-05,8.0925967186444e-05,1.99279151356657e-05,6.57621199476969e-05,4.01189346539058e-07,1.09603533246161e-05,2.74254139729772e-06,1.49432523525813e-06,1.097012362554e-06,0.000287814605023391,1.49459363517493e-05,3.43247688723757e-06,0,3.99776692242441e-06,5.45941701573677e-07,4.09273747872603e-08,1.29531448381827e-05,1.04026999933409e-05,2.00886828024093e-07,1.58722514112334e-06,2.98918727034986e-06,1.72092417193374e-05,3.68666430009816e-05,1.79351236220992e-05,4.12799169823102e-06,2.59062896763654e-05,5.89232149734991e-05,1.00427517816544e-06,1.26562547318813e-05,0,0,2.31009552180793e-06,0.000486241129310244,0,5.2507439594685e-07,1.05100449631748e-07,2.37557060057748e-06,0,2.15459052244969e-07,1.79351236220992e-05,0.000100635971435112,1.21502778303708e-06,1.59423321085326e-05,1.43973095216274e-06,7.07440987316133e-05,0.000149459363517493,0.00106613841322378
0.586402521191868,0.00814044154356584,0.168138881881985,0.0605687614848649,0.0319803060640087,0.000969100183757838,0.0311081158986266,0.0579521909887187,0.0391516474238167,0.0120168422785972,0.00170561632341379,2.89235646878853e-07,7.50083542228567e-06,0.000301390157148688,1.06601020213362e-06,3.87640073503135e-08,5.81460110254703e-08,3.32401363028938e-05,8.0925967186444e-05,1.74438033076411e-05,3.33370463212696e-05,2.4227504593946e-07,2.91699155311109e-05,2.80069953106015e-06,1.50210528482465e-06,1.15322921867183e-06,0.000287814605023391,1.9285093656781e-05,3.23679461375118e-06,2.25800342815576e-06,4.33187782139754e-06,5.52387104741968e-07,2.90730055127351e-08,1.5699422976877e-05,1.04662819845847e-05,2.03511038589146e-07,1.45365027563676e-06,7.71403746271239e-06,1.7056163234138e-05,3.1398845953754e-05,9.22583374937462e-06,4.15743978832113e-06,1.792835339952e-05,5.89232149734991e-05,1.17261122234698e-06,1.27921224256035e-05,4.84550091878919e-08,3.60505268357916e-06,1.60870630503801e-06,0.000512653997207896,6.78370128630487e-07,5.33005101066811e-07,3.87640073503135e-08,2.50027847409522e-06,9.69100183757838e-08,2.13202040426724e-07,8.62499163544476e-07,0.000106601020213362,1.64747031238832e-07,1.48272328114949e-05,1.35674025726097e-06,6.71586427344182e-05,0.000135674025726097,1.09543855719707e-06
0.586809765514622,0.00837627411881337,0.16743136693673,0.0590103805898425,0.0331992487309105,0.000941154395372289,0.0313404413658972,0.0573163026781724,0.040281408121934,0.0117644299421536,0.00169407791167012,2.89235646878853e-07,1.75003550543529e-06,0.000306157524814606,1.03459579918509e-06,5.08700918954831e-08,3.38815582334024e-06,3.42580199915513e-05,8.0925967186444e-05,1.40232004910471e-05,3.11522104868228e-05,4.01189346539058e-07,2.32465135656955e-05,2.74254139729772e-06,1.49432523525813e-06,1.097012362554e-06,0.000287814605023391,1.87289724679085e-05,3.43247688723757e-06,1.22350071398398e-06,1.88230879074458e-06,5.45941701573677e-07,4.09273747872603e-08,1.55290475236428e-05,1.04026999933409e-05,2.00886828024093e-07,1.58722514112334e-06,7.43511972344108e-06,1.79760489516107e-05,2.85169781797804e-05,1.00703520304835e-05,4.12799169823102e-06,1.7693702632999e-05,5.89232149734991e-05,1.00427517816544e-06,1.10115064258558e-05,0,0,2.31009552180793e-06,0.00050605871839168,2.72934774657964e-06,5.2507439594685e-07,1.05100449631748e-07,2.37557060057748e-06,0,2.15459052244969e-07,2.82346318611687e-06,8.50803573416549e-05,1.21502778303708e-06,1.39290850515099e-05,1.43973095216274e-06,7.6892314101916e-05,0.000139290850515099,3.18807424903866e-10
0.585670174259868,0.00819996126043301,0.169883903289677,0.0591361912075933,0.0331992487309105,0.000964701324756825,0.0297128008025102,0.0580750197503608,0.0397456945799812,0.0118658262945089,0.0016399922520866,2.89235646878853e-07,1.75003550543529e-06,0.000308704423922184,1.03459579918509e-06,5.08700918954831e-08,2.21630720197783e-07,3.38320754592218e-05,8.0925967186444e-05,1.70442889809991e-05,3.95527543150298e-05,2.2188130469407e-07,2.99057410674616e-05,3.10633826571697e-06,1.55316913285849e-06,1.22517068244117e-06,0.000287814605023391,1.83293251703797e-05,3.51151282211484e-06,0,3.69480607381864e-06,5.98114821349231e-07,4.09273747872603e-08,1.63130994016379e-05,1.04026999933409e-05,2.02587278198933e-07,1.58722514112334e-06,7.44749422712269e-06,1.72681537131472e-05,3.47292476912457e-05,8.22890230017571e-06,4.29292089516787e-06,1.72681537131472e-05,5.89232149734991e-05,1.00427517816544e-06,1.28305276192658e-05,0,3.83951127253216e-06,2.31009552180793e-06,0.000540232741863822,5.40232741863822e-07,5.4987975511139e-07,1.05100449631748e-07,2.57575253710072e-06,0,2.2188130469407e-07,8.58584179033574e-07,0.000108046548372764,1.21502778303708e-06,1.52519279444054e-05,1.35058185465955e-06,6.55996900834641e-05,0.00013988169208974,1.02806818613743e-09
