"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.549861649082967,0.00797334274544813,0.129068485691942,0.077441091415165,0.0299000352954305,0.00100663452161283,0.0327903720406554,0.0319930377661106,0.0181393547458945,0.103852789259462,0.00707634168658522,6.54671685383089e-07,6.97667490226712e-06,5.74094841987241e-05,0.00497038253394373,2.04609664368258e-05,8.34063915513521e-07,3.40241014613785e-07,0.000370760437663338,0.000127809583829265,1.69433533340773e-05,0.000318933709817925,1.14717505853096e-05,0.00011760680549536,1.14078274895421e-05,4.00774232179834e-06,8.58211593591513e-06,0.00036628542676268,1.99333568636203e-05,2.62825541814457e-05,2.07405057760811e-06,1.95496256643549e-05,2.56842927626915e-08,1.71550845041346e-06,1.13275443558253e-07,0.000256143635697521,2.92373621523856e-05,4.15672342071281e-07,2.83368711184376e-05,2.69100317658875e-05,0.000159466854908963,0.000233220275304358,0.000248170292952073,5.47770188254081e-05,0.00062790074120404,0.000390866438888363,5.54915668276596e-07,1.35048891590386e-05,1.30614418208235e-06,3.67057569546299e-05,8.26686796440093e-06,0.000815274295722072,1.26027005016273e-06,2.98052666734102e-06,1.33738188846726e-06,0.000126576816083989,4.56692523104267e-06,4.74613290081601e-07,2.09300247068014e-05,0.000144516837261247,4.64407294467925e-06,4.28567172567837e-05,2.77475455690579e-06,0.000106643459220369,0.001018594535731,7.08930422232967e-06
0.559161186022563,0.00737290593384181,0.127600425361689,0.0719595619142961,0.0302506762587652,0.000884748712061017,0.0327357023462577,0.028508569610855,0.0185797229532814,0.104105431785846,0.00717629510893936,6.54671685383089e-07,7.14962350141397e-06,5.74094841987241e-05,0.00620995290454383,1.62892068431679e-05,8.34063915513521e-07,3.40241014613785e-07,0.000508848475930027,0.000127809583829265,1.76113117244499e-05,0.000262398588293756,1.14717505853096e-05,0.00010069640229909,1.24159735925896e-05,4.7776430451295e-06,1.00861353174956e-05,0.00036628542676268,2.55594072373183e-05,3.37482480945053e-05,1.54339497548422e-06,1.75475161225435e-05,2.56842927626915e-08,1.72034471789642e-06,1.13275443558253e-07,0.000217313944764676,2.92373621523856e-05,4.91527062256121e-07,2.83368711184376e-05,1.47458118676836e-05,0.000218424795925375,0.000180881958910252,0.000234949935758426,5.42940792968111e-05,0.00057901887933771,0.000390866438888363,5.54915668276596e-07,7.86443299609794e-06,1.30614418208235e-06,4.3441161762196e-05,1.02434239774176e-05,0.00065766320929869,3.93221649804897e-06,3.56848647197944e-06,1.33738188846726e-06,0.00012288176556403,4.56692523104267e-06,5.50510309726855e-07,1.30254671497872e-05,0.000135661469182689,4.64407294467925e-06,6.38985180932957e-05,3.22441752840015e-06,0.000115017332567932,0.000727460052139059,8.11251009702474e-08
0.547401498082647,0.00782002140118068,0.130168710665223,0.0770123626597287,0.0302506762587652,0.00100967364926637,0.0323689493441276,0.0312800856047227,0.0176197950558248,0.102848129567427,0.00698852545472602,6.54671685383089e-07,7.14962350141397e-06,5.74094841987241e-05,0.00501570233414968,2.04609664368258e-05,8.34063915513521e-07,1.4848141900976e-05,0.000414758097100595,0.000188076464079029,5.93925676039039e-06,0.000273205810977958,1.14717505853096e-05,0.000119775011334539,1.14078274895421e-05,4.00774232179834e-06,8.58211593591513e-06,0.00433565743508498,1.78177702811712e-05,2.62825541814457e-05,2.07405057760811e-06,2.07873986613664e-05,2.56842927626915e-08,1.71550845041346e-06,1.13275443558253e-07,0.000240539898795811,2.92373621523856e-05,4.15672342071281e-07,2.47469031682933e-05,7.91900901385385e-06,0.000202924605980005,0.000218762624007713,0.000242519651049274,4.25646734494644e-05,0.000620652331460795,0.000883959381171436,1.58380180277077e-05,3.95950450692692e-06,1.30614418208235e-06,2.27671509148298e-05,8.26686796440093e-06,0.000774083131104214,7.91900901385385e-06,2.98052666734102e-06,1.33738188846726e-06,7.22609572514164e-05,4.56692523104267e-06,4.74613290081601e-07,1.18785135207808e-05,0.000152440923516687,4.64407294467925e-06,6.43419482375625e-05,2.77475455690579e-06,0.000111856002320686,0.000859212478003143,2.86407181304682e-08
0.554803605219427,0.00743040542704589,0.130279775154205,0.0803474506844562,0.0271457478268077,0.000941184687425813,0.0299197658529048,0.0300188379252654,0.0205079189786467,0.100062793084218,0.00673690092052161,7.03411713760344e-07,7.14962350141397e-06,5.74094841987241e-05,0.00486939235652408,2.02107027615648e-05,8.34063915513521e-07,7.92576578884895e-08,0.000436907839110298,0.000127809583829265,1.78329730249101e-05,0.000326640622572937,1.14717505853096e-05,0.000117697621964407,1.02935883182676e-05,3.79446037141144e-06,8.16353876251442e-06,0.00036628542676268,2.20727936236562e-05,2.30837928600226e-05,2.07405057760811e-06,1.95496256643549e-05,2.56842927626915e-08,1.60496757224191e-06,1.13275443558253e-07,0.00017971673926215,2.92373621523856e-05,3.76473874970325e-07,3.64585226287052e-05,2.4123519226519e-05,0.000190515595149457,0.000229351847514817,0.000265017793564637,4.6464801937127e-05,0.000614763702476304,0.00175555712223004,5.54915668276596e-07,1.62478198671403e-05,1.06997838149461e-06,3.4813926227519e-05,8.26686796440093e-06,0.000711337479549193,1.26027005016273e-06,3.97279010166054e-06,1.33738188846726e-06,0.000113668937786362,4.56692523104267e-06,4.95360361803059e-07,1.23156508421475e-05,0.000154354288737833,4.64407294467925e-06,4.36907839110298e-05,2.77401802609713e-06,0.000131765856239614,0.00073511477691574,5.78162755893175e-07
0.555,0.00747,0.125,0.0761,0.0302506762587652,0.00099,0.0329,0.0313,0.0161,0.103,0.00694,6.54671685383089e-07,7.14962350141397e-06,5.74094841987241e-05,0.00516,2.2e-05,8.34063915513521e-07,3.40241014613785e-07,0.000472,0.000127809583829265,1.15e-05,0.000238,1.04e-05,0.000121,1.21e-05,3.82e-06,8.63e-06,0.00036628542676268,2.20727936236562e-05,2.89e-05,3.55e-06,2.5e-05,2.56842927626915e-08,1.65e-06,1.13275443558253e-07,0.000213,2.92373621523856e-05,4.1e-07,3.51e-05,2.61e-05,0.000228,0.000207,0.000263,5.48e-05,0.0016,0.0018,5.54915668276596e-07,8.9e-06,1.30614418208235e-06,4.04e-05,8.26686796440093e-06,8e-04,1.26027005016273e-06,2.85e-06,4.3e-06,0.000117,3.95e-06,4.4e-07,1.29e-05,0.000124,3e-06,4.56e-05,3.07e-06,1e-04,0.000899,0.00161463333294987
0.55038223046587,0.00794478584615537,0.129338336371868,0.0773649558052583,0.0302506762587652,0.00100177699183732,0.0331280708191747,0.0314419115259832,0.0172583362950192,0.103252460247787,0.00717113628810279,6.54671685383089e-07,7.14962350141397e-06,5.74094841987241e-05,0.00564069876492954,2.04609664368258e-05,8.34063915513521e-07,3.40241014613785e-07,0.000435425841006518,0.000127809583829265,1.7853451339675e-05,0.000278712212580482,1.14717505853096e-05,0.00010069640229909,1.14078274895421e-05,4.00774232179834e-06,8.58211593591513e-06,0.00036628542676268,1.88453097474347e-05,2.62825541814457e-05,2.07405057760811e-06,1.95496256643549e-05,2.56842927626915e-08,1.71550845041346e-06,1.13275443558253e-07,0.000183493805435549,2.92373621523856e-05,4.15672342071281e-07,2.83368711184376e-05,2.67801770095125e-05,0.00021523327448386,0.000161672920464835,0.000254907610794249,5.47770188254081e-05,0.000675455575684371,0.000390866438888363,5.54915668276596e-07,1.58697345241556e-05,1.30614418208235e-06,3.67057569546299e-05,8.26686796440093e-06,0.000795470443023297,1.26027005016273e-06,2.98052666734102e-06,1.33738188846726e-06,0.000114063716892368,4.56692523104267e-06,4.74613290081601e-07,1.68615929319153e-05,0.000180518230212269,4.64407294467925e-06,4.95929203879861e-05,2.77475455690579e-06,0.000116047433707887,0.000932346903294139,9.69744180512322e-08
0.547496153909998,0.00802518792376219,0.127313166444869,0.0777749693846088,0.0297229182361562,0.00103039449885342,0.0326456718627116,0.0315062933303256,0.0170411397887296,0.104327443008908,0.00733165316491854,6.54671685383089e-07,4.1579390320559e-06,4.06213215894135e-05,0.00499148656954278,2.04889983041237e-05,7.73192179716544e-07,1.91217440652605e-07,0.000473207880987278,0.000143660771474755,2.04259857174631e-05,0.000350665837377677,1.01220407289289e-05,0.000107223446009051,1.20878154646741e-05,3.93501714528472e-06,8.86406775278064e-06,0.00387785006587718,2.35066671162465e-05,2.55876676983539e-05,2.48285443666025e-06,2.21377285786833e-05,2.56842927626915e-08,1.81002664418779e-06,9.92745469087619e-08,0.000209084283109935,2.97229182361562e-05,4.32270307547832e-07,3.60134766516564e-05,2.48022891221606e-05,0.00021999249502621,0.0002320176942098,0.000242972372954918,5.66636722490141e-05,0.000616198004350232,0.00170609550675537,1.863626973407e-07,1.60800987657605e-05,1.48614591180781e-07,4.08959613539156e-05,1.04971439570692e-05,0.000791285808040016,1.52121895532648e-06,2.75214407587983e-06,1.33738188846726e-06,0.000124752834268007,4.56692523104267e-06,4.53274503101383e-07,1.34815231007675e-05,0.000145418981164818,4.40394571865715e-06,4.85748772802266e-05,2.87846647838349e-06,0.000122477743029817,0.000937232767309102,6.49153508724964e-10
0.551983007248069,0.00793364006105741,0.130111697001341,0.0770554790930201,0.0302506762587652,0.000991705007632176,0.0329246062533882,0.0311395372396503,0.0163631326259309,0.103137320793746,0.00717002720518063,6.54671685383089e-07,8.43940961494982e-06,5.74094841987241e-05,0.00489208080264952,2.57843301984366e-05,8.34063915513521e-07,7.73529905953098e-07,0.000504777848884778,0.000127809583829265,2.280921517554e-05,0.000389740067999445,1.0016220577085e-05,0.000101153910778482,1.17021190900597e-05,4.46267253434479e-06,8.8856768683843e-06,0.00036628542676268,1.98341001526435e-05,2.46537864897359e-05,2.07405057760811e-06,1.62639621251677e-05,2.56842927626915e-08,1.70176579309681e-06,1.13275443558253e-07,0.000227100446747768,2.85611042198067e-05,4.44283843419215e-07,2.83368711184376e-05,2.08258051602757e-05,0.000207266346595125,0.000216191691663814,0.000287594452213331,5.24611949037421e-05,0.000627749269831168,0.000390866438888363,5.54915668276596e-07,1.19004600915861e-05,1.30614418208235e-06,3.81112234433045e-05,8.26686796440093e-06,0.000734853410655442,8.4294925648735e-07,2.8263592717517e-06,1.33738188846726e-06,0.000113668937786362,4.56692523104267e-06,4.71059878625284e-07,1.41813816091401e-05,0.000198341001526435,4.64407294467925e-06,4.85935453739766e-05,2.9156127224386e-06,0.000107104140824275,0.000958978742380314,2.25147905874579e-08
0.553063966730728,0.00806961659642699,0.128523405791874,0.0771534074585215,0.0289325277969455,0.000984099584930121,0.0334593858876241,0.0314911867177639,0.0171233327777841,0.103527276334649,0.00728233692848289,1.47614937739518e-07,4.00528531066559e-06,3.79862439783027e-05,0.00453669908652786,2.09613211590116e-05,8.56166638889205e-07,1.18091950191614e-07,0.000426115120274742,0.000127809583829265,1.91899419061374e-05,0.000285388879629735,1.09235053927243e-05,0.000120060149361475,1.30885244795706e-05,4.80240597445899e-06,9.53592497797287e-06,0.00036628542676268,2.11581410759976e-05,2.98182174233827e-05,1.6434463068333e-06,2.49961294572251e-05,1.67296929438121e-08,2.13549609929836e-06,1.13275443558253e-07,0.000220438307024347,2.70627385855783e-05,5.31413775862265e-07,3.57228149329634e-05,2.65706887931133e-05,0.000227327004118858,0.000196819916986024,0.000254881792496901,6.30807833940207e-05,0.00073413829035787,0.000390866438888363,5.54915668276596e-07,1.51551336079239e-05,1.30614418208235e-06,4.28083319444603e-05,9.7819498742054e-06,0.000657378522733321,1.44662638984728e-06,3.52307651404983e-06,1.33738188846726e-06,0.000135805742720357,3.53291750989913e-06,5.90459750958073e-07,1.24980647286125e-05,0.000153519535249099,2.80468381705084e-06,4.95986190804781e-05,3.48371253065263e-06,0.000114155551851894,0.000938831004023335,5.01222611193342e-08
0.576180190379554,0.00707887065529475,0.127120564584518,0.0609181685969732,0.0302506762587652,0.000797619228765606,0.0351949484692824,0.0301101258859016,0.014656253328568,0.0998021059992964,0.00687946584810335,6.54671685383089e-07,7.14962350141397e-06,5.74094841987241e-05,0.00531413811165085,2.03193498528038e-05,8.34063915513521e-07,3.40241014613785e-07,0.000817659411888342,0.000127809583829265,4.98512017978504e-05,0.00013659229292611,1.14717505853096e-05,8.47470430563456e-05,1.27220266988114e-05,3.93824494203018e-06,9.27232353440017e-06,0.00036628542676268,2.39285768629682e-05,2.76973277188857e-05,1.5653277364525e-06,2.32306600377983e-05,2.56842927626915e-08,1.75476230328433e-06,1.13275443558253e-07,0.000224629515301114,2.92373621523856e-05,4.78571537259364e-07,3.66904845232179e-05,1.89434566831831e-05,0.000229415230673707,0.000158526821717164,0.000183452422616089,6.00607279260501e-05,0.000558333460135924,0.000390866438888363,5.54915668276596e-07,1.99404807191401e-05,1.30614418208235e-06,4.15360213379689e-05,6.15163830185474e-06,0.00067299122427098,1.31607172746325e-06,3.29017931865812e-06,1.33738188846726e-06,1.59523845753121e-05,4.56692523104267e-06,5.18452498697644e-07,1.38187531383641e-05,0.00013659229292611,3.88839374023233e-06,4.28720335461513e-05,3.08080427110715e-06,0.000123630980458669,0.000787648988406036,0.000139871740379327
