"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.738166726923585,0.00304761801976467,0.124714862081539,0.0287346841863526,0.0203042603134971,0.000603586685732613,0.00493753698656679,0.0111910908453047,0.0455163730224594,0.0207792137711227,0.000514532912427801,2.13634540371605e-07,1.45456926363663e-06,2.0936946109532e-06,0.000361152630205814,1.42288140013688e-06,7.91589096042771e-08,1.0290658248556e-07,5.77741301746817e-05,6.04819014107128e-05,2.83289947746307e-06,6.98399269711136e-05,5.69944149150795e-07,1.17798352354865e-05,1.16126120389475e-05,7.47161158027371e-06,1.2418053944171e-06,0.000232612648404308,1.5267774689925e-05,9.68212413097315e-06,1.42945057006165e-06,7.30240941099457e-06,2.43116801122136e-06,2.53565777189901e-05,5.46196476269512e-06,1.17452032125346e-06,4.80296684023952e-06,1.05103242227079e-05,3.40215098615483e-05,5.28187824334539e-06,4.83561989045128e-06,7.91292250131755e-06,5.07458084881919e-05,6.92640459037425e-09,2.0284470586096e-07,7.53889665343734e-06,4.56618547275199e-07,8.64217395604696e-06,3.70859491496038e-06,6.81231681190708e-05,9.20222324149722e-07,1.68806374731121e-06,4.71984998515502e-06,1.64254737428875e-07,1.13395138008127e-06,1.21212080331549e-06,8.53629891445124e-06,7.36177859319777e-07,7.01595310686409e-05,7.62597145400205e-06,4.82631871857278e-05,0.000245746855893738,9.74732980218995e-07
0.736633807308244,0.00298,0.12059,0.0271,0.0179012247586542,0.000604305710313629,0.00437,0.0108,0.0431,0.0201,0.00048,2.13634540371605e-07,1.03e-06,2.0936946109532e-06,0.000368,1.36e-06,9.5e-08,8.5e-08,5.7e-05,6.04819014107128e-05,2.74e-06,6.31922872780148e-05,5.5e-07,1.185658302699e-05,1.169e-05,7.67e-06,1.29e-06,0.000232612648404308,1.444e-05,1.037e-05,1.34e-06,7.41580800788985e-06,2.48e-06,2.33e-05,5.82264241840595e-06,1.16e-06,4.08e-06,1.12684304220459e-05,3.344e-05,6.03601338518469e-06,5.63e-06,7.99e-06,4.75e-05,4.58680734828402e-05,5.8e-07,6.95245249599946e-06,4.56618547275199e-07,8.76e-06,3.62299363897701e-06,6.97e-05,1.1187815431325e-06,1.76e-06,4.68e-06,1.63044709078959e-07,1.17e-06,1.3e-06,9.4e-06,8.6e-07,6.31e-05,7.89e-06,5.36e-05,0.000209,0.0138464466148664
0.736633666706853,0.00306220833309919,0.125359153636248,0.0296651432268984,0.0179012213418451,0.000574164062456099,0.00468900651005814,0.011483281249122,0.0467943710901721,0.0217225403629224,0.000546506580049664,2.13634499595152e-07,1.45456898600281e-06,2.09369421132944e-06,0.000372249700492371,1.32459728146505e-06,1.00444772358693e-07,2.21032937656851e-07,6.31580468701709e-05,6.04818898665244e-05,3.07177773414013e-06,7.5215492181749e-05,6.31580468701709e-07,1.20574453115781e-05,1.22488333323968e-05,8.06700507750819e-06,1.30143854156716e-06,0.000232612604005502,1.58039363997397e-05,1.03349531242098e-05,1.42945029722223e-06,7.41580659243361e-06,2.66029348937992e-06,2.87082031228049e-05,5.97130624954343e-06,1.25359153636248e-06,4.12134154337295e-06,1.12684282712391e-05,3.6937888018009e-05,5.84690403601127e-06,4.92824153608151e-06,8.66987734308709e-06,4.92945286390414e-05,4.58680647279951e-05,5.02017803860294e-07,6.95245116898395e-06,4.56618460120357e-07,9.41629062428003e-06,3.62299294745574e-06,7.36843880151994e-05,1.11878132959052e-06,1.78947799465484e-06,4.92824153608151e-06,1.63044677958594e-07,1.25359153636248e-06,1.60765937487708e-06,1.04306471346191e-05,1.25866153592907e-06,7.45456341088835e-05,8.03829687438538e-06,4.80383932254936e-05,0.00023391311042998,0
0.76710003092284,0.002870809252389,0.107110883140858,0.0252433227365239,0.0179012247586542,0.000494967112480862,0.00386074347735072,0.0106912896295866,0.0417752242933847,0.0206896253017,0.000494967112480862,2.13634540371605e-07,7.62249353220527e-07,2.0936946109532e-06,0.000376511583121942,1.35620988819756e-06,1.00444791530604e-07,2.21032979845445e-07,5.98118258721873e-05,6.04819014107128e-05,2.62332569614857e-06,6.78203937521277e-05,5.34564481479331e-07,1.42253548127e-05,1.08397797633309e-05,6.63255930724355e-06,1.30671317694948e-06,0.000232612648404308,1.51756916686632e-05,9.41427447938599e-06,1.13842435870598e-06,1.05625981803416e-05,2.04916384567077e-06,2.62035589347368e-05,5.20705402329867e-06,1.19782041220369e-06,4.12134233001409e-06,1.76208292043187e-05,3.39547439161871e-05,5.49413494853757e-06,5.81091390052532e-06,7.84027906169685e-06,5.11202033770234e-05,4.58680734828402e-05,1.18792106995407e-07,6.95923760148092e-06,4.56618547275199e-07,8.80051525990972e-06,3.22718557337522e-06,6.96814700950557e-05,2.6431243806478e-06,1.59379410218837e-06,4.86057704456206e-06,1.63044709078959e-07,1.25721646570139e-06,1.26711580795101e-06,9.10739486964786e-06,1.25866177617001e-06,7.43242616101262e-05,7.72148695470144e-06,5.353564288593e-05,0.000380659407524532,5.83496923483029e-05
0.738349913030627,0.00294632846380936,0.126004647302247,0.0283829642013635,0.0186404380810339,0.000589265692761873,0.00530339123485686,0.0111960481624756,0.0454716692914579,0.0210171430418401,0.000589265692761873,5.89265692761873e-08,6.08907882520602e-07,2.0936946109532e-06,0.000374183714903789,1.17853138552375e-06,9.82109487936455e-08,1.57137518069833e-07,6.33067775923839e-05,2.94632846380936e-05,3.01507612796492e-06,7.990442793851e-05,5.79444597882508e-07,1.530126582205e-05,1.19522724681867e-05,7.62116962638689e-06,1.28656342919676e-06,4.41949269571405e-05,1.64110495434182e-05,1.00568011564693e-05,1.32584780871421e-06,7.57206415199007e-06,2.47491590959987e-06,2.74401390929446e-05,5.82264241840595e-06,1.12942591112692e-06,4.81233649088863e-06,1.09308786007327e-05,3.56505744120933e-05,8.80952210679e-06,5.10696933726957e-06,8.21043531914876e-06,5.19535919118385e-05,0.000182672364756181,2.94632846380936e-07,6.70780780260599e-06,4.56618547275199e-07,8.3381095525805e-06,3.5454152514506e-06,7.33537576539738e-05,9.13361823780903e-07,1.7186916038888e-06,4.78287320625053e-06,1.63044709078959e-07,1.17274926618124e-06,1.26692123943803e-06,1.01157277257455e-05,8.34793064745987e-07,6.85512422579645e-05,7.86669699837101e-06,5.30142701588098e-05,0.000250437919423796,7.27968840763538e-09
0.735107854682402,0.00305555691809526,0.126756328924855,0.0305555691809526,0.0179012247586542,0.000620968018838715,0.00512545031422431,0.0115322632070047,0.0457347874192323,0.0213888984266668,0.000630824654058377,2.13634540371605e-07,1.45456926363663e-06,2.0936946109532e-06,0.000377607695265257,1.69534125778189e-06,1.00444791530604e-07,2.21032979845445e-07,6.35752971668208e-05,6.04819014107128e-05,3.44982232688175e-06,8.03315770402465e-05,6.66308540849161e-07,1.09507217290446e-05,1.17392525466176e-05,7.71774537699546e-06,1.3010758489954e-06,0.000232612648404308,3.09005514136408e-05,9.96505820707842e-06,1.42945057006165e-06,6.25896336448546e-06,2.56272515711216e-06,2.70564636779726e-05,6.60394559717364e-06,1.18279622635946e-06,3.26254625770817e-06,9.74821223224586e-06,3.48234922310663e-05,7.56989584870053e-06,4.95788751549006e-06,8.23029040841789e-06,5.19740375132785e-05,4.58680734828402e-05,5.02017899680516e-07,7.68817547133647e-06,4.56618547275199e-07,8.88082833291559e-06,3.62299363897701e-06,7.07903541476135e-05,7.39247641474661e-07,1.77419433953919e-06,4.20878323879573e-06,1.63044709078959e-07,1.17274926618124e-06,1.3010758489954e-06,1.36021566031338e-05,1.25866177617001e-06,7.88727950277365e-05,7.94444798704768e-06,5.04068325133522e-05,0.000228279671687375,1.693533757674e-09
0.723695242463655,0.00301787050794934,0.138920989939701,0.0291892393391821,0.0179012247586542,0.00057389012938053,0.00425470268333841,0.0114778025876106,0.0471975158128471,0.0215703531387855,0.000583784786783643,2.13634540371605e-07,4.9473287015563e-06,2.0936946109532e-06,0.000313660639678669,1.32459753429116e-06,1.00444791530604e-07,2.21032979845445e-07,7.66835948741226e-05,6.04819014107128e-05,6.92626018217881e-06,5.83784786783643e-05,6.97387475091898e-07,1.48419861046689e-05,1.33973661238145e-05,8.66771988512663e-06,1.47430395306378e-06,0.000232612648404308,1.38525203643576e-05,1.09138071156332e-05,1.42945057006165e-06,6.92626018217881e-06,2.83976667469331e-06,2.95850256353067e-05,5.82264241840595e-06,1.28630546240464e-06,4.12134233001409e-06,1.38525203643576e-05,3.90838967422947e-05,4.9473287015563e-06,4.9473287015563e-06,9.10308481086359e-06,5.3431149976808e-05,4.58680734828402e-05,5.02017899680516e-07,8.21256564458345e-06,4.56618547275199e-07,9.81550014388769e-06,3.62299363897701e-06,8.11361907055233e-05,1.1187815431325e-06,2.02840476763808e-06,5.52121883093683e-06,1.63044709078959e-07,1.24672683279219e-06,1.33539982744939e-06,8.90519166280133e-06,1.25866177617001e-06,8.34119619082392e-05,8.47972139446749e-06,5.3431149976808e-05,0.000249345366558437,4.96904150617539e-05
0.743176321977374,0.00306974896486324,0.124275320996883,0.0287170064454948,0.0179012247586542,0.000514925632815769,0.00441647754299679,0.0112887542578842,0.043273557988556,0.021191170273572,0.000594144960941272,2.13634540371605e-07,1.45456926363663e-06,2.0936946109532e-06,0.000346584560549075,1.32459753429116e-06,1.00444791530604e-07,2.21032979845445e-07,5.92805606144953e-05,6.04819014107128e-05,3.21826638388246e-06,5.34730464847145e-05,6.97387475091898e-07,7.9219328125503e-06,1.131186237013e-05,7.3336068191657e-06,1.29250585359044e-06,0.000232612648404308,1.3863382421963e-05,9.85943247366867e-06,1.42945057006165e-06,7.41580800788985e-06,2.44488692673427e-06,2.59731345757887e-05,5.82264241840595e-06,1.15971071241269e-06,4.12134233001409e-06,1.08926576172567e-05,3.43876623768825e-05,6.03601338518469e-06,7.9219328125503e-06,7.71472902726663e-06,4.85218384768706e-05,4.58680734828402e-05,5.02017899680516e-07,8.91217441411908e-06,4.56618547275199e-07,8.61359090044439e-06,7.9219328125503e-06,6.83266705082463e-05,1.1187815431325e-06,1.79048083005196e-06,4.76609610095041e-06,1.63044709078959e-07,1.17274926618124e-06,1.33539982744939e-06,8.91217441411908e-06,1.25866177617001e-06,6.93169121098151e-05,7.47448785464623e-06,4.6541355273733e-05,0.000255482333204747,6.42317674578452e-05
0.739021143246464,0.002942168909226,0.124743985847251,0.0290240986991214,0.0179012247586542,0.000618253061330599,0.00486054255611999,0.0111225912480537,0.0462298229621964,0.0213804233910309,0.000504939799286084,2.13634540371605e-07,1.45456926363663e-06,1.32198805718601e-06,0.000381984970207957,1.32459753429116e-06,1.00444791530604e-07,2.21032979845445e-07,2.91234962974061e-05,6.04819014107128e-05,4.68162687920759e-06,4.63192808006526e-05,6.97387475091898e-07,9.98945862760856e-06,1.131186237013e-05,7.3336068191657e-06,1.29250585359044e-06,0.000232612648404308,1.61322302016007e-05,9.85943247366867e-06,1.42945057006165e-06,7.41580800788985e-06,2.44488692673427e-06,2.21656644174797e-05,2.81295203145594e-06,1.15971071241269e-06,2.80301227162748e-06,1.21364467505573e-05,3.43876623768825e-05,5.92409685776587e-06,3.41927738099238e-05,7.71472902726663e-06,4.92945380478963e-05,4.58680734828402e-05,2.55451827591582e-06,5.72530166119655e-06,4.56618547275199e-07,8.61359090044439e-06,4.76114495783532e-06,7.24608491495188e-05,1.1187815431325e-06,1.79048083005196e-06,4.76609610095041e-06,1.63044709078959e-07,1.17274926618124e-06,1.33539982744939e-06,1.46114469478454e-05,1.25866177617001e-06,5.42710886634256e-05,7.47448785464623e-06,5.33069319600644e-05,0.000233913155077014,0.000134844692938341
0.738348628492385,0.00293246245870872,0.122926456602436,0.0282385273801581,0.0222156246871873,0.000572669436380828,0.00493680548604162,0.0118483331664999,0.0444312493743746,0.0214257358094206,0.000562795825408745,2.13634540371605e-07,1.45456926363663e-06,2.0936946109532e-06,0.00038309610571683,1.37243192511957e-06,1.00444791530604e-07,2.21032979845445e-07,6.22037491241245e-05,6.04819014107128e-05,3.21826638388246e-06,6.12163880269161e-05,6.97387475091898e-07,1.18483331664999e-05,1.03672915206874e-05,6.11176519171953e-06,1.25394859345457e-06,0.000232612648404308,1.58039394162397e-05,8.39256932627076e-06,1.42945057006165e-06,7.41580800788985e-06,1.92535413955623e-06,2.76461107218331e-05,6.12163880269161e-06,1.04660276304082e-06,4.12134233001409e-06,1.18483331664999e-05,3.03119856842956e-05,6.03601338518469e-06,6.21266982925512e-06,6.76342351587702e-06,5.23301381520412e-05,4.58680734828402e-05,5.02017899680516e-07,7.80015266794576e-06,4.56618547275199e-07,8.03711933127576e-06,3.62299363897701e-06,7.10899989989994e-05,1.1187815431325e-06,1.57977775553332e-06,4.76609610095041e-06,1.63044709078959e-07,9.67613875264158e-07,1.33539982744939e-06,1.05134261506463e-05,1.25866177617001e-06,7.20773600962077e-05,6.31911102213328e-06,5.33174992492495e-05,0.000243878191010456,7.03703781912424e-08
