"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.414023605980354,0.00921973235307678,0.215895399267881,0.103337833457402,0.0468784405412666,0.000749103253687488,0.0455224284933166,0.146747406619805,0.0135414818935815,0.000864349908100948,0.000672272150745182,2.97720523901438e-07,1.75886643470542e-06,4.74432060668743e-05,1.21008987134133e-07,5.47421608463934e-08,1.82473869487978e-07,2.97720523901438e-06,0.000183619488974253,3.41898408093264e-05,4.03363290447109e-05,3.31334131438697e-07,0.000596401436589654,7.81756472437969e-07,4.12006789528119e-07,3.55343851108168e-07,0.000164050642282005,1.87275813421872e-05,7.99043470599988e-07,1.35947347820993e-06,3.23651021144466e-07,1.48860261950719e-07,1.25810931068027e-06,2.84275080886534e-06,5.09006056992781e-08,3.07324411769226e-07,1.92077757355766e-07,2.43938751841823e-06,1.79592703127641e-05,4.0240290166033e-06,5.81135314534126e-07,1.36375207722594e-06,5.68922998425717e-05,8.16330468762007e-08,3.93759402579321e-05,1.47943221658595e-06,6.96281870414653e-07,2.40097196694708e-07,0.000766390251849507,1.34454430149036e-08,1.28692097428363e-07,5.57025496331722e-08,1.24850542281248e-08,5.57025496331722e-08,2.49701084562496e-08,0.000455224284933166,2.25974411388507e-06,3.66868516549513e-06,3.46700352027158e-07,8.6242913052739e-05,9.06607014719216e-06,0
0.416039855585563,0.00928000806574543,0.223911333150661,0.0965892025355793,0.0468784405382526,0.000937258862548803,0.0448586217309509,0.144024808919159,0.0134575865192853,0.000828452843882242,0.000292058260631297,4.5826215076487e-07,1.75886643459234e-06,4.72447186315334e-05,1.84263207753547e-07,0,2.35795186173882e-07,3.04465964514326e-06,0.000249108516420812,3.34053566081549e-05,2.48154077660579e-05,3.34053566081549e-07,0.000556437797215837,8.01728558595717e-07,3.81775504093199e-07,3.24509178479219e-07,0.000164050642271457,1.84206680724968e-05,7.92184170993388e-07,1.35947347812253e-06,3.95853387636865e-07,1.4316581403495e-07,1.60345711719143e-06,3.766039783273e-06,6.12122632317418e-08,1.67981221801007e-06,1.81343364444269e-07,2.50062955181045e-06,1.77525609403337e-05,3.76048871531801e-06,4.39041829707179e-07,1.46029130315649e-06,0.00041708973822182,2.59214078191979e-07,3.81775504093199e-05,1.47943221649083e-06,5.91752031344458e-07,7.55603116518854e-07,0.000743507794221505,7.92207143117145e-08,1.1453265122796e-07,0,0,5.85174497923119e-08,0,0.000439996268467412,1.87069997005667e-06,4.13271983180888e-06,3.24509178479219e-07,0.00010498826362563,1.20259283789358e-05,1.11022302462516e-16
0.413477630249759,0.00924833469337766,0.214445760702694,0.104043765300499,0.0468784405415286,0.00105970501694952,0.0453746420893841,0.148262365553211,0.0131981443020077,0.000867031377504155,0.000578020918336104,4.58262150796896e-07,1.75886643471525e-06,4.71087048443924e-05,1.84263207766424e-07,2.26391526348307e-07,2.35795186190361e-07,3.08855844030925e-06,0.000183619488975279,3.43633435950814e-05,4.0740841060723e-05,3.56446232973931e-07,0.000515594659155804,7.91888658120462e-07,4.20991902188129e-07,3.67043283143426e-07,0.000164050642282922,1.9777949089067e-05,8.42947172573484e-07,1.03273070742717e-06,3.27545187057125e-07,1.4932207057016e-07,1.24852518360598e-06,3.76603978353618e-06,5.58753554391567e-08,7.71982126345225e-07,1.75333011895285e-07,2.45369879833676e-06,2.16179823457703e-05,3.6302603776099e-06,4.69160312049471e-07,1.53464553818235e-06,5.68922998428898e-05,2.59214078210094e-07,3.99125500404535e-05,1.47943221659422e-06,7.15782570539542e-07,4.47002843513253e-07,0.000750271152000262,1.63772593528563e-08,1.25237865639489e-07,5.20218826502493e-08,0,5.9728828228064e-08,0,0.000429854889602616,2.04523068271258e-06,4.02302559161928e-06,3.64153178551745e-07,0.000101346334348264,9.74928615593561e-06,0.000117162542539462
0.41169670483944,0.00901875792470459,0.217409632525326,0.103140050734654,0.0468784405407749,0.000959442332415382,0.0447100126905568,0.148905449990867,0.0128565272543661,0.00143916349862307,0.000575665399449229,4.58262150789527e-07,1.75886643468697e-06,4.79721166207691e-05,1.24727503214e-07,0,2.3579518618657e-07,3.07021546372922e-06,0.000183619488972327,3.54993662993691e-05,3.45399239669538e-05,4.12560202938614e-07,0.000520017744169137,7.57959442608152e-07,4.12560202938614e-07,3.54993662993691e-07,0.000164050642280284,1.7653738916443e-05,8.05931559228921e-07,1.35947347819568e-06,2.87832699724615e-07,1.63105196510615e-07,1.29524714876077e-06,4.70126742883537e-06,4.79721166207691e-08,7.71982126332812e-07,2.0148288980723e-07,2.39860583103846e-06,2.30266159779692e-05,4.60532319559383e-06,4.70126742883537e-07,1.84212927823753e-06,5.6892299841975e-05,2.59214078205926e-07,3.74182509641999e-05,1.47943221657044e-06,7.09987325987383e-07,7.5560311655951e-07,0.000753162230946075,1.91888466483076e-08,1.24727503214e-07,4.79721166207691e-08,1.91888466483076e-08,5.75665399449229e-08,2.87832699724615e-08,0.00040104689494963,2.25974411386137e-06,4.22154626262768e-06,3.54993662993691e-07,8.95517176180807e-05,8.82686945822151e-06,0
0.413421001846241,0.00936985619355496,0.211022546987706,0.106653822284802,0.0494785773486193,0.000966624960375925,0.0481209043083287,0.144706911723933,0.0123051070623523,0.000877706937314639,0.000359496523344558,4.58262150796896e-07,1.75886643471525e-06,7.45764064384987e-05,1.84263207766424e-07,0,2.35795186190361e-07,3.23164427900161e-06,0.000162538321724933,3.34637721198392e-05,4.30248498683646e-05,3.60924819477464e-07,0.000569712658304803,7.74447297630563e-07,4.49370654180697e-07,2.9639341020429e-07,0.000164050642282922,1.54698237971142e-05,8.70058075115818e-07,5.83225742660054e-07,1.22381795181126e-06,1.43416166227882e-07,1.59669998400375e-06,5.25859276168901e-06,5.73664664911529e-08,7.71982126345225e-07,0,2.4763191368681e-06,1.91221554970509e-05,4.30248498683646e-06,5.83225742660054e-07,1.84528800546542e-06,0.000200782632719035,2.59214078210094e-07,4.87614965174799e-05,1.47943221659422e-06,7.84008375379089e-07,7.55603116571659e-07,0.000731422447762199,7.92207143172507e-08,1.0517185523378e-07,1.81660477221984e-07,0,7.64886219882038e-08,0,0.000468492809677748,2.25974411389771e-06,4.30248498683646e-06,3.92004187689544e-07,0.000113776825207453,3.40374367847507e-05,7.40673953281146e-08
0.417096752613458,0.00952715313797018,0.211350480170838,0.104362801694366,0.0468784405400152,0.00101067335953329,0.0448719811948239,0.14840133661166,0.0128561483269542,0.000615025873763384,0.000589160299633148,4.58262150782101e-07,1.58067397462552e-06,3.78403769683079e-05,1.84263207760475e-07,0,2.35795186182748e-07,3.63378693391942e-06,0.000183619488969351,3.59244085142164e-05,2.18420403766436e-05,3.60924819465812e-07,0.000492595489546935,7.72753719842155e-07,4.23264520080586e-07,3.59217586241719e-07,0.000164050642277626,1.8105901891165e-05,8.15507218166625e-07,1.35947347817364e-06,3.95853387651749e-07,1.62551544638573e-07,5.26891324875174e-06,3.7660397834146e-06,6.12122632340434e-08,1.43697634056865e-06,1.05378264975035e-06,2.83784685147546e-06,1.4273964982982e-05,1.36033760240499e-05,5.81135314518613e-07,1.43697634056865e-06,5.6892299841053e-05,3.35294479466019e-06,3.65949974731484e-05,1.47943221654646e-06,8.09295666791972e-07,2.87395268113731e-07,0.000778074789206574,4.78992113522885e-07,1.2693373157512e-07,0,0,5.85174497945121e-08,0,0.000426494577880777,2.25974411382475e-06,6.22689747579751e-06,4.19593445918604e-07,9.52236321683495e-05,2.22252340674619e-05,0
0.413579400239147,0.00948921386282459,0.212614762094773,0.103817636816051,0.0468784405304748,0.000995897692534066,0.0434061069764848,0.151169753517671,0.0132473183629531,0.00150324180005142,0.000450972540015426,8.92549818780531e-07,2.3300247900797e-05,5.17678894892708e-05,2.44276792508356e-06,0,7.61016161276032e-07,7.61016161276032e-06,0.000183619488931982,3.6923376713763e-05,3.72052345512727e-05,3.60924819392359e-07,0.000548589304406265,7.7275371968489e-07,4.23264519994446e-07,3.59217586168614e-07,0.000164050642244239,1.76630911506042e-05,1.39989392629789e-06,9.95897692534066e-06,3.95853387571187e-07,1.78509963756106e-07,5.28013682268061e-06,4.46274909390265e-06,6.12122632215859e-08,7.71982126163193e-07,0,1.16783097341495e-05,2.35821057383067e-05,4.09633390514012e-06,5.32711312893222e-06,1.88577055266061e-06,0.000422786756264462,1.45626549379981e-05,3.92721920263434e-05,1.47943221624538e-06,2.17030534882424e-06,9.95897692534066e-06,0.000595659563270375,2.34881531258034e-06,1.26933731549287e-07,0,0,5.85174497826031e-08,0,0.000434061069764848,2.25974411336486e-06,4.34061069764848e-06,4.19593445833211e-07,9.09461289031109e-05,1.08947445647072e-05,0
0.419746096235115,0.00950572073244492,0.215367106968803,0.101190574842021,0.0468784405415286,0.000940982443249592,0.0424540911232565,0.151236456377907,0.00689254655883459,0.000672273019434156,0.000376592761258064,4.58262150796896e-07,3.99567916454179e-07,5.09449093479078e-05,1.84263207766424e-07,0,1.69816364493026e-06,1.10880096816035e-05,0.000183619488975279,3.52879743205213e-05,4.24540911232565e-05,3.60924819477464e-07,0.000644403157261477,7.72753719867103e-07,4.23264520094251e-07,3.59217586253316e-07,0.000164050642282922,1.80804482195516e-05,8.15507218192953e-07,1.35947347821753e-06,3.95853387664529e-07,1.62551544643821e-07,8.39092624553776e-06,3.76603978353618e-06,6.12122632360196e-08,7.71982126345225e-07,7.99135832908358e-07,2.83784685156708e-06,1.81803401986652e-05,5.39416687213142e-06,5.81135314537375e-07,2.29751551961153e-06,0.000376592761258064,2.59214078210094e-07,3.99125500404535e-05,1.47943221659422e-06,8.09295666818099e-07,1.69816364493026e-06,0.000738401509607323,7.92207143172507e-08,1.26933731579218e-07,1.89794760315735e-06,0,5.85174497964013e-08,2.99675937340634e-06,0.000404262839472516,2.25974411389771e-06,4.59503103922306e-06,3.09665135251989e-06,8.74054817243517e-05,4.99459895567724e-06,0.00186779291869033
0.413463814642916,0.00990390067633032,0.21538580111631,0.107692900558155,0.0468784405415286,0.00103846725538221,0.0425963883457702,0.14711619451248,0.0116346794353007,0.00125000688147858,0.000386641744355963,4.58262150796896e-07,1.75886643471525e-06,0.000176924050916969,1.84263207766424e-07,0,2.35795186190361e-07,2.8077077645519e-06,0.000183619488975279,3.24713326057937e-05,6.73080628488469e-05,3.94232939543246e-07,0.000585580146784968,7.20196272482661e-07,4.144253583979e-07,3.48078839304036e-07,0.000164050642282922,1.88366421601273e-05,7.53850303907085e-07,1.04808269293204e-06,2.96155476534926e-07,1.60577807082249e-07,1.21154513127924e-06,3.76603978353618e-06,6.05772565639622e-08,7.71982126345225e-07,0,2.27885869931096e-06,1.41635395109073e-05,4.40387039782455e-06,4.55771739862192e-07,1.55770088307331e-06,5.68922998428898e-05,2.59214078210094e-07,4.60867921763604e-05,1.47943221659422e-06,6.3269579077916e-07,1.81731769691886e-05,0.00076346574145692,7.92207143172507e-08,1.3365458194271e-07,7.21157816237645e-08,0,5.2884906524094e-08,0,0.000358655820608855,2.25974411389771e-06,4.05771464603048e-06,3.56732733098888e-07,9.88466980123065e-05,7.17311641217711e-06,2.70464884132293e-05
0.416751962637879,0.00887321929245195,0.217297424629285,0.104742566865248,0.0468784405415286,0.00106092839366273,0.0444625444980473,0.143900469394982,0.0122489005450152,0.00077158428630017,0.000385792143150085,4.58262150796896e-07,1.75886643471525e-06,5.59398607567623e-05,1.84263207766424e-07,0,2.35795186190361e-07,3.37568125256324e-06,0.000183619488975279,3.37568125256324e-05,4.14726553886341e-05,3.60924819477464e-07,0.000563256528999124,8.1980830419393e-07,4.24371357465093e-07,4.05081750307589e-07,0.000164050642282922,1.8325126799629e-05,3.85792143150085e-07,1.35947347821753e-06,5.78688214725127e-06,1.92896071575042e-07,1.25382446523778e-06,3.76603978353618e-06,7.7158428630017e-08,7.71982126345225e-07,0,2.70054500205059e-06,1.8325126799629e-05,4.82240178937606e-07,5.81135314537375e-07,2.89344107362564e-06,5.68922998428898e-05,2.59214078210094e-07,3.99125500404535e-05,1.47943221659422e-06,7.42649875563913e-07,7.55603116571659e-07,0.000731076111269411,7.92207143172507e-08,1.63961660838786e-07,0,0,5.78688214725127e-08,0,0.000428229278896594,2.25974411389771e-06,4.82240178937606e-06,4.05081750307589e-07,7.61939482721418e-05,3.85792143150085e-06,0.000171958777355541
