"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","Ga","Gd","Ge","Hf","Hg","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.406178632506188,1.87784850904387e-05,0.00356791216718335,0.0830947965251911,0.0673337249944737,0.00112670910542632,0.428055567636549,0.00441294399625309,0.000187784850904387,9.38924254521933e-05,1.87784850904387e-05,3.98338513794716e-08,3.57538114390943e-07,2.45015232064638e-06,7.52690731139273e-08,1.03281667997413e-07,5.6335455271316e-07,6.90602039762305e-05,0.000110793062033588,0.00286090220352833,2.33790123556824e-08,5.6335455271316e-06,1.83011850232862e-08,1.87784850904387e-07,7.36223694699019e-09,4.69462127260967e-07,5.9387236622241e-08,7.51139403617546e-07,7.21715330027806e-08,7.80124275842592e-09,3.8048002571403e-09,1.8507431778537e-07,1.87784850904387e-06,4.83777691749679e-09,1.87784850904387e-07,1.34129624427954e-07,2.8167727635658e-07,0.00233604354525057,0.00022346397257622,2.53509548720922e-06,2.24580489076644e-07,6.86159940190399e-05,1.4083863817829e-06,8.4503182906974e-06,2.36300454112746e-08,9.38924254521933e-08,5.29193886365297e-07,3.47461096009088e-08,4.92034338963972e-09,7.4654765239612e-08,1.56439368416911e-08,3.60251956070907e-09,2.40444300101587e-08,3.56791216718335e-05,6.94803948346231e-06,2.3453971183333e-07,2.80132591037427e-08,6.76025463255792e-05,9.38924254521933e-07,0.000103250086980866
0.412758436498774,0.000837615767415776,0.00372273674407012,0.081714071532339,0.0673337249915768,0.00120988944182279,0.422251415196153,0.00446728409288414,0.000368396032136599,9.30684186017529e-05,5.6141925783437e-05,3.98338513777578e-08,2.82927992549329e-07,2.75482519061189e-07,7.52690731106891e-08,1.0885481330942e-07,5.02569460449466e-07,6.90602039732594e-05,0.000107959365578033,0.00233043320178789,3.68550937662942e-09,4.70740061287666e-06,2.3732446743447e-09,2.89442781851452e-07,7.36223694667345e-09,5.7191851230812e-07,5.9387236619686e-08,7.70496618405476e-07,1.5449357487891e-08,7.8012427580903e-09,9.6791155345823e-10,2.97818939525609e-08,1.68453837669173e-06,3.44353148826486e-09,4.23927139817071e-07,2.10334626039962e-09,2.5221541441075e-07,0.0022615625720226,0.000221782041527977,2.53983714364184e-06,2.71759782317118e-08,6.86159940160879e-05,1.88194873306854e-06,7.19605012628753e-06,2.3630045410258e-08,3.82603520145069e-07,1.28434417670419e-07,1.64731100925103e-09,4.92034338942804e-09,1.40533312088647e-09,1.56439368410181e-08,1.44256048832717e-09,8.28308925555601e-10,3.3504630696631e-05,6.21081971532037e-06,2.22433520458189e-08,1.21919628368296e-08,6.5147893021227e-05,5.85400353005026e-07,0
0.403600101754495,1.91850317555368e-05,0.00220627865188674,0.0845196573990176,0.0673337249944737,0.00116069442120998,0.421734960566089,0.0047099252959843,0.000115110190533221,5.75550952666105e-05,5.61419257858523e-05,3.98338513794716e-08,3.16553023966358e-07,2.45015232064638e-06,7.52690731139273e-08,1.20865700059882e-07,6.7147611144379e-07,6.90602039762305e-05,0.000107632824406501,0.000663341657979442,2.33790123556824e-08,5.20873612162825e-06,1.83011850232862e-08,4.94014567705074e-07,7.36223694699019e-09,2.68590444577516e-07,5.9387236622241e-08,7.70496618438624e-07,2.56120173936417e-07,7.80124275842592e-09,3.8048002571403e-09,4.79625793888421e-08,1.63072769922063e-06,1.91850317555369e-09,1.35254473876535e-07,1.34129624427954e-07,2.01442833433137e-07,0.00236547604539418,0.000233385911306106,2.35975890593103e-06,9.59251587776843e-08,6.86159940190399e-05,1.56358008807625e-06,8.94113409140083e-06,2.36300454112746e-08,9.59251587776843e-08,9.59251587776843e-08,1.25661957998766e-07,4.92034338963972e-09,4.70033278010653e-07,2.68590444577516e-08,3.60251956070907e-09,2.40444300101587e-08,1.90699215650036e-05,6.65432826440796e-06,2.87775476333053e-08,6.7147611144379e-09,5.21832863750602e-05,2.30220381066442e-06,0.0108720852211549
0.390050872663606,0.000279339369298358,9.31131230994525e-05,0.0890161456830766,0.0673337249918299,0.00102424435409398,0.440797524752808,0.00419009053947536,9.31131230994525e-05,9.31131230994525e-05,9.31131230994525e-05,3.98338513779076e-08,2.99824256380237e-06,9.31131230994525e-09,7.5269073110972e-08,1.08854813309829e-07,1.33803557893913e-06,6.9060203973519e-05,3.09135568690182e-05,0.00419381506439934,9.31131230994525e-09,5.30744801666879e-06,8.38018107895072e-08,1.93675296046861e-07,3.16584618538138e-08,5.7191851231027e-07,2.79339369298357e-08,7.70496618408372e-07,1.79708327581943e-06,7.80124275811962e-09,4.09697741637591e-08,3.7245249239781e-08,2.05807909356635e-06,9.31131230994525e-09,4.23927139818665e-07,1.57361178038075e-05,6.93692767090921e-07,0.00214998201236636,0.000175052671426971,2.16953576821724e-06,2.23471495438686e-06,6.86159940163458e-05,1.88194873307561e-06,2.19746970514708e-05,2.36300454103468e-08,3.82603520146507e-07,6.14546612456386e-07,3.25895930848084e-07,9.31131230994525e-09,3.16584618538139e-07,1.56439368410769e-08,2.04848870818795e-08,1.02424435409398e-07,3.83626067169744e-05,6.21081971534372e-06,2.6537240083344e-05,8.38018107895072e-08,7.18833310327773e-05,4.26458103795492e-05,1.11022302462516e-16
0.404012535017119,7.58265841252235e-05,0.00392517383083947,0.0841108678037028,0.0702793028759828,0.0011214782373827,0.424853338928481,0.00504665206822217,9.34565197818921e-05,0.000132257978565344,5.61419257858523e-05,2.3364129945473e-08,3.57538114390943e-07,1.08409562946995e-06,5.04665206822217e-08,9.06528241884353e-08,6.07467378582298e-07,6.90602039762305e-05,0.000109344128144814,0.00329901514830079,2.89715211323865e-08,4.26161730205428e-06,3.36443471214811e-08,2.3364129945473e-08,8.41108678037028e-09,9.62602153753488e-07,1.77567387585595e-08,1.48595866453208e-06,1.96258691541973e-08,5.60739118691352e-09,7.47652158255136e-09,2.24295647476541e-07,1.78501952783414e-06,3.73826079127568e-09,1.58876083629217e-07,4.48591294953082e-07,2.05604343520163e-07,0.00237379560246006,0.000238314125443825,8.13071722102461e-08,3.83171731105757e-07,6.86159940190399e-05,1.8819487331495e-06,8.80360416345423e-06,2.61678255389298e-08,4.39245642974893e-07,3.83171731105757e-07,3.36443471214811e-08,4.6728259890946e-09,1.96258691541973e-07,1.56439368416911e-08,3.73826079127568e-09,6.26158682538677e-08,3.24294123643165e-05,6.10271074175755e-06,2.89715211323865e-08,2.42986951432919e-08,6.68214116440528e-05,8.78491285949785e-07,1.78325524125e-07
0.403291547827933,6.56063405715903e-05,0.00546407093617674,0.0832357015166134,0.0673337249944341,0.00126995130677864,0.42878429730718,0.00471897035397082,0.000252678134544296,2.67111529470046e-05,5.61419257858194e-05,3.98338513794482e-08,2.49960157577759e-07,4.39562481829655e-06,7.52690731138831e-08,7.80996622832946e-08,8.10706922777509e-08,6.90602039761899e-05,0.000112468012408441,0.00278826947429259,1.54643517061606e-08,8.02927885252592e-06,1.83011850232755e-08,2.6402209183827e-07,1.87446687347401e-09,2.87449495047239e-07,4.68616718368502e-08,7.70496618438172e-07,7.45100582205919e-08,9.37233436737004e-09,6.56063405715903e-09,3.23345535674266e-08,2.05807909364595e-06,5.62340062042203e-09,4.23927139835061e-07,1.34129624427875e-07,4.07696544980597e-08,0.00211814756702563,0.000213033160170321,2.19312624196459e-06,2.24580489076512e-07,6.86159940189996e-05,1.35430231608497e-06,8.2898297479388e-06,7.49786749389604e-09,3.82603520161304e-07,5.29193886364986e-07,2.81170031021101e-09,3.74893374694802e-09,7.73217585308029e-08,1.5643936841682e-08,3.60251956070695e-09,9.84095108573855e-09,2.62734649320484e-05,6.69184673830221e-06,2.34539711833193e-07,3.18659368490582e-08,6.3216395307911e-05,4.20817813094915e-06,1.11022302462516e-16
0.40353731493396,9.15881332124286e-05,0.00522052359310843,0.0832536130900975,0.0673337249851337,0.00119064573176157,0.426892288903129,0.004487818527409,0.00228970333031071,0.000132257978546998,5.61419257780648e-05,1.74017453103614e-07,3.75511346170957e-07,2.19811519709829e-05,7.52690731034866e-08,1.19064573176157e-07,6.77752185771971e-07,7.23546252378186e-05,9.08518946641112e-05,0.00263682235518582,2.33790123524394e-08,6.86910999093214e-06,1.83011850207476e-08,3.66352532849714e-07,7.36223694596896e-09,7.23546252378185e-07,1.83176266424857e-08,9.98310652015471e-07,9.15881332124286e-09,7.8012427573438e-09,3.80480025661253e-09,1.85074317759698e-07,2.05807909336168e-06,4.83777691682574e-09,4.23927139776506e-07,1.34129624409349e-07,2.65605586316043e-07,0.00225489983968999,0.000212108957706663,4.15810124784426e-06,6.96069812414457e-07,7.32705065699428e-05,1.01662827865796e-06,2.70459757376302e-05,2.36300454079968e-08,3.82603520108457e-07,1.83176266424857e-07,3.47461095960891e-08,4.92034338895721e-09,9.15881332124286e-09,1.56439368395211e-08,3.60251956020936e-09,2.40444300068235e-08,3.12956651186868e-05,6.21081971472606e-06,1.09905759854914e-07,2.8013259099857e-08,6.66120492853993e-05,6.96069812414457e-07,0
0.400039557276553,0.000187109241008678,0.000561327723026033,0.0848540407974353,0.0673337249936801,0.00120685460450597,0.435964531550219,0.0045841764047126,9.35546205043388e-05,9.35546205043388e-05,9.35546205043388e-05,9.35546205043389e-08,9.35546205043389e-08,4.49062178420826e-06,7.52690731130402e-08,2.52597475361715e-06,1.30976468706074e-06,6.90602039754166e-05,0.000116288393286893,0.00223305523681807,9.35546205043389e-08,5.89394109177335e-06,1.83011850230705e-08,2.64022091835313e-07,7.36223694690342e-09,7.48436964034711e-07,5.93872366215411e-08,9.35546205043389e-08,5.61327723026033e-07,1.87109241008678e-08,3.80480025709546e-09,8.60702508639917e-06,2.0580790936229e-06,4.83777691743978e-09,1.87109241008678e-07,9.35546205043389e-08,3.18085709714752e-06,0.00216550880081393,0.000191506308172382,2.19794023754255e-06,3.74218482017355e-07,6.54882343530372e-05,3.3679663381562e-06,5.80038647126901e-06,3.08730247664318e-06,1.12265544605207e-06,9.35546205043389e-08,9.35546205043389e-08,4.92034338958173e-09,9.35546205043389e-08,9.35546205043389e-08,3.60251956066661e-09,2.80663861513017e-07,2.45113105721368e-05,1.05716721169903e-05,4.67773102521694e-07,9.35546205043389e-08,5.97814025022725e-05,3.74218482017355e-07,0
0.406554275054183,5.60249345504156e-05,0.0034548709639423,0.0831036529164499,0.0673337249929479,0.00114851115828352,0.427937125074258,0.00433259493856548,0.000354824585485966,1.86749781834719e-05,1.86749781834719e-05,3.9833851378569e-08,3.57538114382841e-07,3.64162074577702e-07,7.52690731122218e-08,1.01778631099922e-07,4.313919960382e-07,6.90602039746656e-05,0.000117652362555873,0.00280871671879417,3.73499563669438e-09,4.86483181679443e-06,1.86749781834719e-09,2.26900984929183e-07,7.36223694682337e-09,4.52868220949193e-07,9.33748909173594e-09,7.70496618421165e-07,1.58737314559511e-08,7.80124275824915e-09,9.33748909173594e-10,3.73499563669438e-08,1.59671063468685e-06,2.80124672752078e-09,1.25122353829262e-07,3.73499563669438e-09,1.97021019835628e-07,0.00224379862874415,0.000257714698931912,2.46042837567242e-06,2.24099738201663e-08,6.86159940174851e-05,1.46225079176585e-06,7.18052911154494e-06,9.33748909173594e-10,4.20187009128117e-08,1.34459842920998e-07,3.47461096001215e-08,4.92034338952823e-09,7.46547652379204e-08,1.56439368413367e-08,9.33748909173594e-10,2.40444300096139e-08,2.96932153117203e-05,5.13561900045477e-06,2.5211220547687e-08,1.30724847284303e-08,6.48955491875648e-05,5.51845605321594e-07,0
0.421193742700242,6.87871820937355e-05,0.00596483136155678,0.0860920717604595,0.0673337249944737,0.00120868905678992,0.40419348198279,0.00449082031669102,0.000245668507477627,0.000167054585084786,1.96534805982101e-05,3.98338513794716e-08,3.57538114390943e-07,1.9918802586286e-05,1.24799601798634e-07,1.08854813314103e-07,2.52547225687e-06,6.90602039762305e-05,8.89319997069009e-05,0.00286940816733868,1.37574364187471e-07,6.86889190624705e-06,3.04628949272257e-07,3.24282429870467e-07,1.96534805982101e-08,7.46832262731985e-07,5.9387236622241e-08,7.70496618438624e-07,2.84975468674047e-07,7.80124275842592e-09,3.8048002571403e-09,1.8507431778537e-07,2.05807909364715e-06,1.96534805982101e-08,2.35841767178522e-07,8.84406626919457e-07,1.86708065682996e-07,0.00233581616909728,0.000156245170755771,2.87923490763779e-06,2.24580489076644e-07,6.86159940190399e-05,1.8819487331495e-06,8.75955630262226e-06,4.91337014955254e-08,3.82603520161529e-07,2.96767557032973e-06,1.37574364187471e-07,1.96534805982101e-08,7.4654765239612e-08,9.82674029910507e-09,2.94802208973152e-08,2.40444300101587e-08,3.59069090529299e-05,6.50530207800756e-06,1.49366452546397e-06,9.82674029910507e-08,7.06542627505655e-05,1.25487473619572e-05,0.00325257585311622
