"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.450733963344069,0.0106554068273479,0.159504821361262,0.09424861156998,0.0658630641239421,0.00142631429972373,0.0785871212200723,0.11531704501688,0.0192226149413748,0.00119325640761201,0.00108138861939839,1.10066098919139e-07,2.41354802420674e-06,0.000168733913888886,4.03727951225941e-07,5.13612981532966e-07,1.08324043230993e-07,1.21190103898095e-05,5.31371994014724e-05,0.000277805007397172,0,8.11041464548789e-05,2.61024839165128e-06,1.77123998004908e-06,9.32231568446884e-07,0.000140732988205403,1.67801682320439e-05,2.05090945058315e-06,1.02545472529157e-06,1.54145615436166e-06,5.59338941068131e-07,5.59338941068131e-06,5.64442911924119e-06,1.11867788213626e-07,7.1481096447672e-07,3.72892627378754e-06,8.48330727286665e-06,0.000123054567034989,3.26281048956409e-06,1.86446313689377e-06,1.86446313689377e-06,0.000102344084812155,1.99379284029962e-07,3.63570311694285e-05,2.05090945058315e-06,1.18969550902913e-06,0.000157547135067523,3.33689676475618e-07,3.07636417587472e-07,3.87988369610603e-07,2.94756830429778e-08,7.45785254757508e-08,3.02700535557148e-07,0.000209752102900549,4.71016556363294e-07,1.81785155847142e-05,1.49157050951501e-06,5.87305888121537e-05,5.12727362645786e-05,0.000606595806302512
0.446823306163271,0.00979671061748663,0.160759356132662,0.0931154018690634,0.0670841422283132,0.00159546430056211,0.0821057651751261,0.115134675256938,0.0189403071938075,0.00177273811173568,0.00113828447174607,1.10066098919139e-07,1.39953008821238e-06,0.000150216229468128,8.86369055867838e-07,3.26557020582888e-06,1.08324043230993e-07,1.10096366939374e-05,3.77873123817342e-05,0.000328423060700504,0,8.57445434044782e-05,3.13494739759572e-06,1.6514455040906e-06,7.93067049987013e-07,0.000270575817054393,1.50738815253742e-05,3.18159840053613e-06,1.26175012590701e-06,1.54145615436166e-06,6.65410627146045e-07,4.19859026463713e-06,5.64442911924119e-06,3.26557020582888e-07,7.1481096447672e-07,4.66510029404125e-06,7.55746247634683e-06,0.000132488848350772,3.28630917766924e-06,1.25957707939114e-06,5.13161032344538e-06,8.39718052927426e-05,1.99379284029962e-07,2.89236218230558e-05,1.77273811173568e-06,1.18969550902913e-06,0.000150216229468128,3.33689676475618e-07,4.90600997721256e-07,3.732080235233e-06,2.94756830429778e-08,3.82538224111383e-07,3.02700535557148e-07,0.000228589914408021,4.71016556363294e-07,1.77273811173568e-05,2.21125753937555e-06,8.30387852339343e-05,4.80505330286249e-05,1.11725513063377e-07
0.44618712446246,0.0108279720580848,0.161486135004196,0.096238268895564,0.0682348928832757,0.00149351338732204,0.0784094528344071,0.113413672849767,0.0191356402750636,0.0016802025607373,0.00130682421390679,1.10066098919139e-07,2.41354802420674e-06,0.000161486135004196,4.03727951225941e-07,5.13612981532966e-07,1.08324043230993e-07,1.26571180940774e-05,3.92047264172036e-05,0.000297769231597332,0,7.09418858977969e-05,3.0652489580792e-06,1.9635238028331e-06,9.09494192509652e-07,0.000140732988205403,1.12013504049153e-05,2.62203321357396e-06,1.26175012590701e-06,2.80033760122883e-06,6.65410627146045e-07,4.75691425920831e-06,5.64442911924119e-06,2.82197032041823e-07,7.1481096447672e-07,3.7337834683051e-06,8.49787697662289e-06,0.000138149988327289,3.7337834683051e-06,1.58047559122495e-06,1.86689173415255e-06,0.000102344084812155,1.99379284029962e-07,2.33361466769069e-05,2.33748990983011e-06,1.18969550902913e-06,0.000151218230466357,1.86689173415255e-06,4.90600997721256e-07,3.87988369610603e-07,2.94756830429778e-08,2.78611748246219e-07,3.02700535557148e-07,0.000235228358503221,4.71016556363294e-07,1.58685797402967e-05,1.9342428991946e-06,6.90749941636444e-05,5.78736437587291e-05,2.07677968544484e-06
0.4463127890054,0.0109933886976067,0.162551815785125,0.0977190106453928,0.0658630641239421,0.00159732998170354,0.0789268932135865,0.115571522205609,0.015033693945445,0.00169129056886257,0.00112752704590838,1.87921174318063e-07,7.51684697272252e-06,0.000139061668995367,4.03727951225941e-07,3.75842348636126e-07,1.87921174318063e-07,1.03356645874935e-05,2.63089644045288e-05,0.000226445015053266,0,7.51684697272252e-05,2.81881761477095e-06,1.87921174318063e-06,7.51684697272252e-07,0.000122148763306741,1.50738815253742e-05,2.44297526613482e-06,1.26175012590701e-06,1.5033693945445e-06,6.5772411011322e-07,4.69802935795157e-06,4.69802935795157e-06,2.81881761477095e-07,1.31544822022644e-06,9.39605871590315e-06,7.23496521124543e-06,0.000109933886976067,1.69129056886257e-06,1.40940880738547e-06,1.69129056886257e-06,0.000159732998170354,1.87921174318063e-07,2.16109350465772e-05,2.06713291749869e-06,1.97317233033966e-06,0.000110873492847657,1.12752704590838e-06,4.69802935795158e-07,5.63763522954189e-07,2.81881761477095e-07,2.81881761477095e-07,2.81881761477095e-07,0.000264968855788469,9.39605871590315e-07,1.59732998170354e-05,1.69129056886257e-06,6.01347757817802e-05,4.60406877079254e-05,0.00113102947387933
0.449556926129231,0.0108062257328092,0.161062086440873,0.097390548928056,0.0658630639739747,0.00150659412706385,0.0762623598604225,0.111290673314657,0.0191732038313245,0.00411623038287087,0.00136310897210539,1.10066098668523e-07,2.41354801871119e-06,0.000169043448185438,6.2774755294327e-07,5.13612980363492e-07,1.08324042984344e-07,1.05999658225564e-05,4.21577320912331e-05,0.000288423097110878,0,7.47916370220982e-05,3.0221560763126e-06,2.02672781378827e-06,9.05750040675291e-07,0.00014073298788496,1.3810446164752e-05,2.5558293226976e-06,1.26175012303406e-06,1.29136639462616e-06,6.99490130422502e-07,4.1700373159803e-06,5.64442910638907e-06,2.86970309916924e-07,4.48391109245193e-07,3.19254469782578e-06,7.50606716876454e-06,0.000146085823392084,3.28630917018645e-06,1.53349759361856e-06,1.8473713700902e-06,0.000102344084579122,1.99379283575984e-07,3.44364371900309e-05,2.07156692471279e-06,6.99490130422502e-07,0.000180701617025813,2.42131198992404e-07,4.48391109245193e-07,3.58712887396155e-07,2.94756829758629e-08,2.86970309916924e-07,2.331633768075e-07,0.000218635504867956,4.7101655529081e-07,1.89221048101472e-05,1.88324265882981e-06,7.29083943632684e-05,4.50094995460325e-05,1.11022302462516e-16
0.455516765639168,0.0119293043006372,0.168064784345993,0.0979200984424833,0.0453821994704586,0.00160061699377136,0.0816314666823395,0.111949035623185,0.0206197130374075,0.00225969457944192,0.00155354002336632,9.13293225857777e-07,2.41354802420674e-06,0.000183600184579656,4.04861945483345e-07,1.01686256074887e-05,5.46092856698465e-07,1.80775566355354e-05,4.51938915888385e-05,0.000155354002336632,0,0.000109218571339693,3.48369580997296e-06,2.19378682087487e-06,1.00744716666786e-06,0.000140732988205403,2.2314483971989e-05,2.42917167290007e-06,1.26175012590701e-06,1.54145615436166e-06,7.34400738318625e-07,5.18788213863542e-06,7.62646920561649e-06,3.2953879283528e-07,7.1481096447672e-07,8.00308496885681e-06,8.02191575701882e-06,0.000140289371807019,8.85047043614753e-06,1.83600184579656e-06,2.08284590583705e-06,0.000102344084812155,1.99379284029962e-07,3.31483160448843e-05,2.5798179781962e-06,1.18969550902913e-06,0.000169477093458144,1.8830788162016e-06,5.08431280374433e-07,3.87988369610603e-07,2.94756830429778e-08,3.38954186916288e-07,3.02700535557148e-07,0.000232560233800898,4.71016556363294e-07,1.92074039252563e-05,2.27852536760394e-06,6.40246797508545e-05,5.27262068536449e-05,4.59157890686512e-06
0.447093490843496,0.0110439673266763,0.160231119180252,0.0957455811456765,0.0706626723020388,0.00152556497817647,0.0775885501170731,0.113247461570155,0.0183442169154962,0.00159108003858895,0.00130094191390509,1.10066098919139e-07,2.41354802420674e-06,0.000166595439334608,4.03727951225941e-07,5.13612981532966e-07,1.08324043230993e-07,1.08567814397835e-05,4.30527539853482e-05,0.00030417706620083,4.67964717232045e-08,8.42336491017682e-05,2.98561489594045e-06,1.89057745761746e-06,9.64007317498014e-07,0.000140732988205403,1.68467298203536e-05,2.78906971470299e-06,1.26175012590701e-06,1.42261274038542e-06,6.73869192814145e-07,4.82003658749007e-06,5.64442911924119e-06,2.90138124683868e-07,7.1481096447672e-07,3.7062805604778e-06,7.83372936646444e-06,0.000134773838562829,3.00433348462973e-06,1.49748709514255e-06,1.84378098589426e-06,0.000114183391004619,1.99379284029962e-07,3.2944716093136e-05,2.24623064271382e-06,1.18969550902913e-06,0.000157236144989967,2.62060241649945e-07,4.67964717232045e-07,3.27575302062432e-07,2.94756830429778e-08,2.90138124683868e-07,3.36934596407073e-07,0.000217135628795669,4.71016556363294e-07,1.97481110671923e-05,1.98417040106387e-06,7.30024958881991e-05,5.61557660678455e-05,9.34923545026223e-07
0.445975872293954,0.0107799960796205,0.163279768205976,0.0948825517007975,0.0658630641239421,0.00148689601098213,0.0792701435854851,0.113097027835329,0.0201660271489452,0.00176568901304128,0.00148689601098213,1.10066098919139e-07,2.41354802420674e-06,0.000157053391159988,3.62430902676895e-07,5.57586004118301e-09,9.29310006863834e-08,1.0817168479895e-05,4.60008453397598e-05,0.000280651622072878,3.43844702539619e-08,8.06641085957808e-05,3.09460232285657e-06,1.97013721455133e-06,9.3302724689129e-07,0.000140732988205403,1.50641152112628e-05,2.72287832011103e-06,1.26175012590701e-06,1.36608571008984e-06,6.66315274921369e-07,4.88817063610377e-06,5.78030824269305e-06,2.85298172107197e-07,3.15965402333704e-07,3.86592962855355e-06,7.68539375676391e-06,0.0001289882289527,3.3455160247098e-06,1.58912011173716e-06,1.84932691365903e-06,0.000102344084812155,1.02224100755022e-07,3.39198152505299e-05,2.21175781633593e-06,1.18969550902913e-06,0.000158912011173716,2.58348181908146e-07,4.89746373617241e-07,3.04813682251338e-07,1.20810300892298e-08,2.89015412134652e-07,2.54630941880691e-07,0.000210024061551227,2.44408531805188e-07,1.78613383319229e-05,1.89393379398849e-06,6.38435974715454e-05,4.98110163679015e-05,0.000397490181134663
0.447557544393898,0.011281409176871,0.158124669610241,0.0961693897044741,0.070462572071932,0.00152576435588829,0.0785999819700028,0.111889386098475,0.019788701343036,0.00175694077344712,0.00120211737130593,9.24705670235328e-08,2.77411701070598e-06,0.000166447020642359,2.77411701070598e-07,5.13612981532966e-07,1.08324043230993e-07,1.10964680428239e-05,4.62352835117664e-05,0.000323646984582365,3.69882268094131e-08,8.50729216616501e-05,3.51388154689424e-06,2.12682304154125e-06,1.01717623725886e-06,0.00012668467682224,1.53501141259064e-05,2.86658757772952e-06,9.24705670235328e-07,1.66447020642359e-06,6.65788082569436e-07,4.90094005224724e-06,5.54823402141197e-06,3.05152871177658e-07,2.77411701070598e-07,4.43858721712957e-06,7.85999819700029e-06,0.000146103495897182,4.62352835117664e-06,1.66447020642359e-06,1.89564662398242e-06,8.32235103211795e-05,1.10964680428239e-07,3.42141097987071e-05,2.31176417558832e-06,1.20211737130593e-06,0.000157199963940006,4.16117551605897e-07,4.90094005224724e-07,3.69882268094131e-07,2.94756830429778e-08,3.23646984582365e-07,3.14399927880011e-07,0.000249670530963538,3.69882268094131e-07,1.75694077344712e-05,1.94188190749419e-06,6.93529252676496e-05,5.3632928873649e-05,1.66533453693773e-15
0.438552239994766,0.0111970784679515,0.163290727657626,0.100773706211563,0.0658630641239421,0.00167956177019272,0.0849111783819653,0.108238425190197,0.0200614322550797,0.00195948873189151,0.00121301683402808,1.10066098919139e-07,2.41354802420674e-06,0.00015769218842365,4.03727951225941e-07,5.13612981532966e-07,1.08324043230993e-07,1.07305335317868e-05,4.15224993186533e-05,0.000270596062975494,1.86617974465858e-07,8.11788188926481e-05,2.84592411060433e-06,1.67956177019272e-06,8.3978088509636e-07,0.000140732988205403,1.50738815253742e-05,2.23941569359029e-06,1.26175012590701e-06,1.21301683402808e-06,6.25170214460624e-07,4.71210385526291e-06,5.64442911924119e-06,2.51934265528908e-07,8.3978088509636e-07,3.63905050208423e-06,7.32475549778492e-06,0.000136231121360076,3.28630917766924e-06,1.49294379572686e-06,2.05279771912444e-06,0.000102344084812155,5.59853923397573e-07,3.35912354038544e-05,2.05279771912444e-06,1.21301683402808e-06,0.000155826008678991,2.33272468082322e-07,4.1989044254818e-07,2.79926961698787e-07,2.94756830429778e-08,2.79926961698787e-07,1.86617974465858e-07,0.000240737187060956,1.86617974465858e-07,1.67956177019272e-05,1.72621626380918e-06,8.77104479989531e-05,5.03868531057816e-05,0.000668078617070189
