"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Au","B","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","Ir","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Pt","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.399817011978276,0.00390744444411474,0.0749134864801654,0.121812420410142,0.083379156518163,0.00189131831815873,0.216839165146868,0.0802322192124493,0.0124039759749293,0.000825651651581984,0.00038402402399162,2.42225023464241e-07,4.80030029989526e-07,2.82067763717332e-09,4.11868392067987e-05,6.24039038986383e-06,1.2421668939148e-07,5.42074271022494e-08,1.42545237265101e-07,1.54841986280954e-06,5.93885154086691e-05,8.20851351282089e-05,0.00191791198182015,1.85815798110357e-07,4.2530660657072e-05,1.56303051281966e-06,1.04525387709556e-06,3.05695700726202e-07,0.000181485286830339,9.21657657579889e-06,1.18617817261781e-06,1.18901427961463e-06,5.83020594487779e-07,3.64137444993761e-07,1.76700624825401e-09,9.98462462378214e-06,5.37567476291834e-06,1.61430006938665e-07,3.47787246846297e-07,1.34408408397067e-06,1.59842694138486e-06,0.00082353951945003,9.02456456380308e-06,2.45504086250283e-07,9.91161258529122e-09,3.26420420392877e-06,7.9656458995412e-05,3.59726858746347e-07,2.25614114095077e-05,7.94988537889997e-07,2.40015014994763e-06,2.1217327325537e-05,2.88018017993715e-07,2.32457080465339e-07,7.07263398589547e-08,1.72868063158882e-08,1.57901916144807e-07,1.55211787985731e-08,0.000165390548021033,1.42668580631075e-07,9.50459459379261e-06,1.02198831811902e-06,6.31719519466216e-05,2.31374474454951e-05,2.51717033883381e-08
0.424457111194185,0.00363294505687579,0.076715850392011,0.113835490601787,0.083379156518163,0.00174419908566185,0.204495297220056,0.0759545701281033,0.0111301101875107,0.000404731279545844,0.000163819803625699,2.42225023464241e-07,8.90695640462787e-07,2.82067763717332e-09,4.11868392067987e-05,5.49278165097931e-06,2.19711266039172e-07,5.42074271022494e-08,1.42545237265101e-07,1.27972176008781e-06,5.93885154086691e-05,8.25844539454257e-05,0.00243320590679346,1.85815798110357e-07,3.76785548339107e-05,1.46763271130552e-06,9.66536841391622e-07,2.88130125200494e-07,0.000181485286830339,7.61280263907658e-06,1.18528446152711e-06,1.18901427961463e-06,5.44459935579528e-07,3.36312420384523e-07,1.76700624825401e-09,3.85458361472232e-07,4.17355040884059e-06,1.35874072418962e-07,3.88349299183274e-07,2.9873023014098e-07,1.3548861405749e-06,0.000854561187383939,8.35274596351641e-07,2.4958428905327e-07,9.91161258529122e-09,9.25100067533357e-07,7.9656458995412e-05,1.06001049404864e-07,2.85239187489452e-05,6.68770257154323e-07,7.7084422340779e-07,1.56110636396254e-05,4.36762640361704e-08,2.24529495557575e-07,7.07263398589547e-08,1.72868063158882e-08,1.41655947841045e-07,1.55211787985731e-08,0.000155146990492573,1.42668580631075e-07,9.34736526570163e-06,9.72318716813705e-07,5.83969417630432e-05,1.59001574107296e-05,1.17089167250839e-08
0.421124127407404,0.00370635926408457,0.0762673402373308,0.115179248521683,0.083379156518163,0.00160511621672954,0.209637905881949,0.0740299055109805,0.0101170961539316,0.000408575036985701,0.000223743472635026,2.42225023464241e-07,8.90695640462787e-07,5.05854807696582e-10,4.11868392067987e-05,5.43793918273825e-06,1.2421668939148e-07,5.42074271022494e-08,1.42545237265101e-07,1.1479012943884e-06,9.82525684179899e-05,8.13258883142966e-05,0.00229288419565547,1.45919656066322e-07,4.04683846157265e-05,1.41055667530778e-06,9.63069730037723e-07,2.62655380919379e-07,0.000181485286830339,7.99639715243442e-06,1.20626915681493e-06,1.13817331731731e-06,5.1558278476767e-07,3.40479197488084e-07,9.14429844682282e-10,3.98847059914612e-07,5.37567476291834e-06,1.36191678995234e-07,3.47787246846297e-07,2.91839312132643e-07,1.26463701924145e-06,0.000868708352448168,8.35274596351641e-07,1.84831564350674e-07,9.72797707108811e-09,8.17150073971401e-07,0.000192613946007545,3.59726858746347e-07,2.79192941940229e-05,5.83678624265287e-07,7.7084422340779e-07,1.49810846894757e-05,4.36762640361704e-08,1.94559541421762e-07,7.07263398589547e-08,1.72868063158882e-08,1.26463701924145e-07,1.55211787985731e-08,0.000160511621672954,1.42668580631075e-07,8.93028295125888e-06,9.72797707108811e-07,6.36209700449162e-05,1.53702037723192e-05,0.000198171090677768
0.4162,0.0037,0.0579,0.1188,0.083379156518163,0.001712,0.2055,0.0733,0.0062,0.00031,0.00026,2.42225023464241e-07,8e-07,2.82067763717332e-09,4.11868392067987e-05,4.94e-06,1.2421668939148e-07,5.42074271022494e-08,1e-06,7.2e-06,5.93885154086691e-05,8.33179333288822e-05,0.00236,1.85815798110357e-07,4.09e-05,1.56303051281966e-06,1.04525387709556e-06,3.05695700726202e-07,0.000181485286830339,8e-06,1.18617817261781e-06,1.18901427961463e-06,5.83020594487779e-07,3.64137444993761e-07,1.76700624825401e-09,6.23558026526396e-07,5.37567476291834e-06,1.61430006938665e-07,3.47787246846297e-07,4.95450603929911e-07,9.1e-06,0.000905,3.1e-06,2.45504086250283e-07,9.91161258529122e-09,1.3e-06,8.41e-05,1.7e-06,2.69401845482086e-05,7.94988537889997e-07,1.7e-06,1.53e-05,4.36762640361704e-08,2.32457080465339e-07,7.07263398589547e-08,1.72868063158882e-08,1.57901916144807e-07,1.55211787985731e-08,0.000163,1.42668580631075e-07,9.3e-06,1.02198831811902e-06,5.62e-05,1.58e-05,0.0286414808079416
0.421892701647792,0.00396146755848781,0.0773429380466669,0.110826770981504,0.0833791463303087,0.00164117941708781,0.210335063224472,0.0750875243161473,0.0107525548016098,0.000472019655705935,0.000268415492189483,2.42224993867477e-07,8.90695531631303e-07,8.6775003662114e-10,4.11868341742998e-05,8.18753626101514e-06,1.24216674213808e-07,5.42074204788031e-08,1.42545219847917e-07,1.54841967361266e-06,5.93885081521608e-05,8.48885905390246e-05,0.00231659130207188,1.85815775406071e-07,3.6785055900244e-05,1.56303032183755e-06,1.04525374937905e-06,2.78245935655692e-07,0.000181485264655184,8.31832246091058e-06,1.18617802768218e-06,1.18901413433247e-06,5.83020523250204e-07,3.64137400500876e-07,8.96046233467482e-10,3.96146755848781e-07,5.37567410608043e-06,1.41480984231708e-07,3.47787204351195e-07,4.95450543392256e-07,1.59842674607777e-06,0.000775315793589758,8.35274494291891e-07,2.4550405625286e-07,9.58297866529433e-09,1.14583454576415e-06,0.000223539955086098,3.59726814792379e-07,2.678706634787e-05,6.79108724312197e-07,7.70844129220598e-07,1.5508373754645e-05,4.36762586994959e-08,2.32457052062091e-07,7.07263312171109e-08,1.72868042036641e-08,1.57901896851235e-07,1.55211769020858e-08,0.000160345115462602,1.4266856319882e-07,8.90726590165439e-06,9.24342430313823e-07,5.37627740080489e-05,1.58003924633492e-05,0
0.416325233942368,0.00365024494214872,0.0781349728157241,0.114440111699798,0.0828704257136467,0.00167713956801428,0.212108827719453,0.0735968304552148,0.0126278743944605,0.000493276343533611,0.000197310537413445,2.42225023464241e-07,8.90695640462787e-07,2.82067763717332e-09,4.11868392067987e-05,9.86552687067223e-06,1.2421668939148e-07,5.42074271022494e-08,7.89242149653778e-08,1.28251849318739e-06,9.86552687067223e-05,9.1650744628545e-05,0.00236378023821307,1.97310537413445e-07,5.40630872512838e-05,1.53902219182487e-06,1.08520795577395e-06,3.65024494214872e-07,5.91931612240334e-05,8.87897418360501e-06,1.11480453638596e-06,1.18901427961463e-06,5.83020594487779e-07,3.551589673442e-07,1.76700624825401e-09,3.94621074826889e-07,5.91931612240334e-06,1.67713956801428e-07,2.86100279249495e-07,4.95450603929911e-07,1.57848429930756e-06,0.000835610125945938,8.35274596351641e-07,2.76234752378822e-07,9.91161258529122e-09,1.08520795577395e-06,1.97310537413445e-08,3.59726858746347e-07,3.02871674929637e-05,6.90586880947056e-07,7.7084422340779e-07,1.29238402005806e-05,4.36762640361704e-08,2.36772644896134e-07,1.97310537413445e-08,1.72868063158882e-08,1.57848429930756e-07,1.55211787985731e-08,0.000167713956801428,1.42668580631075e-07,9.07628472101845e-06,9.86552687067223e-07,5.42603977886973e-05,1.63767746053159e-05,6.14279738964107e-07
0.425945432412231,0.00365453294912277,0.0766490200118645,0.111463254948245,0.083379156518163,0.00163492263513387,0.207058143143719,0.0753987850555856,0.0104827392487995,0.000192343839427514,0.000288515759141272,2.42225023464241e-07,8.90695640462787e-07,2.82067763717332e-09,4.11868392067987e-05,5.95304183028157e-06,6.82820629967676e-08,5.42074271022494e-08,1.42545237265101e-07,1.23100057233609e-06,5.93885154086691e-05,8.25155071144037e-05,0.00217444710472805,1.95228997018927e-07,4.3181191951477e-05,1.50028194753461e-06,9.80953581080324e-07,3.0101810870406e-07,0.000181485286830339,8.57853523846714e-06,1.06750830882271e-06,1.18901427961463e-06,5.19328366454289e-07,3.45257191772388e-07,1.76700624825401e-09,3.91419713234992e-07,5.37567476291834e-06,1.46181317964911e-07,3.47787246846297e-07,3.92381432432129e-07,1.44257879570636e-06,0.000864585558226677,8.35274596351641e-07,2.2985088811588e-07,9.91161258529122e-09,9.90570773051699e-07,7.9656458995412e-05,3.59726858746347e-07,2.6543449840997e-05,6.79935472376263e-07,7.7084422340779e-07,1.59645386724837e-05,9.42484813194821e-08,2.39468080087255e-07,2.88515759141272e-08,1.72868063158882e-08,1.3848756438781e-07,1.15406303656509e-08,0.000158683667527699,1.42668580631075e-07,9.42484813194821e-06,9.54025443560471e-07,6.1944333487631e-05,1.72724767805908e-05,1.12753107961439e-08
0.417052295119338,0.00363239095749101,0.0745697191273286,0.118196848616771,0.083379156518163,0.00172010047987008,0.212369947514686,0.07601114411046,0.00756267641149583,0.00116274948639262,0.000268415524986388,2.42225023464241e-07,5.28522493814829e-07,8.07197990553557e-10,4.11868392067987e-05,0.000104743548774212,1.17235898628017e-06,1.82580497863305e-09,8.26416990328642e-08,1.20887508585283e-06,5.93885154086691e-05,7.54153551174324e-05,0.00247925097098593,2.19096597435966e-07,4.21280475069857e-05,1.4068307835362e-06,9.35965289046625e-07,2.67144096873677e-07,0.000181485286830339,8.20651290396117e-06,9.51340488866693e-07,1.37415848391856e-06,5.59272893454965e-07,3.20957296243914e-07,1.76700624825401e-09,4.63177894579541e-07,5.37567476291834e-06,1.42220598335627e-07,8.09119890531066e-07,7.73564740947159e-07,1.3501347341997e-06,0.0007034153917681,5.66960493364999e-07,2.28706097323508e-07,5.38131993702372e-09,2.55612697008626e-06,7.9656458995412e-05,1.72970997975762e-07,2.69401845482086e-05,6.49602192397863e-07,6.56328842319143e-07,1.42893263327755e-05,4.32427494939406e-08,2.01799497638389e-07,1.47986298268152e-07,2.97894496513813e-08,1.42220598335627e-07,8.36026490216184e-08,0.000128767298493068,2.52729847042364e-07,7.65877141037125e-06,9.12902489316523e-07,7.86825850791967e-05,1.84790682837439e-05,1.31763919775096e-08
0.423883196661672,0.00347603532569936,0.0755072117971361,0.11065379120143,0.083379156518163,0.0016414611260247,0.211458815646711,0.0743485333552363,0.010910888661223,0.000472019713380638,0.000268415524986388,2.42225023464241e-07,8.90695640462787e-07,2.82067763717332e-09,4.11868392067987e-05,6.37273143044883e-06,1.2421668939148e-07,5.42074271022494e-08,1.42545237265101e-07,1.35179151554975e-06,5.93885154086691e-05,8.77698919739088e-05,0.00234632384484707,1.83457419967466e-07,4.15193108347424e-05,1.54490458919972e-06,9.94532329297317e-07,3.18636571522441e-07,0.000181485286830339,8.74802223634339e-06,9.94532329297317e-07,1.6414611260247e-07,5.83020594487779e-07,3.57259186252434e-07,1.76700624825401e-09,6.23558026526396e-07,3.66914839934932e-06,1.61430006938665e-07,2.99325264157445e-07,4.95450603929911e-07,1.54490458919972e-06,0.00087190552752959,8.35274596351641e-07,2.45504086250283e-07,9.91161258529122e-09,1.14583468577033e-06,7.9656458995412e-05,3.59726858746347e-07,2.56840387954453e-05,7.94988537889997e-07,7.7084422340779e-07,1.53524893551722e-05,4.36762640361704e-08,2.12424381014961e-07,7.07263398589547e-08,1.72868063158882e-08,1.57901916144807e-07,1.55211787985731e-08,0.000125523497872477,1.42668580631075e-07,8.78664485107338e-06,1.02198831811902e-06,6.17961835679886e-05,1.83457419967466e-05,1.2587584197199e-08
0.422909726835324,0.00386344938055108,0.0798610467617485,0.114030891155551,0.083379156518163,0.00177403287882448,0.199283026721283,0.0767564892238057,0.011343954686261,0.000995429559784845,0.000325239361117821,2.42225023464241e-07,8.90695640462787e-07,2.82067763717332e-09,4.11868392067987e-05,9.41222999598542e-06,2.95672146470746e-07,5.42074271022494e-08,1.42545237265101e-07,1.29110170625559e-06,5.93885154086691e-05,8.44242535556137e-05,0.00245309324188562,1.97114764313831e-07,4.38580350598273e-05,1.55720663807926e-06,9.75718083353462e-07,3.05527884686438e-07,0.000181485286830339,4.16897726523752e-06,1.0447082508633e-06,1.18901427961463e-06,4.73075434353194e-07,3.25239361117821e-07,1.76700624825401e-09,7.98314795471014e-07,5.37567476291834e-06,1.37980335019681e-07,3.47787246846297e-07,2.26681978960905e-07,1.38965908841251e-06,0.000906727915843621,8.35274596351641e-07,2.46393455392288e-07,9.91161258529122e-09,1.02499677443192e-06,7.9656458995412e-05,3.59726858746347e-07,2.74975096217794e-05,6.4062298401995e-07,7.7084422340779e-07,1.48131745381844e-05,4.36762640361704e-08,2.16826240745214e-07,3.94229528627661e-08,1.72868063158882e-08,1.37980335019681e-07,1.55211787985731e-08,0.000157001909775966,1.42668580631075e-07,7.77617745218062e-06,9.46150868706387e-07,6.82017084525854e-05,1.4921587658557e-05,0.00130123105453894
