"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Au","Ba","Be","Bi","Cd","Ce","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Pt","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.477217276204909,0.0226303391205648,0.128992932987219,0.122863882808733,0.0777345774292762,0.00165012889420785,0.0504467976229256,0.0835436685867516,0.0185757366947969,0.00924072180756394,0.00282879239007059,1.87492839548752e-07,1.34474640359482e-06,5.52369447941971e-09,0.000330025778841569,1.04544786084091e-06,4.36130013981489e-07,2.41013581693184e-07,7.54344637352159e-05,4.43177474444393e-05,9.42930796690198e-05,6.33691880467801e-07,5.28041246146511e-05,5.53110762259239e-06,2.90082212320649e-06,2.07977225758825e-06,0.000326733418503456,2.07444775271844e-05,6.86769974355576e-06,1.28526249037577e-06,4.71465398345099e-06,1.9285264738839e-08,1.13212652597026e-06,0.000150868927470432,1.15545829386915e-05,3.50465288487205e-07,2.91882107380204e-06,1.60298235437334e-05,3.30025778841569e-05,5.28041246146511e-05,1.69727543404236e-05,2.64020623073255e-05,1.47517387751613e-08,2.3573269917255e-05,0.000439555585821863,2.07395313932905e-07,2.82879239007059e-05,2.40063006014916e-07,6.60051557683139e-06,1.73970562318347e-05,0.000386601626642981,1.1874638035217e-06,1.03791724178654e-06,2.90037120022338e-06,1.52091567707263e-07,4.03470611736904e-07,7.31948801664219e-07,0.000320596470874667,1.07118572698067e-06,2.82879239007059e-05,2.32822121363587e-06,0.000103722387635922,0.000202730121288393,0.00142383568488103
0.474696292368373,0.02250005547642,0.127134459805788,0.122561277798385,0.0777345772332496,0.00155488188251683,0.0521342748843878,0.0832319125347245,0.0232317645976044,0.00914636401480488,0.00274390920444147,1.87492839075943e-07,1.34474640020371e-06,5.52369446549038e-09,0.000320122740518171,8.87197309436074e-07,4.36130012881682e-07,2.74390920444147e-07,6.12806388991927e-05,4.20732744681025e-05,8.0488003330283e-05,6.33691878869793e-07,6.76830937095562e-05,6.40245481036342e-06,3.65854560592195e-06,2.74390920444147e-06,0.00082317276133244,2.10366372340512e-05,6.8676997262372e-06,1.28526248713467e-06,5.48781840888293e-06,1.92852646902065e-08,1.18902732192464e-06,2.74390920444147e-05,1.15545829095538e-05,3.9329365263661e-07,3.20122740518171e-06,1.73780916281293e-05,3.38415468547781e-05,4.66464564755049e-05,1.37463984248052e-05,7.8658730527322e-06,1.47517387379613e-08,2.46951828399732e-05,0.000548781840888293,9.14636401480488e-08,2.74390920444147e-05,2.40063005409539e-07,9.05490037465684e-06,1.46341824236878e-05,0.000380488743015883,9.14636401480488e-07,1.03791723916918e-06,2.90037119290939e-06,1.37195460222073e-07,4.20732744681025e-07,6.40245481036342e-07,0.000320122740518171,5.48781840888293e-07,2.92683648473756e-05,2.74390920444147e-06,0.000100610004162854,0.000164634552266488,2.22044604925031e-16
0.467199480461708,0.023490476671259,0.13115516141453,0.128545108451056,0.0777345774292762,0.00167789119080422,0.050802816610461,0.0842674242492785,0.0202279104669175,0.00904196919488939,0.00280451786243282,1.87492839548752e-07,1.34474640359482e-06,5.52369447941971e-09,0.000305749061435435,1.04544786084091e-06,4.36130013981489e-07,2.41013581693184e-07,4.38116033154435e-05,2.33040443167252e-05,9.3216177266901e-05,6.33691880467801e-07,5.96583534508166e-05,5.53110762259239e-06,2.90082212320649e-06,2.07977225758825e-06,0.000326733418503456,2.05075589987182e-05,6.86769974355576e-06,1.28526249037577e-06,4.8777816202508e-06,1.9285264738839e-08,1.13212652597026e-06,1.86432354533802e-05,1.15545829386915e-05,3.50465288487205e-07,2.79648531800703e-06,1.39824265900351e-05,3.08785252562189e-05,5.03367357241265e-05,1.02537794993591e-05,7.99430221728032e-06,1.47517387751613e-08,2.33040443167252e-05,0.000439555585821863,2.07395313932905e-07,2.57118855365775e-05,2.40063006014916e-07,7.96632165368353e-06,1.58467501353732e-05,0.00037659335615828,1.1874638035217e-06,1.03791724178654e-06,2.51683678620633e-06,1.52091567707263e-07,4.03470611736904e-07,7.31948801664219e-07,0.000276852046482696,1.07118572698067e-06,2.98291767254083e-05,2.32822121363587e-06,9.6944824357577e-05,0.000184568030988464,0.000517243969903158
0.479060007283807,0.0227553503459808,0.127135155779164,0.122528809555281,0.0770181088633198,0.00165828464059779,0.0495642853689785,0.0827299781809344,0.0225710964970255,0.00948907322119849,0.00280451786243282,1.87492839548752e-07,1.34474640359482e-06,5.52369447941971e-09,0.000327050581895676,1.04544786084091e-06,4.36130013981489e-07,2.41013581693184e-07,4.97485392179338e-05,4.23783852597214e-05,7.72023627122751e-05,6.33691880467801e-07,5.15910777074869e-05,2.76380773432966e-06,2.90082212320649e-06,2.21104618746373e-06,0.000326733418503456,2.11891926298607e-05,6.86769974355576e-06,1.28526249037577e-06,4.14571160149449e-06,1.9285264738839e-08,1.10552309373186e-06,2.48742696089669e-05,1.28977694268717e-05,3.68507697910621e-07,3.68507697910621e-06,1.74218196591605e-05,2.21104618746373e-05,5.343361619704e-05,1.37463984594701e-05,7.99430221728032e-06,1.47517387751613e-08,2.48742696089669e-05,0.000552761546865931,1.8425384895531e-07,2.671680809852e-05,2.40063006014916e-07,8.015042429556e-06,1.38190386716483e-05,0.000373114044134504,1.93466541403076e-06,8.29142320298897e-07,2.39530003641904e-06,1.52091567707263e-07,4.03470611736904e-07,8.19929627851131e-07,0.000280987119656848,1.07118572698067e-06,2.85593465880731e-05,2.57955388537435e-06,0.00010963104012841,0.000177804964241875,1.60900038959078e-07
0.47563688195013,0.0224199698932472,0.128312637612179,0.121086366324273,0.0777345774292762,0.00167686551680899,0.0523441445854739,0.0833800533219939,0.0228831924117028,0.00917180586541933,0.00268669060704202,1.87492839548752e-07,1.34474640359482e-06,5.52369447941971e-09,0.000285345071368601,1.04544786084091e-06,4.36130013981489e-07,2.41013581693184e-07,5.18809220670184e-05,3.24255762918865e-05,8.15271632481718e-05,6.33691880467801e-07,5.83660373253957e-05,5.53110762259239e-06,2.90082212320649e-06,2.07977225758825e-06,0.000326733418503456,2.2234680885865e-05,6.86769974355576e-06,1.28526249037577e-06,4.8777816202508e-06,1.9285264738839e-08,1.13212652597026e-06,2.50140159965982e-05,1.15545829386915e-05,3.50465288487205e-07,2.91882107380204e-06,2.2234680885865e-05,3.08785252562189e-05,4.63222518455522e-05,1.85289007382209e-05,7.99430221728032e-06,1.47517387751613e-08,2.0381790812043e-05,0.00043542916734819,2.07395313932905e-07,2.57118855365775e-05,2.40063006014916e-07,7.96632165368353e-06,1.73970562318347e-05,0.000377063130022795,1.1874638035217e-06,1.03791724178654e-06,2.90037120022338e-06,1.52091567707263e-07,4.03470611736904e-07,7.31948801664219e-07,0.000293683076700801,1.07118572698067e-06,2.77933511073313e-05,2.32822121363587e-06,0.000107467624281681,0.00018621545241912,2.57855981217192e-05
0.471202161304298,0.0199440788210284,0.135973883177011,0.121994388676291,0.0777345774292762,0.00143522810207401,0.0548928150728305,0.0811742647341857,0.0219012080511293,0.00782851692040368,0.00278657923714369,1.87492839548752e-07,1.34474640359482e-06,5.52369447941971e-09,0.000318264006979135,1.04544786084091e-06,4.36130013981489e-07,2.41013581693184e-07,5.64771577829122e-05,3.63466857018742e-05,9.31966300048057e-05,6.33691880467801e-07,5.59179780028834e-05,5.38676521427777e-06,2.72134159614033e-06,1.83597361109467e-06,0.000326733418503456,2.1264443098729e-05,6.48648544833447e-06,1.28526249037577e-06,4.8777816202508e-06,1.9285264738839e-08,1.27679383106584e-06,2.65703592143701e-05,9.31966300048057e-06,3.355078680173e-07,2.91882107380204e-06,1.74218196591605e-05,3.12581497036118e-05,3.72786520019223e-05,2.23671912011534e-05,8.13606579941954e-06,1.47517387751613e-08,2.33017496572763e-05,0.000439555585821863,2.07395313932905e-07,2.57118855365775e-05,2.40063006014916e-07,8.25722141842578e-06,1.73970562318347e-05,0.000366262755918886,1.1874638035217e-06,1.0065236040519e-06,2.90037120022338e-06,1.52091567707263e-07,3.82106183019703e-07,7.31948801664219e-07,0.00033084803651706,1.07118572698067e-06,3.08480845315907e-05,2.33923541312062e-06,0.000107176124505527,0.000185772568196992,0.000495343984687091
0.473164842629066,0.022323483827595,0.12901113362031,0.121569972344445,0.0777345774292762,0.00158124677112131,0.0525532015107966,0.083899093385378,0.0234396580189748,0.0088363790150897,0.00279043547844938,1.87492839548752e-07,1.34474640359482e-06,5.52369447941971e-09,0.000321830225181162,1.04544786084091e-06,4.36130013981489e-07,2.41013581693184e-07,5.35763611862281e-05,3.95311692780329e-05,9.39446611077957e-05,6.33691880467801e-07,6.09245079461448e-05,5.77620144039021e-06,2.79043547844938e-06,2.0835251572422e-06,0.000326733418503456,2.1264443098729e-05,6.61333208392503e-06,1.28526249037577e-06,4.8777816202508e-06,1.9285264738839e-08,1.08826983659526e-06,2.50209047900961e-05,1.15545829386915e-05,3.16249354224263e-07,2.91882107380204e-06,1.54404096474199e-05,3.11598628426847e-05,5.02278386120888e-05,1.06036548181076e-05,7.09700756685625e-06,1.47517387751613e-08,2.41837741465613e-05,0.000558087095689876,2.07395313932905e-07,2.5299948337941e-05,2.40063006014916e-07,8.22248320983083e-06,1.74867289982828e-05,0.000380429370228598,1.1874638035217e-06,1.06036548181076e-06,3.19039789702712e-06,1.52091567707263e-07,3.68337483155318e-07,5.11579837715719e-07,0.000313458918745813,1.07118572698067e-06,2.79043547844938e-05,2.2323483827595e-06,0.000105106403021593,0.000186959177056108,0.000338029477448321
0.471900119811324,0.0226203097181578,0.129652994726026,0.12211289148664,0.0790791315350231,0.00156319213499464,0.0521370553259978,0.0837687079400071,0.0228961671537451,0.00882743793879328,0.0027585743558729,1.83904957058193e-06,1.34474640359482e-06,5.52369447941971e-09,0.000341143695342949,1.04544786084091e-06,4.36130013981489e-07,2.41013581693184e-07,5.71208796622749e-05,3.93096845711888e-05,9.56305776702606e-05,4.59762392645483e-07,6.16081606144948e-05,5.6091011902749e-06,2.63903613378508e-06,1.95858779266976e-06,0.000326733418503456,2.11490700616922e-05,6.3723067620664e-06,1.28526249037577e-06,4.74474789210139e-06,1.9285264738839e-08,1.11262499020207e-06,2.49650979206497e-05,1.28733469940735e-05,3.58614666263477e-07,3.58614666263477e-06,1.56319213499464e-05,3.03535131624548e-05,5.88495862586219e-05,1.19538222087826e-05,7.3194172909161e-06,1.47517387751613e-08,2.6666218773438e-05,0.000459762392645483,2.07395313932905e-07,2.29881196322742e-05,1.83904957058193e-07,8.20216108479543e-06,1.56319213499464e-05,0.000376085637184005,1.10342974234916e-06,1.00228201596715e-06,2.76776960372581e-06,1.65514461352374e-07,4.22981401233845e-07,5.79300614733309e-07,0.000301604129575437,4.78152888351303e-07,2.48271692028561e-05,2.26203097181578e-06,0.00011402107337608,0.000186663531414066,7.8426495075945e-08
0.475058144539356,0.0224407712236042,0.127968034250305,0.122033284835798,0.0777345774292762,0.00157641781322839,0.0517435964577319,0.0833646831819015,0.0230898844408159,0.00918031550056535,0.00287464424765177,1.87492839548752e-07,1.34474640359482e-06,5.52369447941971e-09,0.000421923591187599,1.21476902078188e-06,1.20549597482171e-06,2.41013581693184e-07,6.06457205794923e-05,3.98740976287182e-05,8.25301090454864e-05,6.33691880467801e-07,5.91620332258656e-05,6.2963982069534e-06,3.16210867241695e-06,2.29044235216125e-06,0.000326733418503456,2.18843884659942e-05,7.1124262514481e-06,1.28526249037577e-06,5.85129200086539e-06,1.9285264738839e-08,1.21476902078188e-06,2.66136419056793e-05,1.06640028541921e-05,3.80194884366848e-07,2.78191378805011e-06,1.6765667095982e-05,3.29285862045531e-05,4.73852648564534e-05,1.11276551522004e-05,7.97481952574363e-06,1.47517387751613e-08,2.34608062792225e-05,0.00052856361972952,2.07395313932905e-07,2.59645286884676e-05,2.08643534103758e-09,8.827939754079e-06,1.66914827283006e-05,0.000380287614826449,1.19622292886154e-06,1.09421942329971e-06,3.08792430473562e-06,1.52091567707263e-07,4.26560114167683e-07,6.86205401052359e-07,0.000325483913201862,1.07118572698067e-06,2.83755206381111e-05,2.6149989607671e-06,0.000103394462455862,0.000184069962309315,9.85327646801926e-05
0.476719760768904,0.0220616667547642,0.12720663171364,0.119039121042727,0.0777345774292762,0.00159595036098294,0.0534173973764289,0.0843037308330988,0.0230004610847541,0.00891854613490466,0.00234698582497491,1.87492839548752e-07,1.34474640359482e-06,5.52369447941971e-09,0.000321067660856568,8.91854613490466e-07,4.36130013981489e-07,2.41013581693184e-07,5.53888654694079e-05,3.73640143336006e-05,7.60423407291871e-05,4.69397164994982e-07,5.72664541293878e-05,5.1633688149448e-06,3.00414185596788e-06,2.06534752597792e-06,0.000326733418503456,2.25310639197591e-05,7.60423407291871e-06,1.28526249037577e-06,4.69397164994982e-06,1.9285264738839e-08,1.22043262898695e-06,2.4878049744734e-05,1.20165674238715e-05,3.75517731995986e-07,2.91882107380204e-06,1.87758865997993e-05,3.09802128896688e-05,4.54376455715142e-05,1.22043262898695e-05,7.32259577392172e-06,1.47517387751613e-08,2.5535205775727e-05,0.000439555585821863,2.07395313932905e-07,2.57118855365775e-05,2.40063006014916e-07,8.44914896990968e-06,1.78370922698093e-05,0.000392416029935805,1.40819149498495e-06,1.12655319598796e-06,2.25310639197591e-06,1.52091567707263e-07,4.69397164994982e-07,7.31948801664219e-07,0.000285393476316949,1.07118572698067e-06,2.7225035569709e-05,2.44086525797391e-06,0.000103267376298896,0.000167105390738214,0.00107262325499358
