"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.723737909772287,0.00186328188152757,0.126507033008977,0.0268704860809765,0.020052320933677,0.000156907947918111,0.000980674674488194,0.0105912864844725,0.0358926930862679,0.0509950830733861,0.000294202402346458,3.21503621258496e-07,1.07874214193701e-06,2.29234678837498e-05,0.000529564324223625,4.51537343137178e-06,5.43875038351324e-07,1.54985969159611e-07,0.000129438002270738,6.75781779753726e-05,2.01393126861038e-06,8.44275511747634e-06,4.31496856774805e-06,3.72656376305514e-06,9.24248423916416e-06,5.33767890029013e-06,1.61728007977639e-06,0.000183493344662345,2.37925452996525e-05,1.02343341834339e-05,2.6093449169925e-06,7.63085291670179e-06,1.93372855754453e-06,6.33384276691949e-05,3.12799765130577e-05,7.19635440056054e-07,2.05941681642521e-06,4.87168881439746e-05,5.50127863957688e-05,7.20247144237392e-06,2.7164688483323e-05,1.46888690134728e-05,0.000152829258075401,8.03343214078455e-06,1.86328188152757e-06,5.23832866738283e-06,1.15207751860142e-05,1.08854888868189e-05,8.99278676505674e-05,9.64597974831812e-05,1.57011142093079e-06,2.02999657619056e-05,8.32464746860331e-07,6.92185678090334e-07,2.5497541536693e-06,6.05882513229159e-06,1.17680960938583e-06,5.36230901465287e-05,4.81164264238316e-06,4.84453289197168e-05,0.000269237876002031,1.11022302462516e-16
0.698150966487633,0.00214966007875828,0.140900446980429,0.0268707509844785,0.0200523209334102,0.00635126841451311,0.00117254186114088,0.0114322831461236,0.0381076104870786,0.0524712482860544,0.00029313546528522,3.21503621254218e-07,1.20548103291578e-06,2.29234678834448e-05,0.0004211379517931,4.5153734313117e-06,5.43875038344087e-07,1.54985969157549e-07,0.000129438002269015,6.75781779744734e-05,2.01393126858358e-06,1.17254186114088e-05,4.08396332353473e-06,3.9084728704696e-06,9.24248423904118e-06,5.33767890021911e-06,1.61728007975487e-06,0.000183493344659903,2.54050736580524e-05,1.02343341832977e-05,2.60934491695779e-06,7.63085291660025e-06,1.9337285575188e-06,6.35126841451311e-05,3.12799765126415e-05,7.19635440046479e-07,2.07560993165882e-06,5.37415019689571e-05,5.50127863950368e-05,8.79406395855661e-06,3.12677829637568e-05,1.46888690132773e-05,0.000144613496207375,8.03343214067766e-06,1.93406500612848e-06,5.23832866731313e-06,1.15207751858609e-05,2.24737190052002e-05,8.59864031503313e-05,9.64597974818977e-05,1.5701114209099e-06,1.9542364352348e-05,8.32464746849254e-07,6.92185678081123e-07,3.16628181022107e-06,7.81694574093921e-06,1.66278317984875e-06,5.36230901458152e-05,4.81164264231913e-06,3.9084728704696e-05,0.000360556622300821,0
0.728866101014538,0.00193512837120547,0.129943870126447,0.0278658485453587,0.0121913087385944,0.000474106450945339,0.000870807767042459,0.011320500971552,0.0355096056116203,0.0478944271873353,0.000319296181248902,3.21503621259719e-07,1.09334752973109e-06,2.2923467883837e-05,0.000557316970907174,3.87025674241093e-06,7.74051348482186e-06,1.54985969160201e-07,0.00012943800227123,6.75781779756297e-05,2.01393126861804e-06,8.44275511750846e-06,4.08396332360461e-06,3.28971823104929e-06,9.24248423919933e-06,5.33767890031044e-06,1.61728007978255e-06,0.00090273738516735,2.03188478976574e-05,1.02343341834728e-05,2.60934491700243e-06,6.77294929921913e-06,1.83837195264519e-06,6.33384276694359e-05,3.19296181248902e-05,6.28916720641776e-07,1.06432060416301e-06,4.74106450945339e-05,5.50127863959781e-05,7.20247144240132e-06,2.03188478976574e-05,1.46888690135287e-05,0.000149972448768424,8.03343214081512e-06,1.93406500616158e-06,5.23832866740276e-06,1.1520775186058e-05,1.25783344128355e-05,7.97272888936652e-05,0.000112237445529917,1.54810269696437e-06,2.32215404544656e-05,8.32464746863499e-07,6.77294929921913e-07,3.16628181027525e-06,3.87025674241093e-06,1.6627831798772e-06,4.74106450945339e-05,4.81164264240146e-06,6.48700827148133e-05,0.000265112586855149,2.05971295574869e-09
0.720260827267605,0.00201869020975683,0.129352964897039,0.0276344970461857,0.0200523209336396,0.000499772818920379,0.00161691206121299,0.00940748835614832,0.0362580280393216,0.0503692605735441,0.000342981346317907,3.21503621257898e-07,1.46992005564817e-06,2.29234678837071e-05,0.000559549567850072,4.51537343136337e-06,5.43875038350311e-07,1.54985969159322e-07,0.000134252698415867,6.75781779752467e-05,2.54786142979017e-06,1.22493337970681e-05,5.8796802225927e-06,4.40976016694452e-06,4.40976016694452e-06,5.3376789002802e-06,1.61728007977338e-06,0.000183493344662003,2.54786142979017e-05,1.37192538527163e-05,2.60934491698765e-06,7.8395736301236e-06,1.93372855754093e-06,7.54558961899396e-05,3.03783478167289e-05,7.19635440054714e-07,5.97767489296924e-06,4.70374417807416e-05,6.36965357447542e-05,8.13355764125324e-06,2.44986675941362e-05,1.46888690134454e-05,0.000154831579194941,8.03343214076959e-06,1.93406500615062e-06,5.23832866737308e-06,1.15207751859928e-05,1.75525349749029e-05,9.11350434501868e-05,9.64597974830016e-05,1.57011142092787e-06,2.44986675941362e-05,8.32464746858781e-07,6.92185678089045e-07,3.33181879280253e-06,7.05561626711124e-06,5.8796802225927e-06,5.68369088183961e-05,4.8116426423742e-06,7.15361093748778e-05,0.000289084277610808,1.11022302462516e-16
0.717790150282698,0.00192529682675552,0.132302448607815,0.0266579560627687,0.0200523209337533,0.000493665853014235,0.00108606487663132,0.0113543146193274,0.0356426745876278,0.0501564506662463,0.000296199511808541,3.21503621259719e-07,1.20548103293641e-06,2.2923467883837e-05,0.000535133784667431,4.44299267712812e-06,5.43875038353393e-07,1.54985969160201e-07,0.000133289780313844,6.75781779756297e-05,1.57973072964555e-06,7.89865364822777e-06,3.75186048290819e-06,6.91132194219929e-06,9.87331706028471e-06,5.0353917007452e-06,1.69821053436897e-06,0.000183493344663043,2.3792545299743e-05,1.00707834014904e-05,2.60934491700243e-06,8.88598535425623e-06,1.95491677793637e-06,6.28930296740136e-05,3.12799765131767e-05,6.91132194219929e-07,1.57973072964555e-06,4.73919218893666e-05,5.76601716320627e-05,5.92399023617082e-06,2.07339658265979e-05,1.53036414434413e-05,0.000154023746140441,8.03343214081512e-06,1.48099755904271e-06,4.24552633592242e-06,1.1650514131136e-05,2.12276316796121e-05,8.58978584244769e-05,9.57711754847616e-05,1.65871726612783e-06,2.41896267976975e-05,8.32464746863499e-07,8.392319501242e-07,2.86326194748256e-06,4.93665853014235e-06,9.87331706028471e-07,5.1637448225289e-05,4.73919218893666e-06,6.51638925978791e-05,0.000307060160574854,0.000118611287295844
0.718617345874384,0.00197016407367891,0.129341271437021,0.0278778216425566,0.0200523209337533,0.000492541018419728,0.00197016407367891,0.0105403777941822,0.0357584779372723,0.050830233100916,0.000394032814735783,3.21503621259719e-07,1.20548103293641e-06,2.2923467883837e-05,0.00052701888970911,4.51537343138896e-06,5.43875038353393e-07,1.54985969160201e-07,0.000128060664789129,6.75781779756297e-05,2.01393126861804e-06,8.44275511750846e-06,4.08396332360461e-06,5.41669280546926e-06,8.7081252056608e-06,4.84660362125013e-06,1.53672797746955e-06,0.000183493344663043,2.3792545299743e-05,1.0934410608918e-05,2.60934491700243e-06,7.63085291673083e-06,1.75344602557423e-06,5.41795120261701e-05,3.12799765131767e-05,6.20601683208858e-07,2.07560993169434e-06,4.87168881441599e-05,5.05347084898641e-05,7.20247144240132e-06,2.37976739544466e-05,1.35941321083845e-05,0.000147762305525919,8.03343214081512e-06,1.93406500616158e-06,3.94032814735783e-06,1.07373942015501e-05,1.75525349750023e-05,8.66872192418722e-05,9.64597974835483e-05,1.57011142093677e-06,2.26606847774523e-05,8.32464746863499e-07,6.92185678092967e-07,3.16628181027525e-06,6.05882513231465e-06,1.6627831798772e-06,4.92541018419728e-05,4.39346588430398e-06,6.48700827148133e-05,0.000305375431420232,7.20190665775e-05
0.721432116862544,0.0018579347667145,0.12718947046604,0.0276713688659606,0.0200523209337533,0.000504014218629996,0.00130450738939528,0.0103767633247352,0.0358739532083703,0.0511920324020271,0.00035577474256235,3.95305269513723e-08,8.6967159293019e-07,7.90610539027445e-06,0.000542556482407584,4.25941427901036e-06,2.47065793446077e-07,1.54985969160201e-07,0.00012847421259196,6.75781779756297e-05,2.01393126861804e-06,9.48732646832934e-06,4.64483691678624e-06,5.83075272532741e-06,9.57627015396993e-06,4.9808463958729e-06,1.43298160198724e-06,0.000183493344663043,2.31253582665528e-05,8.42988487238013e-06,2.60934491700243e-06,6.1272316774627e-06,1.72946055412254e-06,6.79925063563603e-05,3.22173794653684e-05,6.72018958173328e-07,2.07560993169434e-06,4.54601059940781e-05,6.03828799182211e-05,4.54601059940781e-06,1.9271131888794e-05,1.22544633549254e-05,0.000155157318284136,8.03343214081512e-06,1.93406500616158e-06,3.97281795861291e-06,1.06732422768705e-05,1.66028213195763e-05,8.51882855802072e-05,8.20258434240974e-05,1.27485949418176e-06,2.15441371884979e-05,6.22605799484113e-07,7.21432116862544e-07,3.16628181027525e-06,5.53427377319212e-06,1.6627831798772e-06,4.911667973708e-05,4.57565849462134e-06,7.39220853990661e-05,0.000265842793747978,0.000137730596665664
0.720816857345298,0.00190230540504677,0.130415782923309,0.0271617833607193,0.0200523209336817,0.000509896294136247,0.00121590654755567,0.0106195708951838,0.0342218858949135,0.0506954584746999,0.000323588032817234,3.21503621258571e-07,1.66696865390696e-06,2.29234678837551e-05,0.000565788772531951,4.51537343137283e-06,5.43875038351451e-07,1.54985969159647e-07,0.000113844153363881,6.75781779753884e-05,2.01393126861085e-06,9.51152702523384e-06,4.08396332359003e-06,9.31541306595067e-06,9.24248423916633e-06,5.33767890029138e-06,1.61728007977677e-06,0.000183493344662388,2.07880796840162e-05,1.02343341834363e-05,2.60934491699312e-06,7.63085291670358e-06,1.93372855754498e-06,6.33384276692098e-05,3.1279976513065e-05,7.19635440056223e-07,2.25531053175648e-06,4.13800454087493e-05,5.50127863957817e-05,3.53005126709709e-06,2.3435618134339e-05,1.46888690134762e-05,0.000151988318444458,8.03343214078643e-06,1.93406500615467e-06,5.23832866738406e-06,1.15207751860169e-05,2.3925903032547e-05,8.92318514738432e-05,9.64597974832038e-05,1.57011142093116e-06,1.93172249893924e-05,8.32464746860526e-07,6.92185678090496e-07,2.84365240960599e-06,2.01997378061667e-05,1.66278317987127e-06,4.9028489820793e-05,4.81164264238428e-06,6.33448088484645e-05,0.00023121835799486,1.11022302462516e-16
0.722362275033359,0.00189308734146673,0.127534305109338,0.027499584539201,0.0201265075250674,0.000498180879333351,0.00159417881386672,0.0114581602246671,0.0337766636188012,0.0508144496920018,0.000298908527600011,3.21503621259719e-07,7.97089406933362e-07,2.2923467883837e-05,0.000557962584853354,3.98544703466681e-06,5.43875038353393e-07,1.54985969160201e-07,0.000124545219833338,6.75781779756297e-05,2.01393126861804e-06,2.78981292426677e-05,3.58690233120013e-06,6.97453231066692e-06,9.96361758666703e-06,5.33767890031044e-06,1.39490646213338e-06,0.000183493344663043,2.29163204493342e-05,1.02343341834728e-05,2.60934491700243e-06,8.46907494866697e-06,2.59054057253343e-06,6.27707907960023e-05,3.18835762773345e-05,6.97453231066692e-07,1.99272351733341e-06,4.88217261746684e-05,4.38399173813349e-05,7.97089406933362e-06,4.18471938640015e-05,1.46888690135287e-05,0.000156428796110672,8.03343214081512e-06,1.19563411040004e-06,4.78253644160017e-06,1.19563411040004e-05,2.39126822080009e-05,9.06689200386699e-05,9.96361758666703e-05,1.59417881386672e-06,2.19199586906675e-05,8.32464746863499e-07,6.92185678092967e-07,2.78981292426677e-06,1.99272351733341e-06,1.6627831798772e-06,6.07780672786689e-05,5.47998967266686e-06,7.3730770141336e-05,0.000250086801425342,4.71628743015096e-06
0.722285702118712,0.00196193318516559,0.128408526969088,0.0281537412071262,0.0204041051257222,0.000490483296291398,0.00127525657035763,0.0096134726073114,0.0356090873107555,0.0495388129254312,0.000392386637033118,3.21503621259719e-07,8.82869933324516e-07,2.2923467883837e-05,0.00052972195999471,4.50263665995503e-06,2.55051314071527e-07,2.06002984442387e-07,0.000124092273961724,6.86676614807957e-05,1.5793562140583e-06,1.18696957702518e-05,2.29546182664374e-06,4.21815634810602e-06,8.05373572510475e-06,4.71844931032325e-06,1.55973688220665e-06,8.73060267398688e-08,2.46222614738282e-05,8.7011736762094e-06,1.18696957702518e-06,6.68038249548884e-06,1.54992721628082e-06,5.93779078490366e-05,3.12799765131767e-05,5.98389621475505e-07,1.39297256146757e-06,4.72041124350841e-05,5.44632652201968e-05,7.27877211696434e-06,2.17774583553381e-05,1.41161092672664e-05,0.00014537924902077,5.88579955549677e-09,2.03060084664639e-05,5.23832866740276e-06,1.12124481532214e-05,2.09926850812718e-05,8.89736699472596e-05,8.92287212613311e-05,1.36354356369009e-06,2.03158181323897e-05,8.32464746863499e-07,6.76866948882129e-07,2.62899046812189e-06,4.48301732810338e-06,9.61347260731139e-07,4.97350062439477e-05,4.24758534588351e-06,6.78828882067295e-05,0.000265841946589938,5.7145665977032e-10
