"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.356471205976733,0.0366275170586735,0.0955768144105555,0.125935951198051,0.0710861857413151,0.00201525939205606,0.134934759294189,0.121768082185103,0.030643309674742,0.0113574430602831,0.00878094221591526,4.16786901294791e-08,3.41007464695738e-06,3.185219247458e-05,0.000700012545583752,1.69367040798883e-06,4.73621478744081e-09,4.92566337893844e-08,0.00011958942338288,0,5.92026848430101e-05,0.000439520732274507,4.92566337893844e-07,5.2808794879965e-05,6.70932186788865e-06,2.59070948873012e-06,3.64025468562701e-06,0.000796020010228922,1.7523994713531e-05,1.00644564233117e-05,9.70153409011074e-07,6.55965748060552e-06,8.62550569727965e-09,1.10637977434617e-06,5.87053822903288e-05,1.40902389926364e-05,2.30180038669623e-07,6.4412521109195e-07,8.26469480408421e-05,5.86343390685172e-05,0.000302407314178096,2.65228028096685e-06,1.45638604713805e-05,3.26798820333416e-05,8.57799541857678e-05,1.16510883771044e-07,2.17865880222277e-05,8.80935950463991e-08,1.16984505249788e-05,2.20233987615998e-06,0.00110353804547371,4.62065114662725e-06,1.32140392569599e-06,6.97928611077278e-06,7.57794365990530e-09,3.08801204141141e-07,2.06972586211163e-06,0.000260491813309245,4.81199422403986e-07,2.78726240240892e-05,1.71735148192604e-06,0.000114379587116696,0.000273516403974707,6.24269137463607e-05
0.356056206753593,0.036673262656078,0.0953217571125996,0.126920129636113,0.0647287873511977,0.0020108055242236,0.135777249207098,0.124957200433895,0.0322686410315882,0.011825451535315,0.0086656142829636,2.57881469330632e-07,2.17808471507003e-06,3.185219247458e-05,0.000711442144999111,2.12849545942328e-06,4.89873339527246e-08,1.45536042770543e-07,0.000116180922099274,0,5.74515864063885e-05,0.000418917817546583,0,6.51117979272403e-05,6.47953727193041e-06,2.49942648565321e-06,3.60003654839794e-06,0.000796020010228922,1.67567127018633e-05,9.83839274368444e-06,9.70153409011074e-07,7.6602115208518e-06,8.62550569727965e-09,1.06470070308785e-06,5.77235312816635e-05,1.55804006141e-05,2.19153918000439e-07,8.97352687083835e-07,8.04322209689439e-05,5.35766567772122e-05,0.000318856304555456,3.8301057604259e-06,1.38181059597552e-05,2.96833196433007e-05,8.57799541857678e-05,1.37776415000043e-07,2.29806345625554e-05,0,1.1098493687091e-05,2.03485270799578e-06,0.00111743335560426,0,1.30746829259072e-06,5.74515864063885e-06,1.77373483498349e-08,2.93946035773607e-07,0,0.000261404718149068,2.96833196433007e-05,2.75984848742104e-05,1.59000358719018e-06,0.000111073067052351,0.000272895035430345,1.85900633602465e-05
0.356308464485195,0.0351364868155815,0.0950709279222875,0.128865345076119,0.0710861857413151,0.00200483146046419,0.133787799212196,0.120972872394071,0.0324505090404892,0.0113221041258769,0.008539607642234,2.57881469330632e-07,9.37610311633873e-07,3.185219247458e-05,0.000637942702229321,3.08859867361746e-06,4.89873339527246e-08,5.88304509260469e-08,8.3557624830901e-05,0,5.43262445270215e-05,0.000369712615038376,0,5.30393284130142e-05,6.47953727193041e-06,2.49942648565321e-06,3.60003654839794e-06,0.000796020010228922,1.89250093602471e-05,9.83839274368444e-06,9.70153409011074e-07,6.38907713843819e-06,1.28691611400728e-08,1.06470070308785e-06,4.14570833869487e-05,1.55804006141e-05,2.19153918000439e-07,8.97352687083835e-07,7.90850939634042e-05,5.35766567772122e-05,0.000278157725784716,3.12536770544624e-06,1.38181059597552e-05,2.95071480425954e-05,0.000130897753310454,1.37776415000043e-07,2.12363026645378e-05,0,1.1098493687091e-05,2.03485270799578e-06,0.00100811493016556,0,1.30746829259072e-06,7.04967897292549e-06,2.20614190972676e-08,2.93946035773607e-07,0,0.000269792771043668,7.96150430270833e-07,2.75984848742104e-05,1.59000358719018e-06,0.000104975585871165,0.000271797344591451,7.65624593723757e-08
0.365351325147992,0.0366290531639375,0.0986166815952165,0.126792876336707,0.0710861857413151,0.00197233363190433,0.125665828547047,0.122566447125483,0.0284579566889053,0.011834001791426,0.00798325517675562,1.50273038621282e-07,6.15180251855874e-05,3.185219247458e-05,0.000403858791294696,1.09887159491813e-06,4.89873339527246e-08,3.47506401811715e-08,5.93578502554065e-05,0,4.29217366562037e-05,0.000180327646345539,0,2.73309088992457e-05,3.65351325147992e-06,6.9501280362343e-07,1.4651621265575e-06,0.000796020010228922,1.89250093602471e-05,4.03858791294696e-06,9.70153409011074e-07,6.38907713843819e-06,8.62550569727965e-09,4.03858791294696e-07,2.93971631802883e-05,1.55804006141e-05,1.31488908793622e-07,1.01434301069366e-06,7.90850939634042e-05,2.77065914957989e-05,0.000132428115285005,1.28671289319473e-06,7.49486780123645e-06,2.95458395229284e-05,8.57799541857678e-05,1.37776415000043e-07,1.05191127034898e-05,1.59665103535112e-07,5.22198809208956e-06,2.03485270799578e-06,0.000566341514303958,0,6.4805247905428e-07,7.04967897292549e-06,1.77373483498349e-08,2.93946035773607e-07,0,0.000133367321776388,7.96150430270833e-07,2.66734643552776e-05,7.13796933451091e-07,8.92246166813863e-05,0.000147455419147133,2.88034471518372e-06
0.359377156959876,0.0366795708148753,0.0931826372749635,0.126500383627031,0.0716312765427211,0.00178420851378041,0.133111345699144,0.122706592892467,0.0302939824497664,0.0117100421930746,0.00847029515489439,2.57881469330632e-07,2.17808471507003e-06,3.185219247458e-05,0.00064935799330482,8.26370259014087e-07,4.89873339527246e-08,1.45536042770543e-07,0.000130528938639725,2.81717133754802e-05,5.54043696384445e-05,0.000328200460824345,3.28669989380603e-07,3.45573017405891e-05,6.12265237360437e-06,2.47911077704226e-06,3.31487160718151e-06,0.000796020010228922,2.06592564753522e-05,9.738022256791e-06,1.18321196177017e-06,6.12265237360437e-06,8.62550569727965e-09,1.06113453714309e-06,5.54043696384445e-05,1.55804006141e-05,2.34764278129002e-07,6.10387123135405e-07,4.22575700632204e-05,4.27270986194784e-05,0.000264344577173256,1.27711767302177e-06,1.41234189722408e-05,3.04817938722696e-05,2.86412419317382e-05,1.37776415000043e-07,1.86402836834428e-05,0,1.0911843647436e-05,2.03485270799578e-06,0.00124143350274616,1.62456880465269e-06,1.27711767302177e-06,4.31027214644848e-06,1.77373483498349e-08,3.19279418255443e-07,2.25373707003842e-06,0.000272326562629642,1.03296282376761e-07,2.5871023449816e-05,1.71847451590429e-06,8.63932543514727e-05,0.000277866999593487,1.01650705863765e-06
0.358129138509781,0.0368302191365924,0.0935355693162053,0.127822525238762,0.0710861857413151,0.00188389867706355,0.135829094616282,0.118403031853444,0.0319320825762272,0.0120569515332067,0.00772398457596056,2.57881469330632e-07,2.17808471507003e-06,3.185219247458e-05,0.000690448865143792,2.41139030664135e-06,4.89873339527246e-08,1.45536042770543e-07,0.000117743667316472,0,6.21686563430972e-05,0.000424819151677831,4.99233149421841e-07,5.64227653780534e-05,6.72551827711688e-06,2.58094118757707e-06,3.6076659665767e-06,0.000796020010228922,2.00635209107268e-05,9.60788325302411e-06,1.28105110040322e-06,6.16034867399781e-06,8.62550569727965e-09,1.14917819300877e-06,5.94370032613551e-05,1.72376728951315e-05,2.26067841247626e-07,8.97352687083835e-07,8.5905779674098e-05,5.68937400473193e-05,0.000298597940314573,2.64687764127429e-06,1.41292400779766e-05,2.97655990976041e-05,8.57799541857678e-05,1.37776415000043e-07,1.89331817044887e-05,0,1.17743667316472e-05,2.03485270799578e-06,0.00112186166219135,4.95465352067714e-06,1.30930958055917e-06,7.08345902575895e-06,1.77373483498349e-08,3.10843281715486e-07,2.08170803815522e-06,0.000277875054866874,7.96150430270833e-07,2.90120396267787e-05,1.6955088093572e-06,0.000114917819300877,0.000277875054866874,6.92866434137684e-06
0.352965270100854,0.0360680357971911,0.0951848966091647,0.126334563888557,0.0710861857413151,0.00221808776292886,0.134049651759614,0.122477019953029,0.031921176066498,0.0122477019953029,0.00916166684688009,2.57881469330632e-07,2.17808471507003e-06,3.185219247458e-05,0.000691808634324961,2.12849545942328e-06,4.89873339527246e-08,1.45536042770543e-07,0.000116180922099274,0,6.201001876362e-05,0.000427222990859777,0,6.21064573620082e-05,6.47953727193041e-06,2.49942648565321e-06,3.60003654839794e-06,0.000796020010228922,1.89250093602471e-05,9.83839274368444e-06,9.70153409011074e-07,6.38907713843819e-06,8.62550569727965e-09,1.06470070308785e-06,6.23957731571728e-05,1.55804006141e-05,2.19153918000439e-07,8.97352687083835e-07,8.37087034009676e-05,5.35766567772122e-05,0.000322104918616626,3.29299052084532e-06,1.38181059597552e-05,3.50072112149208e-05,8.57799541857678e-05,1.37776415000043e-07,1.75518249066545e-05,0,1.1098493687091e-05,2.03485270799578e-06,0.00118715914615888,0,1.30746829259072e-06,9.64385983882115e-06,1.77373483498349e-08,2.93946035773607e-07,6.19135801652318e-06,0.000298959655003456,7.96150430270833e-07,3.0571035689063e-05,1.59000358719018e-06,0.000114761932081972,0.00030088842697122,0.00138462342014267
0.361992578805783,0.0353990142083159,0.0953702164708085,0.117494600351006,0.0714570526173185,0.00178877997329256,0.124273134986641,0.12549703707363,0.0401063299275068,0.012992191384967,0.00913219249523043,2.57881469330632e-07,2.17808471507003e-06,3.185219247458e-05,0.000647726642960673,2.12849545942328e-06,4.89873339527246e-08,1.45536042770543e-07,0.000112975577260583,0,5.74292517741295e-05,0.000384116962685981,0,5.46048623426149e-05,6.59024200686732e-06,2.82438943151457e-06,3.38926731781748e-06,0.000796020010228922,1.89250093602471e-05,9.41463143838188e-06,9.70153409011074e-07,6.38907713843819e-06,8.62550569727965e-09,9.41463143838188e-07,5.83707149179677e-05,1.5063410301411e-05,2.19153918000439e-07,8.97352687083835e-07,7.90850939634042e-05,5.36633991987767e-05,0.000278673090576104,3.29299052084532e-06,1.22390208698964e-05,2.54195048836311e-05,8.57799541857678e-05,1.37776415000043e-07,1.78877997329256e-05,0,1.22390208698964e-05,2.03485270799578e-06,0.000996068006180803,0,1.12975577260583e-06,7.04967897292549e-06,1.77373483498349e-08,2.93946035773607e-07,2.35365785959547e-06,0.000260785290843178,7.96150430270833e-07,2.73024311713075e-05,1.69463365890874e-06,0.000113917040404421,0.000300326742884382,1.1961546887429e-06
0.360129947917394,0.0360412994771927,0.0938772067534208,0.127088037685284,0.0707617136332318,0.00198132798173049,0.133315068485009,0.121049704788582,0.0302860134350232,0.0119823168418939,0.00877445249052074,2.57881469330632e-07,1.41523427266464e-06,3.185219247458e-05,0.000742526248391379,2.07567693324147e-06,4.89873339527246e-08,1.45536042770543e-07,0.000122653636964268,0,5.75528604216952e-05,0.000402870022951866,0,5.28354128461464e-05,6.6044266057683e-06,2.55685658594744e-06,3.52865078651049e-06,0.000796020010228922,1.69828112719756e-05,9.81229095714147e-06,9.70153409011074e-07,5.84963499368049e-06,8.62550569727965e-09,1.10388273267842e-06,6.05720268700464e-05,1.69828112719756e-05,2.26437483626342e-07,8.97352687083835e-07,7.73661402390001e-05,5.80246051792501e-05,0.000300029665804903,3.29299052084532e-06,1.44353895811793e-05,3.01916644835122e-05,8.57799541857678e-05,1.37776415000043e-07,2.45307273928537e-05,0,1.160492103585e-05,2.03485270799578e-06,0.00108406945286111,4.81179652705976e-06,1.31145042600256e-06,7.45356716936708e-06,1.77373483498349e-08,3.1135153998622e-07,2.26437483626342e-06,0.000262290085200512,7.96150430270833e-07,2.7361195938183e-05,1.69828112719756e-06,0.000105670825692293,0.00026983800132139,1.23789126116325e-06
0.358057185840088,0.037220476491465,0.0953299959118134,0.124384755621988,0.0696934432263656,0.00191799394165202,0.131411070061703,0.125903958744088,0.0319032655641129,0.011204123025492,0.00831763709350086,2.57881469330632e-07,2.17808471507003e-06,3.185219247458e-05,0.000668829174504795,2.12849545942328e-06,4.89873339527246e-08,4.93741014682699e-07,0.000116788740011485,0,5.06844141610817e-05,0.000404898164492169,0,5.84893202008736e-05,6.00085233229742e-06,2.34526981974282e-06,3.57012733693644e-06,0.000873541795207852,1.98825708604918e-05,8.78289304964417e-06,9.70153409011074e-07,7.8049060397919e-06,8.62550569727965e-09,9.96977048878527e-07,6.01984237132368e-05,1.55804006141e-05,2.08890429288834e-07,2.85800087345178e-06,8.30814207398773e-05,5.98186229327116e-05,0.000262632239733143,2.83901083442552e-06,1.31790870842228e-05,2.65005994611426e-05,8.57799541857678e-05,1.37776415000043e-07,3.14285145884564e-05,0,1.07673521278881e-05,2.03485270799578e-06,0.00107483620888618,0,1.26283759524613e-06,8.2986470544746e-06,1.77373483498349e-08,2.81052577588613e-07,2.86749589296491e-06,0.000252187718268702,7.96150430270833e-07,2.47820009292663e-05,1.57617323917939e-06,9.92229539121963e-05,0.000270608056124172,1.75893258391735e-06
