"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","C(tot)","C(org)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pd","Pr","Pt","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"96","G88","52","1.72","14.2","11.4",NA,"0.139","7.58","8.41","3.12","0.854","0.293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43.6","254",NA,"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","G89","52.23","1.84","14.76","11.82",NA,"0.14","6.52","8.09","3.36","0.85","0.29",NA,NA,"0.3",NA,NA,NA,NA,NA,"227",NA,NA,NA,NA,NA,NA,"28.2",NA,"44","264",NA,"58","3.7","2","1.3",NA,NA,"4.3",NA,NA,NA,"0.7",NA,NA,"15.6","8","0.4",NA,"20","15","159",NA,NA,"4.1",NA,"21",NA,NA,"19.4",NA,"4.5",NA,"364",NA,"0.7",NA,NA,NA,"0.3","0.7","159",NA,"24","1.5","107","145"
"98","G90","52.23","1.72","14.48","11.23",NA,"0.14","7.69","8.42","3.1","0.84","0.3",NA,NA,"0",NA,NA,NA,NA,NA,"208","1.144",NA,NA,NA,NA,NA,"31.313",NA,"47.46","241","0.778","59.885","4.388","2.193","1.618",NA,"19.494","4.835",NA,"3.3",NA,"0.861",NA,NA,"15.659","7.162","0.25","1.7","18.766","17.898","147.313","3.3652",NA,"4.082",NA,"22.4",NA,"0.1","20.763",NA,"4.693","1.733","360","2.133","0.789","0.1","2.574","0.08","0.294","0.68","146","0.312","21.62","1.723","102.811","132.033"
"99","G91",NA,"1.768","15.16","12.252",NA,"0.143","8.303","7.806","3.402","0.912","0.304",NA,NA,NA,NA,NA,"1.27",NA,NA,"228.2","0.86",NA,NA,NA,NA,"0.066","35",NA,"49.04","238.71","0.939","59.4","4.786","2.356","1.783",NA,"18.679","5.296",NA,"3.64",NA,"0.833",NA,NA,"16.81","7.29","0.242","1.84","18.59","20.02","166.39","3.5",NA,"4.417",NA,"23.16",NA,"0.1",NA,NA,"4.997","1.59","371.8","2.97","0.814",NA,"2.543","0.08","0.293","0.661","179.43","0.491","22.86","1.839","111.3","138.6"
"100","G92","51.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","G93","51.76","1.76","14.35","11.53",NA,"0.151","7.64","8.57","3.18","0.86","0.293",NA,"0.016","-0.26",NA,NA,"3",NA,NA,"250",NA,"2","1","689","645",NA,"43","80","46","221",NA,"61",NA,NA,NA,"230",NA,NA,"2.4","3.4","0.9",NA,NA,NA,"17",NA,NA,NA,"26","21","155","8",NA,"9",NA,"22","160",NA,"31","0.6","5","2.7","359","2.8",NA,NA,"2.4",NA,NA,"1.3","154","7","22",NA,"105","132"
"102","G94","51.81","1.73","14.33","11.25",NA,NA,"7.602","8.418","3.003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","G95","52.3","1.73","15.2","11.4",NA,"0.14","7.47","8.33","2.87","0.82","0.28",NA,NA,NA,NA,NA,NA,NA,NA,"270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"130"
"104","G96","52.38","1.74","14.44","11.25","8.67","0.14","7.73","7.87","3.14","0.82","0.3","0.49",NA,NA,NA,"58","1.23",NA,NA,"210","0.87",NA,NA,NA,NA,"0.079","32.5",NA,"46.6","244","0.62","53.2","3.99","1.88","1.52",NA,"19.3","4.51",NA,"3.56",NA,"0.74",NA,NA,"16.7","6.89","0.21","1.89","20.3","18.4","144","4.22",NA,"4.13",NA,"18.7",NA,NA,"18.2",NA,"4.41","2.05","314","3.3","0.74",NA,"2.29","0.091","0.25","0.67","150","0.92","19.1","1.47","119","131"
"105","G97","52.376","1.708","14.436","11.378",NA,"0.13","7.629","8.538","3.138","0.855","0.314",NA,NA,"-0.25",NA,NA,"1",NA,NA,"235",NA,NA,NA,NA,NA,NA,"31",NA,NA,"239",NA,"60",NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,"19",NA,NA,NA,"18",NA,"145","5",NA,NA,NA,"24",NA,NA,"19",NA,NA,NA,"367",NA,NA,NA,"3",NA,NA,"1","142",NA,"23",NA,"100","123"
"106","G98","52.39","1.73","14.37","11.4",NA,"0.15","7.53","8.33","3.1","0.84","0.29",NA,NA,"-0.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44","162",NA,"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"150","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,"220",NA,NA,NA,"103",NA
"107","G99*","52.68","1.74","13.7","11.26",NA,"0.14","7.35","7.87","3.04","0.81","0.29",NA,NA,NA,NA,NA,NA,NA,NA,"210",NA,NA,NA,"240",NA,NA,NA,NA,"50","250",NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"150",NA,"20",NA,"90","60"
