"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","C(tot)","C(org)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pd","Pr","Pt","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"60","G54","52.417","1.744","14.513","11.345",NA,"0.147","7.643","8.465","3.183","0.868","0.296","0.097",NA,"-0.263",NA,NA,NA,NA,NA,"242.5",NA,"1.4",NA,NA,NA,NA,"34.9",NA,"44.4","220.2",NA,"55.5",NA,NA,NA,NA,"19.9",NA,"2.1","13",NA,NA,NA,NA,"19.4",NA,NA,"1.6","17.8","20.5","143.2","3.1",NA,NA,NA,"22.6",NA,NA,"16.8",NA,NA,"2.2","361.2","2.8",NA,NA,"1.7",NA,NA,"1.1","142","1.9","28.9","6.3","104.6","134.5"
"61","G55","52.352","1.802","14.626","11.411","8.388","0.14","7.441","8.49","3.042","0.88","0.29",NA,NA,"0.725",NA,NA,NA,NA,NA,"221","1.4",NA,NA,NA,NA,NA,"34","145","41","208","0.8","58.09","4.03","2.01","1.46","170","16","4.56","1.27","3.42",NA,"0.77",NA,NA,"16",NA,"0.23","1.4","17","18","145","2.9",NA,NA,NA,"18","130",NA,"17",NA,"4.49","1.3","360","4.69","0.71",NA,"3.5","0.06","0.26","0.65","154","3","19","1.54","98","110"
"62","G56","52.043","1.759","14.666","11.293",NA,NA,NA,NA,"3.14","0.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32.03",NA,NA,NA,NA,NA,"4.51","2.33","1.65",NA,NA,"5.04",NA,NA,NA,"0.84",NA,NA,"15.12",NA,"0.26",NA,NA,"18.28",NA,NA,NA,"4.07",NA,NA,NA,NA,NA,NA,"4.58",NA,NA,NA,"0.78",NA,NA,NA,"0.28",NA,NA,NA,NA,"1.72",NA,NA
"63","G56.1",NA,NA,NA,NA,NA,"0.139","7.652","8.097",NA,NA,"0.284",NA,NA,"0.28",NA,"0.07","0.7",NA,"3","260","1.4",NA,NA,NA,NA,"0.07",NA,NA,"39","215","0.82","56",NA,NA,NA,"300","19.06",NA,"1.4","3.45",NA,NA,NA,NA,NA,"6",NA,"1.8","20.52",NA,"150","3.41",NA,NA,NA,"18",NA,"0.5","23",NA,NA,"2.3","360","2.97",NA,NA,"2.66","0.32",NA,"0.87","150","0.43","20.54",NA,"98","170"
"64","G57","50.83","1.81","14.97","11.61",NA,"0.13","5.74","8.39","3.34","0.92","0.23",NA,NA,"0.5",NA,NA,NA,NA,NA,"187",NA,NA,NA,NA,NA,NA,NA,NA,"48","248",NA,"59",NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",NA,"152","16",NA,NA,NA,"30",NA,NA,"22",NA,NA,NA,"386",NA,NA,NA,NA,NA,NA,NA,"162","25",NA,NA,"112","169"
"65","G58","52","1.72","14.3","11.3",NA,"0.147","7.41","8.01","3.02","0.838","0.278",NA,NA,"0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","G59","52.226","1.867","14.882","11.762",NA,"0.153","7.807","8.54","3.154","0.857","0.301",NA,NA,NA,NA,NA,NA,NA,NA,"213","1.2",NA,NA,NA,NA,NA,"30.61",NA,"47.74","268.8",NA,"55.9","4.18","2.13","1.58",NA,"20.69","4.32",NA,"3.28",NA,"0.83",NA,NA,"15.03",NA,"0.24","1.53","17.02","17.63","181","3.5",NA,"4",NA,"22.14",NA,NA,"18.8",NA,"4.39","2.61","354.26","2.64","0.73",NA,"2.4",NA,"0.28","0.64","152.4",NA,"19.67","1.66","120.6","119.99"
"67","G60","52.299","1.747","14.409","11.385",NA,"0.146","7.629","8.586","3.095","0.83","0.29",NA,NA,NA,NA,NA,"1.117",NA,NA,"209.33","0.93",NA,NA,NA,NA,NA,"31.3",NA,"45.533","248.667","0.807","50.3","4.247","2.087","1.553",NA,"20.067","4.663","1.317","3.223","0.01","0.79",NA,NA,"15.067","7.7","0.235","1.667","18.967","18.267","153","3.217",NA,"4.593",NA,"22.533","800","0.147","19.867",NA,"4.517",NA,"364.333","2.987","0.674",NA,"2.45","0.08","0.26","0.671","160.333","0.783","20.367","1.7","108.333","112"
"68","G61","52.258","1.726","14.299","11.289","8.5","0.145","7.58","8.416","3.103","0.846","0.298",NA,NA,NA,NA,"2.12","0.96",NA,NA,"224.48","1.6",NA,NA,NA,NA,NA,"31.65",NA,"45.24","257.54","0.9","57.37","4.31","2.07","1.63","225","18.9","4.83","1.23","3.04",NA,"0.87",NA,NA,"15.77",NA,NA,"3.09","18.84","18.88","147.68","3.76",NA,NA,NA,"21.45","292.58","5.44","16.55","0.35","4.87","1.22","347.07","2.91","0.77",NA,"1.5",NA,NA,"0.64","156.085",NA,"20.1","1.78","102.69","125.87"
"69","G62","52.6","1.73","14.17","11.47","7.4","0.15","7.34","8.29","2.98","0.85","0.29",NA,NA,"-0.12",NA,NA,NA,NA,NA,"211",NA,NA,NA,"400",NA,NA,"31.6",NA,"53.4","177",NA,"53","4.2","2.07","1.53",NA,"20.6","4.64",NA,NA,NA,"0.8",NA,"192","15.4","7.9","0.26",NA,"19","16.8","131",NA,NA,"4.14",NA,"33.4","153",NA,"16.7",NA,"4.48",NA,"338",NA,"0.73",NA,"2.57",NA,"0.27","0.65","125",NA,"22.4","1.7","87","130"
"70","G63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"212.500012815562",NA,NA,NA,NA,NA,NA,"29.6950340424349",NA,"41.0772350978111","217.941243921226","0.759079165032812","47.1983509848427","3.96272281033208","1.99222358697773","1.4941477724057",NA,NA,"4.44106179114843",NA,NA,NA,"0.763414881845507",NA,NA,"14.0233195146028","8.20816349503584","0.222861006274225",NA,NA,"16.9473466817694","138.951674928202",NA,NA,"3.86628255419427",NA,"21.1133910230182",NA,NA,"18.3093816680785",NA,"4.35702364180204",NA,"344.022374734934",NA,"0.696430772588328",NA,"2.31194472817328",NA,"0.257138077746108","0.646432127670204","166.274079661152",NA,"18.4854264220509","1.62065799338983","97.2800230336822",NA
"71","G64","51.69","1.78","14.53","11.27",NA,"0.144","7.39","8.37","3.07","0.873","0.296",NA,NA,NA,NA,NA,NA,NA,NA,"218",NA,NA,NA,NA,NA,NA,NA,NA,"43","236",NA,"77",NA,NA,NA,"245",NA,NA,NA,"2",NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,"124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"351",NA,NA,NA,NA,NA,NA,NA,NA,NA,"23",NA,"110","86"
"72","G65","52.54","1.72","14.51","11.2",NA,"0.15","7.51","8.34","3.1","0.87","0.3",NA,NA,NA,NA,NA,NA,NA,NA,"205.2",NA,NA,NA,NA,NA,NA,"29.16",NA,"42.48","237.1","1.02","70.09","3.96","1.96","1.49",NA,"18.27","4.63",NA,NA,NA,"0.75",NA,NA,"15.75",NA,"0.23",NA,"21.21","16.79","157.5",NA,NA,"3.74",NA,"20.7",NA,NA,NA,NA,"4.3",NA,"366.5","3.46","0.7",NA,"2.85",NA,"0.26","0.66","148.4",NA,"18.75","1.64",NA,"104.3"
"73","G66","52.1","1.72","14.4","11.6","8.26","0.14","7.57","8.12","2.81","0.77","0.26",NA,NA,NA,NA,"0.038",NA,"0.01",NA,"242.8",NA,NA,NA,NA,NA,"0.043","55.6",NA,"37.06","248.2",NA,"60.88","2.37","0.31","1.56",NA,NA,"5.18",NA,NA,NA,"0.15",NA,NA,"13",NA,"0.049","1.7",NA,"16.19","156.4","8.7",NA,"3.73",NA,NA,NA,NA,"20",NA,"4.87",NA,"395",NA,"0.58",NA,NA,NA,NA,NA,"157.8",NA,"20.6",NA,"115","200"
"74","G67","51.45",NA,"14.25","11.67",NA,NA,"6.98","8.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","G68","47.53","1.78","14.12","10.69",NA,"0.14","7.49","8.37","3.01","0.58",NA,NA,NA,NA,NA,NA,NA,"0.0056",NA,"261.57",NA,NA,NA,NA,NA,NA,"35.67","133.63","41.46","219.297","0.97","64.15","4.87",NA,"1.26",NA,NA,NA,NA,"3",NA,"0.75",NA,"0.02","14.67",NA,"0.22","4.71",NA,"27.21","97.53",NA,NA,NA,NA,"20.16",NA,"0.07","19.33",NA,"4.16",NA,"356.62","2.66","0.29",NA,"2.18",NA,NA,"0.56","172.29","0.53",NA,"1.67","59.62","161.53"
