"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"44","V41","72.945","0.305","14.285","2.547",NA,NA,"0.398","1.119","3.658","4.525",NA,NA,NA,"0.55",NA,NA,NA,NA,NA,"295.5",NA,NA,NA,"43",NA,NA,NA,"157.1",NA,"7.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"104.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50",NA
"45","V42","72.483","0.289","13.902","2.395",NA,"0.061","0.371","1.152","3.734","4.664","0.136",NA,NA,"0.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,"7.3",NA,NA,NA,NA,NA,"273.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"112.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.2",NA,"50.9","179"
"46","V42.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"334.4",NA,NA,NA,NA,NA,NA,"3.2","171.2",NA,NA,NA,NA,NA,NA,"21.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.2",NA,NA,NA,NA,NA
"47","V43","72.38805","0.292733","13.93588","2.404486",NA,"0.058149","0.368277","1.145088","3.480988","4.736907","0.130711",NA,NA,"0.6",NA,NA,"1.9",NA,NA,"356","9.73","1.46666666666667",NA,"0.103466666666667","64.7333333333333","82","2.98333333333333","157","17.9333333333333","8.38333333333333","4.28","2.15666666666667","0.642","1136","25.7","5.71",NA,NA,NA,"0.812333333333334",NA,NA,NA,"29.7666666666667","123.646723646724","0.324333333333333","3.26",NA,"14","28.3666666666667","5.995",NA,"28.3333333333333",NA,"7.81",NA,"275.666666666667",NA,NA,NA,"145","0.149666666666667","4.44",NA,"5.73333333333333","15","105.066666666667",NA,"0.879",NA,"23.4","1.96","0.328666666666667","5.995","17.2833333333333","0.685","19.3333333333333","2.12666666666667","65.07","165"
"48","V44","72.8","0.29","14.1","2.49",NA,"0.06","0.3","1.2","3.4","4.4","0.15",NA,"0.05","0.52",NA,"0.8","2.3",NA,NA,"306","8.3","0.9",NA,"0.2","63",NA,"2.6","180","16","5.6","3.1","1.6","0.6","940","23","4.2","1.4","2.8",NA,"0.6",NA,NA,NA,"30","103","0.2","2.9",NA,"22","21","4.4",NA,"23",NA,"6",NA,"229",NA,NA,NA,NA,"0.2","3.3",NA,"4.4","12","107","2.5","0.6",NA,"15","1.6","0.2","3.4",NA,"0.5","15","1.6","64","178"
"49","V45","70.86","0.3","13.87","2.45",NA,"0.06","0.41","1.06","3.66","4.69","0.13",NA,NA,"1.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","V46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"359",NA,NA,NA,NA,"59.1",NA,NA,NA,"17.53",NA,"3.86","2.11","0.55",NA,NA,"4.61",NA,"5.11",NA,"0.78",NA,NA,NA,"27.03",NA,"0.32",NA,NA,"14.9","23.9",NA,NA,"28.68",NA,"6.62",NA,"292",NA,NA,NA,NA,NA,"3.83",NA,"4.97",NA,"99.4","3.07","0.66",NA,"17.25",NA,"0.33","4.85",NA,NA,"22.5","2.1",NA,"180"
"51","V47",NA,"0.28","14.3","2.41",NA,"0.059",NA,NA,"3.6","4.7",NA,NA,"0.053",NA,NA,NA,NA,NA,NA,"348",NA,NA,NA,NA,NA,NA,"2.4","196","17.7",NA,"4.2",NA,"0.6",NA,NA,NA,NA,"5.05",NA,NA,NA,NA,NA,"30.2",NA,"0.39",NA,NA,NA,"31.1",NA,NA,NA,NA,NA,NA,"270",NA,NA,NA,NA,NA,"4.3",NA,"6.15",NA,NA,"2.7","0.81",NA,"20.4",NA,NA,"6",NA,NA,NA,"2.55",NA,NA
"52","V48","72.733","0.307","13.967","2.437",NA,"0.06","0.383","1.18","3.572","4.717","0.127",NA,NA,"0.633",NA,NA,"1.883",NA,NA,"361.92","8.667","0.93",NA,"0.07","65.93",NA,"2.6","192.33","17.13","7.833","4.05","2.077","0.577",NA,"23.2","6.423",NA,"4.94",NA,"0.981",NA,NA,NA,"30.23","129.73","0.375","2.7",NA,"13.33","28.87","5.767",NA,"25.93",NA,"5.887",NA,"289",NA,NA,NA,NA,"0.204","4.183",NA,"6.22","11.7","120.33","2.813","0.803",NA,"19.73","1.763","0.421","5.863","13.27",NA,"26.83","2.58","49.32","177.33"
"53","V49","72.59","0.3","14.48","2.41",NA,"0.0587","0.42","1.16","3.61","4.76","0.145",NA,NA,"0.54",NA,NA,"2",NA,NA,"343","9","0.93",NA,NA,"60.6",NA,"3","213","15.78","14","4.6","2.3","0.6",NA,"22.4","4.6","1.5","4.6",NA,"0.9",NA,"0.06",NA,"29.2","125.9","0.34","3.1",NA,"17","22.9","6",NA,"21",NA,"6.89",NA,"270",NA,NA,NA,"64","0.16","5",NA,"4.9","14","129","2.69","0.77",NA,"18.3","1.56","0.4","5.2","16","0.5","23.2","2.3","45","187"
