"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","La","Li","Lu","Mo","N","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"43","D40","37.15","3.84","9.95","13.12",NA,"0.2","14.02","12.82","3.47","1.23","0.88",NA,NA,"1.66",NA,NA,"2",NA,"835",NA,NA,NA,NA,"108",NA,"62","401",NA,"54",NA,NA,NA,NA,"20",NA,NA,"6",NA,NA,NA,NA,"192",NA,NA,"1",NA,"81","53","288","14",NA,"36",NA,NA,"19",NA,"9",NA,"1166",NA,NA,NA,"11",NA,NA,"6.7","310",NA,"30",NA,"111","291"
"44","D41",NA,"3.92","9.367",NA,NA,"0.176","14.92","12.34","3.329","1.256",NA,NA,NA,NA,NA,NA,NA,NA,"799.2",NA,NA,NA,NA,"130.98",NA,"65.95","467.4","0.568","51.52","6.59","2.55","4.04",NA,"20.55","12.65",NA,"7.23",NA,"0.979",NA,NA,"66.02","16.5","0.25",NA,NA,"92.67","64.16","329.05","2.616","15.45","29.98",NA,NA,"21.97",NA,"12.26",NA,"1211.14","4.66","1.44",NA,"7.396",NA,NA,"2.24","312.35",NA,"29.95","1.896","110.05","304.17"
"45","D42","34.7","3.58","7.69","12.63",NA,"0.188","10.1","12.38","2.26","1.31","0.919",NA,NA,NA,NA,NA,NA,NA,"789.9",NA,NA,NA,"2.4","121.1",NA,NA,"348","4.3","53.7",NA,NA,NA,NA,"18.4",NA,NA,NA,NA,NA,NA,NA,"56.6",NA,NA,NA,NA,"78.6","20.1","302.1","4.7",NA,"29.2","30.2",NA,NA,NA,"15.8","4.2","1067",NA,NA,NA,"9.1",NA,NA,NA,"344.2",NA,"27.9",NA,"99.4","279.7"
"46","D43","37.99","4.28","10.18","13.43",NA,"0.2","14.02","12.64","3.46","1.3",NA,NA,NA,"1.93",NA,NA,NA,"60","731",NA,NA,NA,NA,NA,NA,"106","448",NA,"48",NA,NA,NA,"820",NA,NA,NA,"2",NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,"308",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1214",NA,NA,NA,NA,NA,NA,NA,NA,NA,"40",NA,"131","220"
"47","D44","35.09","3.80565","12.22524","13.4833058333333",NA,"0.184175333333333","12.0927866666667","13.5648333333333","4.54454","1.32797","1.15959566666667","0.282067555179559",NA,"1.73255073898591",NA,NA,NA,NA,"695.682383333333",NA,NA,NA,NA,"82.6722",NA,"72.0773333333333","464.427083333333",NA,"57.9655833333333",NA,NA,NA,NA,"20.44005",NA,NA,NA,NA,NA,NA,NA,"42.1238666666667",NA,NA,NA,NA,"83.00695","38.7128","314.52655",NA,NA,"30.3968833333333","127.033333333333",NA,"27.5552",NA,NA,NA,"1174.22533333333",NA,NA,NA,NA,NA,NA,NA,"315.713",NA,"32.4839833333333",NA,"116.097316666667","297.132042343333"
"48","D45","37.8","3.96","10.1","13.2",NA,"0.2","14.2","13.2","3.32","1.32","0.918",NA,NA,"2.1",NA,NA,NA,NA,"661",NA,NA,NA,NA,NA,NA,"82","394",NA,"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"269",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1087",NA,NA,NA,NA,NA,NA,NA,"261",NA,NA,NA,"107",NA
"49","D46","35.5","3.84","9.56","13.3",NA,"0.206","14.2","12.6","3.37","1.17","0.98",NA,NA,"4.67",NA,NA,"5.7",NA,"739",NA,NA,NA,"0.33","116",NA,"66.7","462","0.66","94","6.29","2.68","3.49",NA,NA,"10.7",NA,"6.39",NA,"1.04",NA,NA,"56.9",NA,"0.21","1.4",NA,"75.9","57.1","356","7.9","13.6","26.9",NA,"0.3","29",NA,"11.2","3.6","1220","552","1.36",NA,"6.5",NA,"0.29","1.99","285","1.3","28","1.67","136","266"
"50","D47","37.5245722","3.6064746","9.7341747","12.3173172",NA,"0.11","14.25177032","13.25858526","3.5745576","1.2685248","0.8584076",NA,NA,"2.12",NA,NA,NA,NA,NA,NA,NA,NA,"7.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57.696631370583",NA,NA,NA,NA,NA,NA,NA,"34.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","D47.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,"1004",NA,"5",NA,NA,NA,NA,"163","673.5",NA,"66",NA,NA,NA,NA,"22.5",NA,"2","10.5",NA,NA,NA,NA,"73.5",NA,NA,"9.5",NA,"102","72.5","395.5",NA,NA,"40.5",NA,NA,"41.5",NA,"13",NA,"1437.5","10.5",NA,NA,"11",NA,NA,"9","413","4.5","38.5",NA,"161","392"
"52","D48","37.6","3.96","10.12","13.01",NA,NA,"14.19","12.91","3.3","1.25","0.93",NA,NA,"2.1",NA,"0.34",NA,NA,NA,NA,NA,NA,NA,"128.5",NA,"55.5","410","0.55","56","6.84","2.65","3.68",NA,"20.8","9.8","0.23",NA,NA,"1.14",NA,"0.088","66.7",NA,"0.25","0.82",NA,"90.2","61.1","278",NA,"15.25","35",NA,NA,"18.3",NA,"12.55","2.3","1225","5.55","1.35",NA,"7.28",NA,"0.32","2.3","272",NA,"30.6","1.73","123","295"
