"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pd","Pr","Rb","Re","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"48","P53","74.3","0.3","12.4","2.87","*","0.057","0.485","1.11","4.48","2.11","0.058","*","*","0.744","*","*","*","*","351","*","*","*","*","0.04","*","59","*","*","62.4","*","7.8","*","*","*","*","14.2","*","*","7.8","*","*","*","*","23","*","*","*","12.4","35","*","*","*","*","52.7","*","*","*","6.2","*","*","*","67.8","*","*","*","3.9","*","*","*","10.8","*","76.8","5.4","48","251"
"49","P54","74.5","0.31","12.51","3.09","*","0.06","0.44","1.18","4.28","2.1","0.04","*","*","0.93","*","58","*","11","499","*","*","*","*","*","*","*","*","45","124","*","67","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","22","30","*","*","72","*","*","*","*","*","*","*","*","*","43","85","*","*","*","*","*","*","*","*","*","65","*","*","*"
"50","P55","75.01","0.301","12.55","2.94","2.25","0.06","0.36","1.14","4.87","2.18","0.053","*","*","0.77","*","*","*","*","363","*","*","*","*","*","*","68","*","*","65","0.66","12","11","7.32","1.33","*","15","9.64","*","8.09","*","2.53","*","*","29.1","*","1.14","4.31","14.8","36.4","*","4.55","*","8.32","54.3","*","*","*","6.15","*","8.97","*","74.3","1.02","7.75","*","5.63","*","1.16","1.37","14","0.3","72.7","7.75","50","239"
"51","P55.1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","6","*","*","*","*","*","*","343","*","*","*","*","*","*","*","*","*","*","*","*","*","*","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"52","P56","68.6","0.242","13.1","2.72","*","0.536","*","0.98","2.59","2.04","*","*","*","*","*","*","*","*","371","*","*","*","*","*","0.9","53.7","*","*","148","*","45.7","*","*","*","*","12","70.2","*","*","*","*","0.8","*","21.1","*","*","2.5","10","32.2","10.2","12.1","*","5.6","52.9","*","*","*","*","*","*","*","71","*","*","*","4.48","*","*","*","*","*","67.6","*","56","256"
"53","P57","75.17","0.309","12.72","2.94","*","*","*","*","1.88","0.17","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"54","P57.1","*","*","*","*","*","0.06","0.441","1.227","*","*","0.059","*","*","0.71","0.44","2.7","*","*","366","1.46","0.146","0.349","*","*","0.297","59.08","*","2.8","66","0.583","14.6","11.75","7.81","1.31","500","14","10.16","1.54","7.99","*","2.49","*","*","25.79","*","1.18","4.55","11.53","34.56","9","4.7","*","7.87","51","0.0024","*","0.183","6.5","*","8.89","4.49","74","0.93","1.75","*","5.07","0.17","1.16","1.3","9.56","0.85","77","7.802","50","262"
"55","P58","74.69","0.34","12.414","3.034","2.141","0.05","0.57","1.351","4.603","2.297","0.0505","0.6805","*","0.485","*","*","*","*","*","*","*","*","308","335","*","*","*","*","*","*","*","*","*","*","595","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","67.6","*","*","*","*","*","*","*","*","*","*","*","*","*"
"56","P59","*","0.31","12.54","2.93","*","0.06","0.35","1.17","4.63","2.2","0.05","*","*","0.88","*","1","*","*","*","*","*","*","*","*","*","*","*","4","63","*","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","3","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","4","12","*","*","*","50","*"
"57","P59.1","74.35","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","300","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
