"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"11","F109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","F10","73.84","0.23","11.22","3.91",NA,"0.092","0.02","0.22","3.74","4.51","0.011",NA,NA,"1.94",NA,NA,"3",NA,NA,"48",NA,NA,NA,NA,"239",NA,"7","15",NA,NA,NA,NA,NA,NA,"32",NA,NA,"22",NA,NA,NA,NA,NA,"103",NA,NA,NA,NA,"77",NA,NA,NA,"34",NA,NA,NA,"168",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","4",NA,NA,"28",NA,NA,"6",NA,NA,"105",NA,"137","952"
"13","F11","76.09","0.23","11.39","3.84",NA,"0.095",NA,"0.238","3.82","4.49","0.1",NA,NA,"1.76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",NA,NA,NA,"33",NA,NA,NA,"166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,"117",NA,"141","905"
"14","F111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA
"15","F12","71.458","0.22","10.682","3.81",NA,"0.084","0.021","0.25","3.563","4.471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.99",NA,NA,NA,"196.5",NA,NA,"18.9",NA,"3.2","20.28","12.41","1.21",NA,"32.63","17.48",NA,"23.05",NA,"4.54",NA,NA,NA,"90.5",NA,"1.68",NA,NA,"75.03","87",NA,NA,NA,NA,"22.91",NA,"183.1",NA,NA,NA,NA,NA,NA,NA,"18.82",NA,"8.64","5.79","3.13",NA,"22.23",NA,NA,"5.08",NA,NA,"125.7","11.9","181.5","944.8"
"16","F13","74.27","0.22","11.27","3.81","3.4","0.092","0.021","0.2","3.67","4.5","0.004","0.17","1.91","1.93",NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,"1",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"3",NA,"35",NA,NA,NA,"176",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162",NA
"17","F15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.7",NA,NA,NA,NA,"198",NA,NA,NA,"0.669",NA,"19.9","12","1.18",NA,NA,"18.6",NA,NA,NA,"4.07",NA,NA,NA,"92.1",NA,"1.68",NA,NA,NA,"86.6",NA,NA,NA,NA,"24.1",NA,"174",NA,NA,NA,NA,NA,NA,NA,"18.3",NA,"11.2",NA,"3.15",NA,"22.9",NA,"1.82","5.48",NA,NA,"110","11.6",NA,NA
"18","F115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1047"
"19","F16",NA,NA,NA,"3.89",NA,NA,NA,NA,"3.76","1.94",NA,NA,NA,NA,NA,NA,"3.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.1","35.2","0.6",NA,NA,NA,"0.77",NA,NA,NA,NA,"24.6",NA,NA,NA,NA,NA,"99.2",NA,"1.75",NA,NA,NA,"91.8",NA,NA,NA,NA,NA,NA,"178",NA,NA,NA,NA,"0.34","0.52","12.6","19.27",NA,NA,"6.5","3.32",NA,"25.46",NA,NA,"5.76",NA,NA,NA,"12.42",NA,"1157"
"20","F17","77.01",NA,"11.77","3.68",NA,"0.092",NA,"0.26","4.15","4.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"795"
"21","F18","74.2","0.226","11.18","3.85",NA,"0.086","0.017","0.189","3.86","4.3","0.005","0.09","1.9","1.69",NA,NA,NA,"0.002",NA,"23.7","10.2",NA,NA,NA,"170","149",NA,"14.5","0.58",NA,"17.7","10.4","1.02",NA,"31","15.8","1.84","19.2",NA,"3.5",NA,NA,NA,"86.12",NA,"1.37","1.95",NA,"67.8","72.4",NA,NA,"38",NA,"20.9",NA,"149",NA,NA,NA,NA,"0.3","0.85",NA,"16","9.44","9.92","4.46","2.77",NA,"19.7",NA,"1.54","4.86","0.87",NA,"103","10.1","156","881"
"22","F19","73.65","0.229","11.157","3.868","3.31","0.0914","0.027","0.202","3.7","4.56","0.118",NA,NA,"1.75",NA,NA,NA,NA,NA,"23.5",NA,NA,NA,NA,"223.7",NA,NA,"28.1",NA,"4.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"125.2",NA,NA,NA,NA,"80.8",NA,"4.2",NA,"32.6",NA,NA,NA,"174.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"111.7",NA,"144","976.3"
"23","F20","74.818","0.231","11.045","3.886",NA,"0.0901","0.017","0.212","3.695","4.601","0.0103",NA,NA,"1.735",NA,NA,"2.52",NA,NA,"29.1",NA,NA,NA,NA,NA,NA,"3.65","11.15",NA,"1.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.72",NA,"79.45",NA,"1.23",NA,"32.57",NA,NA,NA,"168.34",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.69",NA,NA,NA,"21.43",NA,NA,NA,"3.49",NA,"113.55",NA,"140.31","906.4"
"24","F21",NA,NA,NA,"3.66",NA,NA,NA,NA,"3.48",NA,NA,NA,NA,NA,NA,"0.02","3","0.0004",NA,"31.7",NA,NA,"0.72",NA,"194",NA,"0.33","15","0.61",NA,NA,NA,"1.14",NA,NA,NA,NA,"23.4",NA,NA,NA,NA,NA,"86.3",NA,NA,"2.3",NA,NA,"88","0.9",NA,NA,NA,NA,NA,"160",NA,NA,NA,NA,"0.35","0.75",NA,"18.1",NA,"9","6.03","2.76",NA,"22.1",NA,NA,"5.33",NA,"1.1",NA,"11.7","132","918"
"25","F22","73.97","0.22","11.04","3.74","3.34","0.1","0.06","0.2","3.76","4.6","0.02",NA,NA,"1.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","F122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"149",NA,NA,NA,NA,NA,NA,NA,NA,NA,"44",NA,NA,NA,NA,NA,NA,NA,"21",NA,NA,NA,"150",NA
"27","F23","75.3","0.23","11.6","4.06",NA,"0.1","0.05","0.09","3.81","4.48","0.11",NA,NA,"2.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","F24","73.4","0.22","11.2","3.72","3.22","0.09",NA,"0.09","3.73","4.51",NA,NA,NA,"1.82",NA,NA,"3.3",NA,NA,NA,"10",NA,NA,NA,"180",NA,NA,NA,"0.5","18","13",NA,NA,NA,"33",NA,NA,"21",NA,"5.6",NA,NA,NA,"98","2","1.7","2",NA,"77","59","3",NA,"59",NA,"23",NA,"181",NA,NA,NA,NA,"0.3","0.5",NA,"20",NA,"15",NA,"0.8",NA,"22",NA,"1.4","4.9","9",NA,"118","13","156","895"
"29","F25","73.97","0.22","10.92","3.89",NA,"0.09","0.03","0.26","3.59","4.37",NA,NA,NA,"1.87",NA,NA,NA,NA,NA,"30.5",NA,NA,NA,NA,"228",NA,NA,NA,"0.7",NA,"20.5","12.7","1.5",NA,"34","20.7",NA,"24",NA,"4.2",NA,NA,NA,"105.5",NA,"1.8",NA,NA,"79","86",NA,NA,"30",NA,"22.7",NA,"177.5",NA,NA,NA,NA,NA,NA,NA,"19.2","6","14.8","6","3.4",NA,"22",NA,"1.9","5",NA,NA,"114","12.5","140","873"
"30","F26","74.86","0.22","10.97","3.77",NA,"0.09",NA,"0.25","3.35","4.52",NA,NA,NA,"1.8",NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"83",NA,NA,NA,"35",NA,NA,NA,"173",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,"23",NA,NA,"6","5","7","117",NA,"139","994"
"31","F126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,"116",NA,NA,NA,NA,NA,"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","F27","74","0.222","11.04","3.84",NA,"0.09","0.03","0.194","3.68","4.561","0.013",NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78.6",NA,NA,NA,"36",NA,NA,NA,"175",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"115",NA,"157","910"
"33","F28","74.45","0.219","11.12","3.84",NA,"0.09","0.05","0.19","3.54","4.56","0.005","0.12",NA,"1.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.3","15",NA,"2.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"84",NA,NA,NA,"34",NA,NA,NA,"172",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.6",NA,NA,NA,"22",NA,NA,"6.2",NA,NA,"116",NA,"141","1001"
"34","F29","74.31","0.23","10.95","3.87","3.21","0.095","0.03","0.23","3.66","4.59","0.02",NA,NA,"1.82",NA,NA,NA,NA,NA,"50",NA,NA,NA,NA,"201",NA,NA,"20",NA,NA,NA,NA,NA,NA,"31",NA,NA,NA,NA,NA,NA,NA,NA,"93",NA,NA,NA,NA,"75","87",NA,NA,"34",NA,NA,NA,"175",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,"17",NA,NA,"5","7",NA,"121",NA,"156","972"
"35","F30","74.55","0.21","10.6","4.21",NA,"0.1","0.03","0.18","3.66","4.56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"176",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,"3",NA,"119",NA,"147","1051"
"36","F31","71.02",NA,"11.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","F131",NA,"0.242",NA,"3",NA,"0.077","0.56",NA,"4.04","1.38",NA,NA,NA,NA,NA,NA,NA,NA,NA,"81.9",NA,NA,NA,NA,"189.8",NA,"10.08","6.53","0.66","18.8","15.69","11.66","1.01",NA,"13.35","15.5",NA,"113.34",NA,"3.57",NA,NA,NA,"82.3",NA,"1.17",NA,NA,"70.8","86.04","9.41",NA,"37.26",NA,"23.72",NA,"176.08",NA,NA,NA,NA,NA,NA,NA,"18.43",NA,"11.63","1.57","2.79",NA,NA,NA,"2.79",NA,"24.05",NA,"105.3","11.05","169.5",NA
"38","F32","74.7","0.22","11.2","3.83",NA,"0.095","0.08","0.23","3.7","4.72",NA,NA,NA,"1.83",NA,NA,NA,NA,NA,"39",NA,NA,NA,NA,"208",NA,NA,"22",NA,NA,NA,NA,NA,NA,"31",NA,NA,"19",NA,NA,NA,NA,NA,"90",NA,NA,NA,NA,"70","88",NA,NA,"29",NA,"18",NA,"168",NA,NA,NA,NA,NA,NA,NA,"19","16","17",NA,NA,NA,"31",NA,NA,"9",NA,NA,"113",NA,"160","890"
"39","F132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","F33","73.23","0.23","11.19","4.2","3.14","0.09","0.02","0.2","3.53","4.47",NA,"0.14","1.94","1.79",NA,"0.04","3.66",NA,"7.8","28.2","11.9","0.2",NA,"0.51","209","99","0.32","21.9","0.9",NA,"18.7","11","1.19","1100","38.1","18.1","1.39","22.8","0.005","3.89",NA,"0.17",NA,"100","1.5","1.59","1.57",NA,"82.2","89.3",NA,NA,"36.5",NA,"23.6",NA,"195",NA,NA,NA,NA,"0.31",NA,NA,"18.6","13","11","6.35","2.85",NA,"22.4",NA,"1.76","5.55",NA,"1.26","113","10.7","166","858"
"41","F34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"191.2",NA,NA,NA,NA,NA,NA,NA,"1.131",NA,NA,NA,NA,NA,NA,"4.371",NA,NA,NA,"93.83",NA,"1.731",NA,NA,NA,"87.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.22",NA,NA,NA,"2.881",NA,NA,NA,NA,NA,NA,NA,NA,"11.57",NA,NA
"42","F134",NA,NA,NA,"3.675",NA,NA,NA,NA,"3.729",NA,NA,NA,NA,NA,NA,NA,"2.872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.51",NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.57",NA,NA,NA,NA,NA,NA,NA,NA,"5.65",NA,NA,NA,NA,NA,NA,NA,NA,NA,"173.1",NA,NA,NA,NA,"0.279","0.428",NA,NA,NA,NA,"5.773",NA,NA,"21.96",NA,NA,"5.333",NA,NA,NA,NA,"157.5","1017.2"
"43","F35","73.91","0.2095","11.2","3.725",NA,"0.0955","0.025","0.2","3.69","4.53","0.003",NA,NA,"1.83803498159735",NA,NA,NA,NA,NA,"43",NA,NA,NA,NA,"172",NA,NA,"9.5",NA,NA,NA,NA,NA,NA,"33",NA,NA,NA,NA,NA,NA,NA,NA,"92.5",NA,NA,NA,NA,"71.5",NA,NA,NA,"41.5",NA,NA,NA,"174",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,"4",NA,"107",NA,"150.5","920"
"44","F135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","F36","74.3","0.22","11.1","3.95","3.3","0.094","0.024","0.21","3.75","4.55",NA,NA,"1.9","1.77",NA,NA,"1.4",NA,NA,"28","11.1","0.15",NA,"0.2","205",NA,"0.2","21","0.69","3","20.7","12","1.3","1000","33","17.5","1.5","23.5",NA,"4.3",NA,"0.15",NA,"98","1.4","1.7","1.6",NA,"90.5","88",NA,NA,"38",NA,"24.5",NA,"178",NA,NA,NA,NA,"0.26",NA,NA,"19.5","12","11.5","7","3.1",NA,"24.5","0.74","1.9","6",NA,"1","115","11.5","155","910"
"46","F37","74.7","0.23","11.1","3.81",NA,"0.092","0.065","0.23","3.61","4.52",NA,NA,NA,"1.81",NA,NA,NA,NA,NA,"27","10.3",NA,NA,"0.89","219","100","0.29","22",NA,"3.1","17","10","1.24","1500","34","22","1.5","21",NA,"3.61",NA,NA,NA,"104","1.72","1.59","2.2",NA,"67","99","1.6",NA,"41",NA,"26",NA,"181",NA,NA,NA,"41","0.28","0.37",NA,"19.9","6.3","10.7","4.8","2.8","0.17","25","0.66","1.62","5.7","8.9","1.4","85","10.6","142","959"
"47","F38",NA,"0.23",NA,NA,NA,"0.09","0.03",NA,NA,NA,"0.02",NA,NA,NA,NA,NA,NA,NA,NA,"42.5",NA,NA,NA,"0.6","187.167",NA,"0.44","20","0.653",NA,"18.998","11.238","1.188",NA,"31.74","18.285",NA,NA,NA,"3.962",NA,NA,NA,"95.587",NA,"1.578","2",NA,"64.04","88.235",NA,NA,"40.75",NA,"22.6",NA,"169.25",NA,NA,NA,NA,NA,NA,NA,"18.222","10.7","11.22","5.76","2.971",NA,"23.03",NA,"1.689","5.39",NA,"1.03","117.5","10.692","142","920.4"
"48","F39","74.12","0.227","10.99","3.86","3.38","0.091","0.02","0.2","3.72","4.52","0.014","0.22","1.9","1.81",NA,NA,NA,NA,NA,"27.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","F139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.1",NA,NA,NA,"186.4",NA,"2.4","15.7",NA,"3","20.9","12","1.4",NA,"30","18.7",NA,NA,NA,"4",NA,NA,NA,"90.8","1","1.71",NA,NA,"80","88.5",NA,NA,"45",NA,"26.7",NA,"172",NA,NA,NA,"98",NA,"0.47",NA,"18.5",NA,"12",NA,"3.4",NA,"17",NA,"1.8","8","1.3",NA,"106.8","11.6","149","964"
