"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","N","Nb","Nd","Ni","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"29","C25","73.39","0.209","13.15","2.82",NA,"0.05","0.13","1.05","3.65","5.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"156",NA,NA,NA,NA,NA,NA,NA,NA,NA,"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","C25.1",NA,NA,NA,NA,"2.39",NA,NA,NA,NA,NA,"0.029",NA,NA,"0.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","C26","73.8","0.19","12.9","2.74",NA,"0.016","0.1","1.08","3.66","5.2","0.03",NA,NA,"0.29",NA,NA,"1.1",NA,NA,"540",NA,NA,NA,NA,NA,NA,NA,NA,"4.4","3.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.1",NA,NA,NA,NA,"27.7",NA,NA,NA,NA,NA,NA,NA,NA,"1.9",NA,"1.4",NA,"11.1","91.7",NA,NA,NA,"20.7",NA,NA,"2.6",NA,"1.2",NA,NA,"49.4",NA
"32","C27","71.45","0.22","14.42","2.75",NA,"0.65","0.12","1.17","3.9","5.37","0.03",NA,NA,NA,NA,NA,NA,NA,NA,"431",NA,NA,NA,NA,NA,NA,NA,"12",NA,"4",NA,NA,NA,NA,"26",NA,NA,NA,NA,NA,NA,"65",NA,NA,NA,NA,"55",NA,"9","32",NA,NA,NA,"148",NA,NA,NA,NA,NA,NA,NA,NA,"23","88",NA,NA,NA,"20",NA,NA,NA,"8",NA,NA,NA,"40","369"
"33","C28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"121",NA,NA,NA,NA,NA,"9.8","5.4","1.55",NA,NA,"10.3",NA,NA,NA,NA,NA,"61.5",NA,NA,NA,NA,NA,"54",NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,"4.1",NA,"10.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.4","68.8",NA
"34","C28.1","75.33","0.2","13.43","2.88","1.26","0.049","0.09","1.17","3.67","4.95","0.033",NA,"0.08","0.26",NA,NA,"1.13",NA,NA,"576","4","8",NA,NA,NA,NA,NA,NA,NA,"3.4",NA,NA,NA,"933","21",NA,NA,"7",NA,"1.9",NA,NA,"33","0.65","1.1",NA,"49",NA,NA,"21",NA,NA,NA,"155",NA,NA,NA,NA,NA,NA,NA,NA,"13","82.4","116","1.6",NA,"24",NA,"0.7",NA,"4",NA,"49",NA,NA,"274"
"35","C29","73.5","0.206","13.2","2.82",NA,"0.051","0.165","0.96","3.7","5.14","0.035",NA,NA,"0.2",NA,NA,"1.5",NA,NA,"571",NA,NA,NA,NA,"137",NA,"2.6","12.5","6","4.5","4.5",NA,NA,NA,"26","14",NA,"8",NA,NA,NA,"77","31",NA,"6.1",NA,"48","65","8.3","25",NA,NA,NA,"158",NA,NA,NA,NA,NA,NA,NA,NA,NA,"93",NA,NA,NA,"25",NA,NA,"3.4","7.2","6","58",NA,"73","295"
"36","C30","72.7","0.195","13.4","2.7",NA,"0.05","0.11","1.15","3.61","5.08","0.03",NA,NA,"0.24",NA,NA,NA,NA,NA,"542","4.5",NA,NA,NA,"135",NA,"1.6","8","3.8","7","10","5.1","1.72",NA,NA,"10.2",NA,"9",NA,"1.98",NA,"63.7",NA,"0.7","1.6",NA,"48","58.4","6","21",NA,"15.5",NA,"156",NA,NA,NA,NA,"1.5","4.3",NA,"11.8","21.5","87","97","1.68",NA,"24.5",NA,"0.85","2.9","5","1","52.3","4.8","66","311"
"37","C31","73.32","0.2","13.04","2.85",NA,"0.05","0.08","1.1","3.56","5.18","0.03",NA,NA,"0.29",NA,NA,NA,NA,NA,"408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43",NA,NA,NA,NA,NA,NA,"134",NA,NA,NA,NA,NA,NA,NA,NA,"20","75","95",NA,NA,NA,NA,NA,NA,NA,NA,"45",NA,NA,"217"
"38","C32","72.95","0.2","13.13","2.83",NA,"0.05","0.2","1.07","3.63","5.16","0.04",NA,NA,"0.22",NA,NA,NA,NA,NA,"535",NA,NA,NA,NA,"130",NA,NA,NA,NA,NA,"8.84","4.92","1.56",NA,NA,"11.1",NA,NA,NA,"1.78",NA,"55",NA,"0.63",NA,NA,NA,"51.3",NA,NA,NA,"13.8",NA,"150",NA,NA,NA,NA,NA,"4",NA,"10.9",NA,"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","4.46",NA,"310"
