Laboratory,SiO2,TiO2,Al2O3,Fe2O3T,Fe(II)O,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,CO2,LOI,Ag,As,Au,B,Ba,Be,Bi,Br,C(org),C(tot),Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Ga,Gd,Ge,Hf,Hg,Ho,I,In,Ir,La,Li,Lu,Mo,N,Nb,Nd,Ni,Os,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Sm,Sn,Sr,Ta,Tb,Te,Th,Tl,Tm,U,V,W,Y,Yb,Zn,Zr
K28,58.11,1.062,19.57,4.81,NA,0.14,1.13,3.74,6.7,3.79,0.594,NA,NA,0.36,NA,NA,NA,NA,1310,NA,NA,NA,NA,NA,NA,185.99,NA,NA,130,0.61,8,6.61,3.21,5.15,NA,24,7.79,NA,11.98,NA,1.23,NA,NA,NA,100.34,NA,0.45,NA,NA,105.26,70.52,7,NA,6.24,NA,20.45,NA,63.9,NA,NA,NA,NA,NA,6.2,NA,11.07,NA,1115,6.16,1.18,NA,12.11,NA,0.46,3.17,32,NA,30.5,2.94,84,526
K29,57.68,1.11,19.5,4.708,NA,0.135,1.156,3.734,6.651,3.815,NA,NA,NA,0.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K31,56.43,1.06,19.27,4.78,NA,0.15,1.12,3.65,6.37,3.76,0.6,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K32.1,56.8,1.07,19.35,4.59,NA,0.15,1.05,3.75,6.46,3.73,0.58,NA,NA,0.43,NA,NA,NA,NA,1257,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,1035,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,488
K33,57.82,1.07,19.4,4.68,NA,0.14,1.13,3.89,6.85,3.74,0.59,NA,0.19,0.6,NA,NA,NA,NA,1311.41,NA,NA,NA,NA,524.7,NA,185.75,NA,5.29,119.96,1,7.19,5.97,3.06,4.57,NA,24.68,7.11,NA,11.48,NA,1.07,NA,NA,NA,97.33,NA,0.41,4.9,NA,106.33,67.43,8.68,NA,NA,NA,19.83,NA,66.11,NA,NA,NA,141.7,0.99,6.44,NA,10.54,NA,1088.58,5.45,1.01,NA,11.72,NA,0.41,3.06,28.01,NA,28.79,2.73,77.11,477.75
K34,57.265,1.033,19.399,4.775,NA,0.155,1.023,3.625,6.405,3.801,0.584,NA,NA,0.497,NA,NA,NA,NA,1320,NA,NA,NA,NA,NA,NA,172,NA,11,90,NA,NA,NA,NA,NA,NA,26,NA,NA,7,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,138,62,NA,NA,11,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,2,1140,NA,NA,NA,11,NA,NA,4,68,NA,37,NA,68,496
K35,57.6,1.08,19.59,4.81,NA,0.143,1.13,3.73,6.74,3.77,0.59,NA,NA,0.41,NA,NA,NA,NA,1383,NA,NA,NA,628,390,NA,164,NA,NA,128,NA,NA,NA,NA,NA,NA,27,NA,NA,12,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,100,59,NA,NA,NA,NA,15,NA,55,NA,NA,NA,NA,NA,NA,NA,11,NA,1131,NA,NA,NA,NA,NA,NA,NA,20,NA,30,NA,65,512
K36,58.66,1.102,19.78,4.81,NA,0.138,1.137,3.904,6.803,3.806,0.584,NA,NA,NA,0.098,1.963,NA,NA,1364,4.65,NA,NA,NA,NA,0.058,187.9,NA,5.15,136.6,0.629,5.041,5.964,2.945,4.77,NA,26.87,8.404,1.958,11.76,NA,1.046,NA,NA,NA,102.1,15.97,0.434,5.278,NA,101,69.07,2.924,NA,6.273,NA,20.7,NA,68.72,NA,NA,NA,NA,0.213,9.733,2.414,10.44,2.078,1094,6.351,1.103,NA,12.09,NA,0.427,3.054,28.84,2.778,29.18,2.95,84.17,450.8
K38,56.9,1.15,19.3,4.82,NA,0.15,NA,NA,7.53,2.8,NA,NA,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,NA,NA,NA,NA,6.15,3.11,5.18,NA,NA,8.76,NA,NA,NA,1.11,NA,NA,NA,101.2,NA,0.515,NA,NA,NA,71.5,NA,NA,NA,NA,19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,NA,NA,NA,1.38,NA,13.15,NA,0.51,3.85,NA,NA,28.7,2.97,NA,NA
