"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2T","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pd","Pr","Pt","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"11","E9","61.5","0.88","17","6.1","3.75","0.095","3.18","6.1","4.1","1.28","0.17",NA,"0.109932","-0.05",NA,NA,"0.5",NA,NA,"306","1.1",NA,NA,NA,"36",NA,"20","34","0.23","27","2.96","1.46","1.17","280","20","3.3","1","3.9",NA,"0.51","0.03","16.9","11.8","0.198","0.9","10.4","17.7","34","9",NA,"4.29",NA,"19.5",NA,"0.85","14",NA,"3.7","1.6","550","0.65","0.47",NA,"2.46","0.07","0.2","0.81","114","0.3","15.2","1.31","73","136"
"12","E10","62.03","0.8","26.84","5.42",NA,"0.09","2.09","5.72","4.56","1.28","0.16",NA,NA,NA,NA,NA,"1",NA,NA,"350",NA,NA,NA,NA,NA,NA,"13","42",NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","10",NA,NA,NA,NA,"100",NA,NA,NA,NA,NA,"490",NA,NA,NA,NA,NA,NA,NA,"130",NA,NA,NA,"67",NA
"13","E11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"316.7","1.26",NA,NA,NA,"33.7",NA,"18.8","48.2","0.26",NA,"2.89","1.44","1.08",NA,NA,"3.34",NA,"3.42",NA,"0.55",NA,"16.14",NA,"0.2","0.89","7.77","17.47","35.9","8.5",NA,"4.36",NA,"18.03",NA,NA,"14.64",NA,"3.58",NA,"536.8","0.57","0.52",NA,"2.42","0.13","0.21","0.75","117.2",NA,"15.93","1.34",NA,"131.9"
"14","E12","63.14","0.77","16.38","4.86",NA,"0.091","1.48","5.9","6.1","1.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26",NA,NA,NA,NA,NA,NA,"450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"176"
"15","E13","60.26","0.82","17.72","5.94",NA,"0.1","3.2","6","4.21","1.21","0.166",NA,NA,"-0.008",NA,NA,NA,NA,NA,"278",NA,NA,NA,NA,"35",NA,"17","32",NA,"28",NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,"0",NA,"28","18",NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,"297",NA,NA,NA,NA,NA,NA,NA,"100",NA,"18",NA,"68","138"
"16","E13.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","E14","60","0.835","17.8","6",NA,"0.096","3.19","6.05","4.26","1.25","0.17","0.285",NA,"-0.295",NA,NA,NA,NA,NA,"310",NA,NA,NA,NA,"33",NA,"19","33","0.2","23","2.65","1.35","1.1",NA,NA,"3",NA,"3.5",NA,"0.55",NA,"16.1",NA,"0.19","0.8","7","16.8","34","10",NA,"4.16",NA,"17.8",NA,"0.75","12.7",NA,"3.66","1.5","535","0.56","0.5",NA,"2.45",NA,"0.21","0.77","112","0.87","14.9","1.3","66","143"
"18","E15","60.6","0.86","17.3","6.15",NA,"0.09","3.2","6.1","4.1","1.22","0.18",NA,NA,"0.1",NA,NA,NA,NA,NA,"318","1.21","0.07",NA,"0.25","36","30","19","35",NA,"31","3.2","1.8","1.2","330","20","3.9",NA,"4.5",NA,"0.63",NA,"17","12","0.24","1.1","8.5","19","27","8.9",NA,"4.6",NA,"18",NA,"0.6","15",NA,"3.9","1.7","530","0.9","0.5",NA,"2.9","0.08","0.24","0.88","96","0.3","15","1.6","67","144"
"19","E16","60.45","0.86","17.66","6.13",NA,"0.095","3.14","6.02","4.18","1.23","0.171",NA,NA,"-0.13",NA,NA,NA,NA,NA,"308",NA,NA,NA,NA,"39",NA,"21","52",NA,"29",NA,NA,NA,NA,"22",NA,"1.1","2.8",NA,NA,NA,"17",NA,NA,"2.8","6","18","34",NA,NA,"4",NA,"22",NA,NA,"11",NA,"4",NA,"529","7",NA,"1.1","4.3","0.5",NA,NA,"109","8","13",NA,"67","140"
"20","E17","60.59","0.85","17.51","6.08","3.75","0.096","3.2","6.02","4.24","1.24","0.19",NA,NA,"-0.05",NA,NA,NA,NA,NA,"324",NA,NA,NA,NA,NA,NA,"23","41",NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,"17",NA,NA,NA,"9","24","33",NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,"556",NA,NA,NA,NA,NA,NA,NA,"108",NA,"15",NA,"70","152"
