"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pd","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"63","K68","57.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","K69","58.45","0.83","17.36","7.55",NA,"0.12","3.36","6.73","2.9","1.62","0.13",NA,NA,"0.75",NA,"0.078","2.65",NA,"734","0.21","0.05",NA,NA,NA,"0.08","20.2",NA,"15.6","11.9","2.68","20.2",NA,NA,NA,NA,"19",NA,"1.1",NA,NA,NA,NA,"0.038","8.8","23.8",NA,"0.798",NA,NA,"5.7","9.4",NA,"2.45","64.5",NA,"1.075","11.68","0.028",NA,"2.28","290",NA,NA,NA,"3.98","0.35",NA,"1.11","147","0.75","24.5",NA,"91.8","130"
"65","K70","58.71","0.83","17.4","7.5",NA,"0.114","3.22","6.73","2.96","1.63","0.134",NA,NA,"0.79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","K71","58.38","0.83","17.22","7.53",NA,"0.12","3.36","6.73","2.98","1.63","0.13",NA,NA,"0.85",NA,"0.09","2.8",NA,"710","0.76",NA,NA,NA,NA,"0.12","28",NA,"17.9","11","2.74","17.6","4.51","2.67","1.02",NA,"19.9","4.47",NA,"4",NA,"0.91",NA,"0.057","12.2","21.2","0.37","0.62","4.8","16.5","5.1","13.5",NA,"3.86","60.6",NA,NA,"18.6",NA,"4.2","2.2","313","0.35","0.73",NA,"3.66","0.39","0.38","1.32","158",NA,"24.1","2.52","89","146"
"67","K72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"761.7",NA,NA,NA,NA,NA,NA,"28.295",NA,NA,NA,"2.995",NA,"4.263","2.551","0.97",NA,NA,"4.316",NA,"5.942",NA,"0.901",NA,NA,"12.566","22.841","0.342","0.686","5.646","16.802",NA,"13.763",NA,"4.066",NA,NA,NA,NA,NA,"4.138",NA,"196.92","0.441","0.699",NA,"3.956","0.481","0.415","1.049",NA,NA,"21.69","2.324",NA,"192.782"
"68","K73",NA,"0.824",NA,NA,NA,"0.115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"721","0.9","0.082",NA,NA,NA,NA,"27.8",NA,"19.3","13.6","2.81","19.3","4.3","2.54","1.05",NA,"19.4","4.3",NA,"3.03",NA,"0.89",NA,NA,"12.2","22","0.37","0.83","5.17","16.6","5.42","13.7",NA,"3.81","60",NA,NA,"22.4",NA,"4.12","2.48","301","0.41","0.71",NA,"3.47","0.44","0.38","1.14","147",NA,"25.5","2.46","89.3","101.5"
"69","K74","57.963","0.893","17.842","7.702",NA,"0.121","3.384","6.635","3.064","1.713","0.135","1.1",NA,"0.71",NA,NA,NA,NA,"753.8","0.9",NA,NA,NA,"0.23",NA,"28",NA,"20.02","13.7","2.65","19.6","4.44","2.61","1.02",NA,"19.75","3.71",NA,"3.21",NA,"0.9",NA,NA,"12.8",NA,"0.37",NA,"4.89","17.1","6.8","13.56",NA,"3.9","62.13","0.13",NA,"22.4",NA,"4.17","2.33","290.71","0.35","0.58",NA,"3.5",NA,"0.39","1.39","150.4",NA,"23.11","2.48","89.8","109.75"
"70","K75","58.67","0.905","17.49","7.361","5.05","0.114","3.391","6.861","2.558","1.769","0.121",NA,NA,"0.721",NA,"0.06","1.235",NA,"788","1.263","0.064",NA,NA,"470","0.119","27.2",NA,"19.24","18.98","2.738","17.84","4.187","2.498","1.177",NA,"19.25","3.739","1.052","3.803",NA,"0.893",NA,"0.052","12.32","22.11","0.361","0.753","5.39","16.61","5.057","14.15",NA,"3.832","61.3",NA,"1.31","20.47","1.338","3.914","1.984","282.5","0.405","0.705",NA,"3.49","0.35","0.351","1.219","145","0.286","25.03","2.086","115.4","136.8"
"71","K76","57.5","0.836","18.28","7.66",NA,"0.115","3.38","6.45","3.06","1.61","0.133",NA,NA,NA,NA,NA,"4",NA,"676",NA,NA,"3",NA,NA,NA,NA,NA,"20",NA,NA,"21",NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,"6","12",NA,NA,"60",NA,NA,NA,NA,NA,"2","278",NA,NA,NA,"3",NA,NA,"2","138",NA,"21",NA,"93","133"
"72","K77",NA,"0.84",NA,NA,NA,"0.13","3.15","6.59","3.02","1.54","0.14",NA,NA,NA,NA,NA,NA,NA,"727.5",NA,NA,NA,NA,NA,NA,"23.6",NA,"17.1","11.5","2.44","16.7","3.67","2.22","0.82",NA,NA,"3.62",NA,NA,NA,"0.75",NA,NA,"10.6","20.2","0.3",NA,NA,"14.3","4.93","11.5",NA,"3.2",NA,NA,NA,NA,NA,"3.43",NA,"270.6",NA,"0.56",NA,NA,NA,"3.22","0.97","132",NA,"20.1","2","83.3",NA
"73","K78","58.7","0.829","17.3","7.55",NA,NA,"3.35","6.66","2.8","1.59",NA,NA,NA,"0.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.137",NA,"18.541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"286.554",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91.497",NA
"74","K79","58.7","0.827","17.48","7.55",NA,"0.114","3.35","6.7","2.99","1.65","0.129",NA,NA,"0.53",NA,NA,"12",NA,"793",NA,"4",NA,NA,NA,NA,"34",NA,"19","13",NA,"10",NA,NA,NA,NA,"18",NA,NA,"3",NA,NA,NA,NA,"18",NA,NA,NA,"5","19","6","15",NA,NA,"63",NA,NA,"22",NA,NA,NA,"300",NA,NA,NA,"5",NA,NA,NA,"149",NA,"25","3","90","126"
"75","K80","58.568","0.889","17.473","7.352",NA,"0.12","3.17","6.804","2.956","1.7","0.134",NA,NA,"0.832",NA,NA,NA,NA,NA,NA,NA,NA,NA,"431.543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96.093",NA,NA,NA,NA,NA,"305.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"144.7"
"76","K81","58.58","0.84","17.4","7.54","4.84","0.12","3.5","6.61","3.08","1.64","0.13","0.75","0.3","0.87",NA,"0.16","2.54",NA,"765","0.97","0.07",NA,"2300",NA,"0.11","26.8",NA,"20.2","13.7","3.06","18.8","4.02","2.4","1.07","360","19.2","4.59","1.38","3.88","0.0065","0.87",NA,"0.06","12.2","22.2","0.39","0.61","5.04","17.9","6.2","13.6",NA,"3.97","59.4","50","1.15","22.2","0.08","4.18","2.43","294","0.42","0.7","0.02","3.26","0.46","0.37","1.08","145","0.25","24.4","2.46","90.4","134"
"77","K82","58.312","0.897","16.834","7.62",NA,"0.109","3.245","6.555","2.963","1.797","0.136",NA,NA,"0.74",NA,NA,NA,NA,"726",NA,NA,NA,NA,NA,NA,NA,NA,"20","19",NA,"27",NA,NA,NA,"354","25",NA,NA,NA,NA,NA,NA,NA,NA,"22",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"352",NA,NA,NA,NA,NA,NA,NA,NA,NA,"21",NA,"58","63"
"78","K83","58.47","0.841","17.29","7.52",NA,"0.113","3.35","6.67","2.93","1.65","0.125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
