"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","N","Nb","Nd","Ni","Pb","Pd","Pr","Rb","Re","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"43","M51","45.68","1.413","19.9","13.08","*","0.163","4.51","12.56","1.85","0.17","0.046","*","*","0.3","*","*","*","*","82","*","*","*","*","*","*","*","*","34","*","*","91","*","*","*","*","21","*","*","*","*","*","*","*","*","*","*","*","*","*","12","13","*","*","5","*","*","*","39","*","*","*","407","*","*","*","*","*","*","*","623","*","10.5","*","88","27"
"44","M51.1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","5","*","*","*","*","*","*","*","*","*","*","*","*","8","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2","*","*","*","*","*","*","*","1276","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"45","M52","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","95.1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","17","13.7","*","*","*","*","*","*","*","*","*","*","385","*","*","*","*","*","*","*","613","*","*","*","119","*"
"46","M53","45.92","1.39","19.75","13.33","*","0.16","4.63","12.62","1.89","0.18","0.05","*","*","0.36","*","*","*","*","99","*","*","*","*","*","*","*","*","41","*","*","103","*","*","*","*","22","*","*","*","*","*","*","*","*","*","*","*","0.8","*","*","13","*","*","6","*","2560","*","41","*","*","*","403","*","*","*","*","*","*","*","585","*","10","*","93","29"
"47","M54","45.404","1.412","19.786","12.918","*","0.155","4.513","12.409","1.85","0.136","0.022","*","*","0.48","*","*","*","*","81","*","*","*","*","*","*","*","*","32","9","*","49","*","*","*","674","30","*","*","1","*","*","*","*","6","*","*","*","*","*","39","1","*","*","*","*","*","*","*","*","*","*","383","*","*","*","*","*","*","*","*","*","9","*","77","30"
"48","M55","46.04","1.37","19.84","13.24","*","0.155","4.48","12.43","1.85","0.16","0.032","*","*","0.44","*","*","*","*","*","*","*","*","*","221","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","3000","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"49","M56","44.8","1.38","20.6","13.5","*","0.147","4.69","12.5","2.05","0.159","0.044","*","*","0.45","*","*","*","*","*","*","*","*","*","*","*","*","311","*","*","*","170","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","127","*","*","*","*","*","415","*","*","*","*","*","*","*","639","*","*","*","100","*"
"50","M57","45.94","1.36","19.67","13.21","*","0.156","4.68","12.55","1.83","0.169","0.047","*","*","0.4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"51","M58","*","1.41","*","*","*","0.161","*","*","*","*","*","*","*","*","*","*","*","*","76.7","0.24","0.086","*","*","*","*","5.06","*","42.8","6.02","0.81","96.8","1.8","1.05","0.57","*","21","1.56","*","0.8","*","0.37","*","2.11","6.2","0.14","0.41","*","0.92","3.89","13.4","10.8","*","0.78","4.74","*","*","*","34.8","*","1.24","1.66","406","0.066","0.28","*","0.52","0.064","0.15","0.19","623","*","9.82","0.96","88.3","24.9"
"52","M59","45.82","1.4","20.08","13.15","*","0.14","4.44","12.55","1.72","0.17","0.04","*","*","0.56","*","5","*","*","101","*","*","*","*","*","*","*","*","72","26","*","101","*","*","*","*","21","*","*","*","*","*","*","*","*","*","*","*","3","*","9","*","*","*","29","*","*","*","35","*","*","*","357","*","*","*","2","*","*","1","635","*","13","*","92","47"
"53","M59.1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"54","M60","46.06","1.362","19.75","12.89","*","0.151","4.39","11.76","1.94","0.17","0.039","*","*","*","*","4","*","*","*","*","*","3","*","*","*","*","*","*","*","*","64","*","*","*","*","20","*","*","*","*","*","*","*","*","*","*","*","5","*","9","8","*","*","10","*","*","*","*","*","*","*","361","*","*","*","*","*","*","3","580","*","8","*","86","58"
