"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"51","D40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59.86",NA,NA,NA,NA,NA,NA,NA,"2.14",NA,NA,NA,NA,NA,NA,"1.23",NA,NA,NA,"27.07",NA,"0.37",NA,NA,NA,"31.61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.77",NA,NA,NA,"1.13",NA,NA,NA,NA,NA,NA,NA,NA,"2.51",NA,NA
"52","D140",NA,NA,NA,"12.98",NA,NA,NA,"9.42","2.45","0.88",NA,NA,NA,NA,NA,NA,"0.72",NA,NA,"348",NA,NA,NA,NA,NA,NA,"46.2","101",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28.8",NA,NA,NA,NA,NA,"27.96",NA,NA,NA,NA,"1.2",NA,NA,"2.95",NA,NA,NA,NA,NA,NA,NA,"120",NA
"53","D41","50.45","2.29","14.17","13.12","8.09","0.17","5.57","8.82","2.75","1.05","0.38",NA,NA,"1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","D42","51.04","2.29","13.81","13.3",NA,"0.16","5.66","9.17","2.45","0.98","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57",NA,NA,"102",NA,"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","33","55",NA,"14",NA,NA,NA,"27",NA,NA,NA,NA,NA,"25",NA,NA,NA,"411",NA,NA,NA,"1",NA,NA,NA,"340",NA,"31",NA,"111","192"
"55","D43","51.28","2.46","13.4","13.43",NA,"0.18","5.55","9.09","2.65","0.82","0.33",NA,NA,"1.23",NA,NA,NA,NA,NA,"400",NA,NA,NA,NA,NA,NA,NA,"98",NA,"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",NA,"60",NA,"35",NA,NA,NA,"24",NA,NA,NA,NA,NA,"28",NA,NA,NA,"404",NA,NA,NA,NA,NA,NA,NA,"468",NA,"35",NA,"125","229"
"56","D44","51.34","2.42","13.85","13.07",NA,"0.181","5.65","9","2.47","0.99","0.29",NA,NA,"0.72",NA,NA,NA,NA,NA,"308",NA,NA,NA,NA,"56","85","35","88",NA,"63",NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,"27",NA,NA,NA,NA,"24",NA,"50",NA,"20",NA,NA,NA,"22",NA,NA,NA,"470",NA,NA,NA,NA,NA,"407",NA,NA,NA,NA,NA,NA,NA,"317",NA,"30",NA,"116","201"
"57","D45","50.56","2.14","14.59","13.09",NA,"0.154","5.89","8.71","2.35","0.84","0.299",NA,NA,"1.31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60.6",NA,"39","100",NA,"60","5.78","2.92","1.97",NA,NA,"6.96",NA,NA,NA,"1.37",NA,NA,NA,"28.51","10","0.36",NA,NA,NA,"33.54","40",NA,"24",NA,"8.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.86",NA,"393",NA,"1.08",NA,NA,NA,"0.41",NA,"355",NA,"33.1","2.51","115",NA
"58","D46","50.92","2.47","13.76","13.37",NA,"0.17","5.8","9.01","2.44","1.02","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","D47","51.07","2.45","13.71","13.06",NA,"0.17","5.6","9.01","2.48","0.99","0.3",NA,NA,"1.08",NA,NA,NA,NA,NA,"361",NA,NA,NA,NA,"54",NA,NA,"97",NA,NA,NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,"32",NA,NA,NA,NA,"17.2",NA,"49",NA,"11",NA,NA,NA,"26.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"407",NA,NA,NA,"2",NA,NA,NA,"313",NA,"29.3",NA,"120","206"
"60","D48","50.87","2.4","13.87","13.07",NA,"0.17","5.65","9.02","2.52","0.95","0.3",NA,"0.19","0.76",NA,NA,NA,NA,NA,"346",NA,NA,NA,NA,"57.6",NA,"42.5","101",NA,"65.5","6.21","3","2.24",NA,NA,"7.11",NA,NA,NA,"1.17",NA,NA,NA,"26.9",NA,"0.34",NA,NA,"16.6","33.5","54",NA,"11.4",NA,"7.63",NA,"26",NA,NA,NA,"600",NA,"27.2",NA,"8.84","18.8","409",NA,"1.14",NA,"3.43",NA,"0.396","0.55","337",NA,"30","2.4","113","201"
"61","D49","51","2.401","13.87","13.314","7.84","0.174","5.717","9.009","2.525","0.975","0.3",NA,NA,"0.62",NA,NA,NA,NA,NA,"364",NA,NA,NA,NA,"45",NA,NA,"106",NA,"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,"55",NA,"13",NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"407",NA,NA,NA,NA,NA,NA,NA,"347",NA,"30",NA,"110","200"
"62","D50","51.32","2.46","14.1","13.28","8.6","0.17","5.67","9.11","2.49","0.96","0.3",NA,"0.19","1.23",NA,"2",NA,NA,NA,"371",NA,NA,NA,NA,"62.12",NA,"42.75","104","0.5","67","6.1","2.87","2.13",NA,"23","6.93",NA,"5.16",NA,"1.21",NA,NA,NA,"27.15","14","0.39","3.9",NA,"17","33.01","64",NA,"13",NA,"7.96",NA,"29",NA,NA,NA,"500",NA,"25","0.2","8.92","17","409","1.2","1.09",NA,"3.01","0.18","0.46","0.63","328","0.52","27","2.46","124","203"
"63","D51","51.23","2.42","13.8","13.16",NA,"0.17","5.58","8.99","2.49","0.99","0.31",NA,NA,"0.47",NA,NA,NA,NA,NA,"455","1.31","1.3",NA,NA,"65.4",NA,"43","89",NA,"63.8","6.79","3.41","2.47",NA,"23.6","7.67",NA,"6.31",NA,"1.31",NA,NA,NA,"28.7","11.5","0.41","3",NA,"18.08","35.51","51.1",NA,"12",NA,"8.6",NA,"25.3",NA,NA,NA,"570",NA,"28","0.00225","9.52","18","410.1","1.29","1.18",NA,"3.33",NA,"0.46","0.74","351",NA,"30.6","2.82","111.5","198.5"
"64","D52","50.78","2.35","13.55","12.68",NA,"0.17","5.69","8.98","2.45","0.95","0.25",NA,NA,"1.28",NA,NA,NA,NA,NA,"342","0.95",NA,NA,NA,"59",NA,"39.8","81","0.5","61","5.5","3.2","2.2",NA,"24","8.1",NA,"5",NA,"1.3",NA,NA,NA,"26.5","12.8","0.4",NA,NA,"20","33","48.4",NA,"13",NA,"7.8",NA,"27.2",NA,NA,NA,NA,NA,NA,NA,"9","19","418","1.5","1.2",NA,"2.4",NA,"0.5",NA,"304",NA,"29","2.6","110","178"
"65","D53","51.25","2.56","13.79","13.07",NA,"0.17","5.81","9.5","2.1","0.87","0.27","0.54",NA,"1.2",NA,"0.3",NA,"0.003",NA,"319","1.25",NA,NA,"1.2",NA,NA,"33.5","97",NA,"63",NA,NA,NA,NA,NA,NA,NA,NA,"0.012",NA,NA,NA,NA,NA,"12",NA,"2",NA,NA,NA,"34",NA,"28","0.1",NA,"0.04",NA,NA,NA,NA,NA,"5","29",NA,NA,NA,"420",NA,NA,NA,NA,NA,NA,NA,"350",NA,"18",NA,"154","255"
"66","D54","51.52","2.43","13.85","13.36",NA,"0.17","5.58","9.02","2.5","1","0.308",NA,NA,"0.49",NA,NA,NA,NA,NA,"324",NA,"0.4",NA,NA,"71.01",NA,NA,NA,NA,NA,"7.52","3.58","2.45",NA,"27.5","9.64",NA,"6.38",NA,"1.36",NA,NA,NA,"28.5",NA,"0.38",NA,NA,"18.6","35.42",NA,NA,NA,NA,"9.76",NA,"27.5",NA,NA,NA,NA,NA,NA,NA,"8.63","24","406","1.35","1.23",NA,"3.53",NA,"0.49","0.74",NA,NA,"29.9","2.87",NA,"195"
"67","D55","50.87","2.35","13.88","14.08","8.47","0.17","5.29","8.87","2.28","0.98","0.29","1.13","0.02","1.08",NA,NA,NA,"0.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.16",NA,"0.024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","D56","51.24","2.46","14.37","13.32",NA,"0.171","5.2","8.78","2.73","0.983","0.33","1.07",NA,"0.6",NA,NA,NA,NA,NA,"345",NA,NA,NA,NA,"56.1",NA,"41.9","100",NA,"59.3","5.41","2.88","2.04",NA,"20.6","7.87","0.87","4.41",NA,"1.07",NA,NA,NA,"26",NA,"0.36","3.06",NA,"14.9","30.3","47.1",NA,"12",NA,"6.89",NA,"22.4",NA,NA,NA,"560",NA,"28",NA,"8.37","14.5","383","1.06","1.09",NA,"3.01",NA,"0.39","0.62","321",NA,"31.7","2.17","118","182"
"69","D57","51","2.43","13.8","13.2",NA,"0.17","5.59","8.99","2.41","0.99","0.33",NA,"0.07",NA,NA,"0.1","3.45",NA,NA,"413","1.05",NA,NA,"0.63","61",NA,"46","95","0.48","55","6.01","2.89","2.12",NA,"22.7","7.7","1.37","6.13",NA,"1.08",NA,"0.18",NA,"29.7","15",NA,"2.85",NA,"24.4","34","55.3",NA,"13.2",NA,"7.8",NA,"26.2",NA,NA,NA,"600","0.07","31.6","0.2","7.9","31.4","420","1.25","1.22",NA,"3.21","0.12","0.38","0.63","340",NA,"2.47","1.22","113",NA
"70","D58","50.3","2.49","14","13.2","8.5","0.168","5.7","9","2.55","1.03","0.29",NA,"0.14","0.85",NA,"0.04","1","0.001",NA,"340","1.1","0.01",NA,"0.1","62.2",NA,"50","95","0.49","63","6.7","3.1","2.35","550","24","7.1","1.5","5.25","0.01","1.2",NA,"0.09","0.001","28","13.2","0.36","3.1",NA,"19.5","33.5","52","0.001","14","0.002","8.05","0.002","26.5",NA,"0.001","0.001","550","0.15","27","0.5","9.15","18.5","410","1.26","1.06","0.1","3.1","0.19","0.42","0.64","340","0.6","30.5","2.55","113","202"
"71","D59","51.54","2.46","13.83","13.43",NA,"0.17","5.61","9.11","2.47","0.99","0.3",NA,NA,"0.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"110",NA,"65",NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"16",NA,"55",NA,"12",NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"418",NA,NA,NA,"4",NA,NA,NA,"337",NA,"34",NA,"116","201"
"72","D60","51.1","2.52","13.7","13.4",NA,"0.17","5.79","9.05","2.56","0.98","0.31",NA,NA,"1.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54",NA,NA,NA,NA,NA,"5.4","2.5","2",NA,NA,"6.3",NA,NA,NA,"0.94",NA,NA,NA,"24",NA,"0.32",NA,NA,NA,"30",NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.6",NA,NA,NA,NA,NA,NA,NA,"0.35",NA,NA,NA,NA,"2.2",NA,NA
"73","D61","51.07","2.49","13.67","13.2",NA,"0.18","5.54","8.89","2.5","1","0.31",NA,NA,"1.32",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","76",NA,"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52",NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"500",NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,"108",NA
"74","D62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"337.6",NA,NA,NA,NA,"58.24",NA,"44.4","103","0.597","60.5","6.097","2.925","2.178",NA,"25.2","7.257",NA,"5.697",NA,"1.146",NA,NA,NA,"26.28",NA,"0.3514","3.34",NA,"18.7","32.42","49",NA,"14.03",NA,"7.708",NA,"25.6",NA,NA,NA,NA,"0.085","28.5",NA,"8.837","18","396.8","1.4","1.061",NA,"3.455","0.167","0.402","0.7122","363.9",NA,"31.24","2.521","122","209.9"
"75","D63","50.3","2.11","14.62","13.29",NA,"0.17","5.47","8.68","2.47","0.86","0.31","0.62",NA,"0.62",NA,NA,"0.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.9","70",NA,"63.6",NA,NA,NA,"70.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"815",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"134.7",NA
"76","D64","51.31","2.37","13.66","13.4","8.17","0.174","5.53","8.77","2.33","0.928","0.378",NA,NA,"0.39",NA,"0.04","0.61",NA,NA,"325","1.61","0.1",NA,"0.064",NA,NA,"38.9","97.1","5.9","61.9",NA,NA,NA,NA,NA,NA,NA,NA,"0.004",NA,NA,NA,NA,NA,"7.26",NA,NA,NA,NA,NA,"46.4",NA,"13.4",NA,NA,NA,"16.1",NA,NA,NA,NA,"0.5",NA,NA,NA,"16.7","379.4",NA,NA,NA,NA,NA,NA,NA,"328.4",NA,NA,NA,"118.7",NA
"77","D65","52.38","2.63","13.55","13.53",NA,"0.19","5.59","9.01",NA,NA,NA,"0.36",NA,"0.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64.2",NA,NA,"80.3",NA,NA,NA,"520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"124",NA
"78","D66","51","2.4","13.73","13.04","8.3","0.17","5.55","8.7","2.57","1.04","0.27",NA,NA,"0.71",NA,NA,NA,NA,NA,"349",NA,NA,NA,NA,"59.2",NA,"57","103",NA,"66","5.31",NA,"1.94",NA,NA,"6.04",NA,NA,NA,NA,NA,NA,NA,"26.88",NA,"0.37",NA,NA,"15","33.46","55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29",NA,"8.68",NA,"414",NA,NA,NA,NA,NA,NA,NA,"345",NA,"31","2.61","121","194"
"79","D67","50.87","2.377","13.74","13.09",NA,"0.171","5.6","8.93","2.31","0.96","0.266",NA,"0.103","0.87",NA,NA,"0.7",NA,NA,"336",NA,NA,NA,"0.11","53",NA,"47","53",NA,"48",NA,NA,NA,NA,"17",NA,NA,NA,"0.02",NA,NA,NA,NA,"44",NA,NA,NA,"10","22",NA,"87",NA,"8.9",NA,NA,NA,"22",NA,NA,NA,NA,NA,"27","0.2",NA,NA,"391",NA,NA,NA,NA,NA,NA,NA,"366",NA,"27",NA,"109","184"
"80","D68","48.73","2.42","13.29","12.81",NA,"0.17","5.27","9.12","2.26","0.93","0.27",NA,NA,NA,NA,NA,NA,NA,NA,"318.2",NA,NA,NA,NA,"59.5",NA,"45.02","100.6","0.39",NA,"6.25","3.13","2.35",NA,"22.31","7.08",NA,"5.66",NA,"1.2",NA,NA,NA,"26.08",NA,"0.34",NA,NA,"16.84","33.67",NA,NA,NA,NA,"7.45",NA,"24.28",NA,NA,NA,NA,NA,NA,NA,"10",NA,"398.3","1.16","1.1",NA,"3.28",NA,NA,"0.7","335.5",NA,"33.75","2.55",NA,"197.43"
"81","D69","51.08","2.451","13.99","13.2",NA,"0.185","5.7","9","2.33","1.01","0.287",NA,NA,"0.76",NA,NA,"0.5",NA,NA,"334",NA,NA,"1.7","0.2","61",NA,"32","84",NA,"59",NA,NA,"1.8",NA,"24.5",NA,"2.3","4.5",NA,NA,NA,NA,NA,"26",NA,NA,NA,NA,"19","25","53",NA,"11",NA,NA,NA,"24.8",NA,NA,NA,NA,NA,NA,NA,"7","15.1","401",NA,NA,NA,NA,NA,NA,"3.2","347",NA,"31","2.6","109","203"
"82","D70",NA,"2.08",NA,NA,NA,"0.16","4.96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"328",NA,NA,NA,NA,"64.98",NA,"40","81","0.39","60","6.217","3.02","2.466",NA,"21.98","7.97",NA,"6.068",NA,"1.38",NA,NA,NA,"29.73",NA,"0.354","3.025",NA,"14.4","36.59","53",NA,NA,NA,"8.12",NA,"27.4",NA,NA,NA,NA,NA,NA,NA,"8.81","15.4","396","1.145","1.159",NA,"4.7",NA,"0.429","0.78","284","0.7","31.3","2.58","112","196"
"83","D71","51.5","2.43","13.53","13.44","8.56","0.18","5.57","9.04","2.49","1.05","0.29",NA,NA,"0.91",NA,NA,NA,NA,NA,"343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"219"
"84","D171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8",NA,NA,NA,"55",NA,"56","87",NA,"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","13",NA,NA,NA,"30","31","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"321",NA,"29",NA,"107",NA
"85","D72",NA,"2.374",NA,"13.37",NA,"0.165",NA,"8.97",NA,"0.967",NA,NA,NA,NA,NA,NA,NA,NA,NA,"353",NA,NA,NA,NA,"66",NA,"46","80",NA,"46",NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,"16","33","37",NA,"8",NA,NA,NA,"26",NA,NA,NA,NA,NA,"31",NA,NA,NA,"397",NA,NA,NA,"9",NA,NA,NA,"336",NA,"37",NA,"117","224"
"86","D172","49.42",NA,"12.91",NA,NA,NA,"5.89",NA,"2.25",NA,"0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"135",NA,NA,NA,NA,NA,NA,NA,"549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"452",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","D73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.42",NA,"0.009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.006",NA,"0.033",NA,NA,"0.011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","D74","50.65","2.37","14.02","13.2","8.28","0.16","5.7","9","2.41","0.98","0.32","1.12","0.13","1.14",NA,"0.06","0.81",NA,"4","328","1.12",NA,NA,"0.19","58.1","84","43.6","102","0.52","64.1","5.87","2.74","2.18","54","23.7","7.11","1.43","4.98",NA,"1.12",NA,"0.1",NA,"26.7",NA,"0.39","3.16",NA,"15.6","33.1","51.3",NA,"21",NA,"7.64",NA,"25.1",NA,NA,NA,"65",NA,NA,"0.18","8.71","34.1","394","1.2","1.04",NA,"3.33",NA,"0.387","0.61","328","0.46","30.1","2.52","132","196"
"89","D75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"389",NA,NA,NA,NA,"64",NA,"43","60",NA,"62",NA,NA,NA,NA,"22",NA,NA,"6",NA,NA,NA,NA,NA,"27",NA,NA,"2",NA,"19",NA,"52",NA,"10",NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,"403",NA,NA,NA,"4",NA,NA,NA,"331",NA,"32",NA,"106","203"
