,Laboratory,SiO2,TiO2,Al2O3,Fe2O3T,Fe(II)O,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,CO2,LOI,NA,Ag,As,Au,B,Ba,Be,Bi,Br,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Ga,Gd,Ge,Hf,Hg,Ho,I,In,Ir,La,Li,Lu,Mo,N,Nb,Nd,Ni,Os,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Sm,Sn,Sr,Ta,Tb,Te,Th,Tl,Tm,U,V,W,Y,Yb,Zn,Zr
74,O61,NA,0.048879217064393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8512025429219,NA,NA,222.522941636813,70.6347139890369,NA,NA,NA,NA,NA,59.6135563629725,4.01193379777282,NA,8.03520237011162,NA,0.643097516530788,NA,NA,NA,8.89872732309658,NA,0.353292633422937,NA,NA,59.789914081888,NA,NA,NA,NA,NA,4.44626050505659,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.10457790577846,NA,NA,41.9050468180167,0.794044708227915,NA,12.8046467741908,NA,0.311175988662076,3.76066313355282,3.36409360636742,4.88776752187968,22.6531201111717,NA,NA,38.9743680092229
75,O61.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5219393805384,NA,NA,NA,NA,NA,NA,1.78193747430178,NA,NA,5.9845583694256,4.53019924850285,1.87012061426808,NA,NA,NA,NA,8.1038515891186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3561211717513,30.4991437155523,NA,63.2929400022268,NA,NA,NA,2390.9839503957,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5204883049953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45932939237724,101.151594386597,NA
76,O62,71.96,0.0139,15.99,0.47,NA,0.158,0.018,0.36,5.31,3.56,0.01,NA,NA,1.15,NA,0.208,1.51,NA,38.5,11.8,59.31,23.2,NA,0.021,22.2,NA,0.39,200.3,78.04,5,2.854,1.13,0.02,NA,57.5,2.83,6.1,9.3,NA,0.43,NA,NA,NA,6.55,1883,0.204,0.508,NA,60.1,11.59,16.1,NA,70.9,NA,3.103,NA,2513,NA,NA,NA,NA,0.423,10.3,NA,4.284,47.7,13.6,44.6,0.5075,NA,16.1,15,NA,3.4,3.1,5.8,24.9,1.515,96.9,42.1
77,O63,71.74,0.012,15.89,0.48,0.47,0.158,NA,0.41,5.4,3.57,0.028,NA,NA,0.79,NA,NA,NA,NA,NA,10.6,60,NA,NA,NA,29.7,298,NA,196,73.5,7,4.22,1.77,0.02,12942,63,4.18,NA,NA,NA,0.72,NA,NA,NA,9.25,NA,0.37,NA,NA,62.1,15.2,15,NA,NA,NA,4.56,NA,2489,NA,NA,NA,NA,NA,10.9,NA,6.35,NA,13,49.3,0.79,NA,15.1,NA,0.34,4.18,6,NA,26.8,2.68,97,27
78,O63.1,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,O64,71.6,NA,16.1,0.4867,NA,0.16,0.0126,0.39,5.343,3.56,0.0193,NA,NA,1.083,NA,NA,2.08,NA,NA,NA,31,19.87,NA,NA,27,NA,0.97,196,76.33,3.82,4.82,2.09,0.125,NA,53.33,6.8,NA,7.88,NA,1.05,NA,0.225,NA,8.38,1760,0.344,NA,NA,58.67,14.8,14.33,NA,68.33,NA,4.17,NA,2460,NA,NA,NA,NA,0.343,9.7,NA,6.58,48.7,12.2,53,0.88,NA,13.2,17.3,NA,3.91,NA,5.09,NA,2.52,92.07,40.33
80,O65,72.87,0.009,16.41,0.483,NA,0.152,0.044,0.375,3.763,5.872,0.026,NA,NA,9.32,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,230,NA,5.5,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,62,NA,18,NA,75,NA,NA,NA,2352,NA,NA,NA,NA,NA,NA,NA,NA,49,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,92,50
81,O66,71,NA,16.29,0.38,0.26,0.16,NA,0.4,5.3,3.37,NA,0.43,0.11,1.18,NA,NA,2,NA,NA,14,51.6,27.1,NA,NA,26.8,NA,NA,196,77.5,NA,4.22,1.87,NA,13634,48,3.95,8.5,8,0.012,0.68,NA,NA,NA,8.3,1910,0.35,NA,NA,67,16.3,16,NA,75,NA,4.3,NA,2210,NA,NA,NA,NA,0.4,10,NA,5.9,51,16,47,0.85,NA,14.6,17.7,0.34,4.25,NA,5,23.3,2.6,93,43
82,O67,71,NA,16.77,0.44,NA,0.16,NA,0.4,5.21,3.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.2,NA,NA,NA,73.2,5.2,NA,NA,NA,NA,56.4,NA,NA,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,15.5,NA,62.7,NA,NA,NA,2450,NA,NA,NA,NA,NA,NA,NA,NA,50,13.6,45.7,NA,NA,13.2,NA,NA,NA,NA,NA,NA,NA,89,35.6
83,O68,NA,NA,NA,0.52,NA,0.175,NA,0.41,NA,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,NA,12,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,105,NA,NA,NA,2580,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,22
