"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"42","T56","*","*","0.32","8.21","*","0.13","87.31","0.48","0.05","0.01","*","*","0.13","*","*","*","*","*","*","*","*","*","*","0.04","0.106","*","*","118.336","1344.101","*","20.606","*","*","*","*","0.513","*","*","*","0.004","*","*","*","*","*","*","*","*","*","*","*","2436.251","*","246.546","*","*","*","0.101","*","*","*","*","*","*","*","*","*","0.558","*","*","*","*","*","*","0.028","34.502","*","*","*","24.884","*"
"43","T57","43.23","*","0.42","9","7.52","0.12","45.46","0.54","0.01","*","*","0.88","*","0.42","0.025","*","*","4.44","1.16","0.054","*","*","*","*","0.097","0.65","*","117","3530","0.031","4.56","0.036","0.025","0.009","*","1.03","0.019","1.59","0.021","0.006","0.008","*","*","*","0.24","1.91","0.004","0.17","*","0.48","0.22","2540","*","255","*","0.087","*","0.41","*","*","*","*","*","9.42","*","0.028","0.47","0.41","0.036","0.005","*","0.21","*","0.004","0.067","34.7","6.53","0.031","0.026","71.5","0.94"
"44","T58","41.7","*","0.346","9.92","*","0.147","45.5","510","*","*","*","*","*","1.6","*","*","*","*","*","*","*","*","*","*","*","*","135","*","2580","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2350","*","255","*","*","*","*","*","*","*","47","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","59","*"
"45","T59","42.96","0.039","0.4","9.01","*","0.13","45.52","0.49","0.128","0.015","0.022","*","*","0.48","*","*","*","*","38.1","*","*","*","*","*","*","*","*","103","2702","*","6.18","*","*","*","*","*","*","*","*","*","*","*","*","*","*","6.31","*","*","*","*","*","2573","*","256","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","37.8","*","*","*","69.7","126"
"46","T59.1","*","*","*","*","4.72","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"47","T61","43.03","0.007","0.583","8.881","*","0.1355","45.75","0.5035","0.02696","0.00285","*","*","*","*","*","0.2667","0.00545","*","4.69","*","*","*","*","*","0.08333","0.0865","*","120","2975","0.0165","8.567","*","*","0.002","*","0.3067","0.05","*","0.0795","0.01","0.007","*","*","*","0.0345","*","0.006","*","*","*","0.0435","2260","*","227.3","*","2.34","*","*","*","*","*","*","1.445","8.845","0.1167","0.008","*","*","0.003","0.004","*","0.0825","*","*","0.0105","28.033","7.14","*","0.034","67.45","4.49"
"48","T62","43.33","*","0.382","9.04","*","0.129","46.1","0.503","0.106","*","*","*","*","0.386","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"49","T64","43.8","*","*","8.9","*","0.154","*","0.4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"50","T65","43.61","0.005","0.42","8.96","*","0.13","45.88","0.46","0.005","0.01","0.01","*","*","0.48","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"51","T67","43.23","0.02","0.222","9.09","*","0.104","46.39","0.48","*","*","0.009","*","*","0.43","*","*","*","*","*","*","*","*","*","*","*","*","*","110.5","*","*","7.3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2506","*","206","*","*","*","0.6","*","*","*","*","*","*","*","*","*","1.1","*","*","*","0.5","*","*","*","36","*","*","*","71.4","6.2"
