"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"50","A41","70.52","0.317","15.24","3.138",NA,"0.079","1.2","1.391","4.3","2.983","0.176",NA,NA,"1.86",NA,NA,"1.2",NA,NA,"361",NA,NA,NA,NA,"46",NA,"7.4","26",NA,"14",NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,"13","18","19",NA,"8.2",NA,NA,NA,"143",NA,NA,NA,NA,"2.3",NA,NA,NA,"2.4","86",NA,NA,NA,"7.1",NA,NA,"3.5","30","1.2","16",NA,"43","124"
"51","A42","70.11","0.305","14.74","3",NA,NA,"1.06","1.312","4.45","3","0.176",NA,NA,"1.96",NA,NA,"4.65",NA,NA,"428",NA,NA,NA,NA,NA,NA,"6.28","28.1",NA,"16.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.8",NA,"12.2",NA,NA,NA,NA,NA,NA,NA,NA,"0.83",NA,NA,NA,"6.49","80",NA,NA,NA,NA,"0.66",NA,"4.08","30.9","2.76",NA,NA,NA,NA
"52","A43","70.53","0.3111","13.98","2.961",NA,"0.0754","1.028","1.385","4.65","2.882","0.1853",NA,NA,NA,NA,NA,NA,NA,NA,"352",NA,NA,NA,NA,"41.5",NA,"7.8","47",NA,"15.6","2.78","1.53","0.68",NA,"24","3.54",NA,"3.69",NA,"0.56",NA,NA,NA,"22.3",NA,"0.22",NA,NA,"10.7","17","16",NA,NA,NA,"4.7",NA,"137",NA,NA,NA,NA,NA,"6.59",NA,"3.5",NA,"86.1","1.13","0.51",NA,"6.8",NA,"0.22","3.25","31.2",NA,"16.7","1.47","43","132"
"53","A44","70.3","0.32","14.6","3.05","2.55","0.08","1.04","1.36","4.62","3.03","0.19",NA,NA,"2.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","A144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.91",NA,NA,NA,NA,NA,NA,"360",NA,NA,NA,NA,"28",NA,"40","23",NA,"13","0.2",NA,"0.5",NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"5",NA,"6","8","21",NA,"3",NA,NA,NA,NA,NA,NA,NA,"41",NA,NA,NA,"14",NA,"89",NA,"3",NA,"7",NA,NA,NA,"39",NA,"16","0.6","36","110"
"55","A45","69.5","0.31","14.3","3.06",NA,"0.08","1.12","1.34","4.54","2.95","0.17",NA,"0.91","1.84",NA,NA,NA,NA,NA,"327","1.7",NA,NA,NA,"42","210","6.7","25",NA,"15.8","2.8","1.5","0.8","1200","17.1",NA,NA,NA,NA,"0.52",NA,NA,NA,"22.2","53","0.22",NA,NA,"13","17.9","16",NA,"7.2",NA,"4.9",NA,"147",NA,NA,NA,NA,NA,NA,NA,"3.7","3.6","102",NA,NA,NA,"7.9",NA,"0.2",NA,"38.2",NA,"24","1.4","38","142"
"56","A46","69.77","0.316","14.7","3.06","2.6","0.078","1.08","1.38","4.5","2.96","0.182","0.21","1.64","2.01",NA,"0.04","2.7",NA,"30","337","1.73",NA,NA,NA,"40",NA,"5","30",NA,"14","3.3","2.82","0.68","240","21",NA,NA,NA,"0.002",NA,NA,NA,NA,"25","42",NA,"0.2",NA,"9","17","15",NA,"5",NA,"6.7",NA,"152",NA,NA,NA,NA,"0.6","8",NA,"4.9","3.5","87",NA,NA,NA,NA,NA,NA,NA,"30",NA,"14","1.4","36","120"
"57","A47","70.07","0.304","14.7","3.06",NA,"0.074","1.05","1.33","4.66","2.96","0.16",NA,NA,NA,NA,NA,NA,NA,NA,"358","1.8",NA,NA,NA,NA,NA,"12","56",NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53",NA,NA,NA,"13",NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.3",NA,NA,NA,"87",NA,NA,NA,NA,NA,NA,NA,"35",NA,"16","1.6","38","135"
"58","A48","69.4","0.33","14.4","2.96",NA,"0.07","1.17","1.4","4.5","2.97","0.15",NA,NA,"2.07",NA,"0.1","2.5",NA,"30","363","1",NA,"4.9","0.5","40.8","276","6.4","31","3.1","15.4","2.7","1.4","0.79",NA,"16","3.2",NA,"3.5",NA,"0.53",NA,NA,NA,"21.9","46","0.18",NA,NA,"12","16","12",NA,NA,NA,"4.4",NA,"152",NA,NA,NA,NA,"0.7","5.69",NA,"3.8","13","81","0.9","0.5",NA,"6.7","0.6","0.2","3.4","37","2","14","1.4","34.8","135"
"59","A49","70.6","0.319","14.7","3.04",NA,"0.077","1.05","1.332","4.55","2.999","0.168",NA,NA,"1.9",NA,NA,NA,NA,NA,"358",NA,NA,NA,NA,"48",NA,"5","43",NA,"9.5","3.9",NA,NA,NA,"16.3",NA,NA,"3.3",NA,NA,NA,NA,NA,"140",NA,NA,NA,NA,"12.9","18","17",NA,"8.1",NA,NA,NA,"146.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"88.1",NA,NA,NA,"7.9",NA,NA,"3.6","32","3","18.6","1.8","39","133"
