,Laboratory,SiO2,TiO2,Al2O3,Fe2O3T,Fe(II)O,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,CO2,LOI,NA,Ag,As,B,Ba,Be,Bi,Br,C(tot),C(org),Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Ga,Gd,Ge,Hf,Hg,Ho,I,In,Ir,La,Li,Lu,Mo,Nb,Nd,Ni,Pb,Pr,Rb,Re,S,Sb,Sc,Se,Sm,Sn,Sr,Ta,Tb,Te,Th,Tl,Tm,U,V,W,Y,Yb,Zn,Zr
39,J38,68.73,0.485,15.96,2.845,1.845,0.037,0.83,1.795,3.905,4.426,0.123,0.415,0.05,0.31,NA,NA,NA,NA,NA,NA,NA,NA,598,461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1290,NA,NA,NA,NA,0.0145,NA,NA,NA,NA,NA,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,J39,69.1,0.47,16.16,2.89,NA,0.03,0.75,1.78,4.08,4.49,0.13,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,J40,72.337,0.033,14,2.719,NA,0.039,0.696,1.853,3.615,4.576,0.137,NA,NA,0.249,NA,NA,1.376,NA,1776.25,3.493,0.0053,NA,NA,NA,0.056,NA,NA,4.795,19.29,1.395,18.02,NA,NA,NA,NA,20.64,NA,1.499,NA,NA,NA,NA,NA,NA,NA,33.69,NA,1.729,18.05,NA,8.579,30.06,NA,169.23,NA,NA,0.0158,5.373,NA,NA,NA,422.82,NA,NA,NA,27.49,0.134,NA,2.516,34.8,NA,10.11,NA,92.03,NA
42,J41,NA,0.45,15.87,2.979,NA,0.039,0.791,2.126,4.296,5.574,0.151,NA,NA,NA,NA,0.245,0.646,NA,2065,4.194,0.049,NA,NA,NA,0.078,182.9,NA,4.92,20.09,1.673,16.66,2.232,0.818,1.443,NA,22.97,4.135,NA,0.843,NA,0.36,NA,NA,NA,94.12,38.64,0.08,2.317,12.83,58.4,7.303,32.71,18.07,176.4,NA,1158,0.135,NA,0.411,8.306,2.517,465.8,1.032,0.483,NA,26.85,0.929,0.108,2.073,39.36,0.271,9.036,0.59,94.19,27.68
43,J42,68.46,0.48,15.98,2.87,NA,0.04,0.75,1.82,3.96,4.62,0.13,NA,NA,0.48,NA,NA,0.7,NA,2200,NA,NA,NA,500,500,NA,192,NA,4.4,28,1.54,17,2.11,0.9,1.39,NA,24.5,4.66,NA,9.2,NA,0.33,NA,NA,NA,91.7,NA,0.1,3,13.8,53,15,31,14.6,163,NA,100,NA,NA,NA,7.06,3,538,1,0.5,NA,25,0.7,0.11,2.2,32,NA,9.1,0.77,82,372
44,J43,68.83,0.47,15.56,2.63,NA,0.03,0.95,1.72,3.85,4.44,0.15,NA,NA,0.53,NA,NA,NA,NA,1912,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,21,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,2,31,NA,181,NA,NA,NA,2,NA,NA,NA,565,NA,NA,NA,29,NA,NA,4,34,NA,15,NA,87,371
45,J44,68.91,0.47,14.99,2.72,NA,0.03,0.8,1.82,4.27,4.48,0.15,NA,NA,NA,NA,NA,NA,NA,1913,NA,NA,NA,NA,NA,NA,164,NA,NA,28,NA,21,1.9,0.9,1.4,NA,NA,4.1,NA,NA,NA,0.3,NA,NA,NA,93,31,NA,NA,13,56,11,29,15.5,159,NA,NA,NA,2.8,NA,9.2,NA,448,NA,0.5,NA,23,NA,0.1,2,31,NA,9,0.6,86,315
46,J45,68.12,0.48,15.91,2.87,NA,0.04,0.74,1.76,4.03,4.53,0.12,NA,NA,0.35,NA,NA,NA,NA,1796,NA,NA,NA,NA,NA,NA,161,NA,4,20,2,7,NA,NA,NA,NA,22,NA,NA,9,NA,NA,NA,NA,NA,102,NA,NA,2,11,43,5,35,NA,167,NA,NA,NA,8,NA,9,NA,460,NA,NA,NA,23,NA,NA,2.6,35,7,10,NA,82,312
47,J46,68.595,0.48125,15.9775,2.89,NA,0.03875,0.735,1.83675,3.895,4.42075,0.1385,NA,NA,0.4675,NA,0.29,7.8,NA,1984,2.44,0.05,NA,NA,NA,0.1,167,NA,5.7,17.9,1.12,17.3,2.29,0.84,2.27,NA,28,4.55,2.6,NA,0.009,0.41,NA,0.022,NA,96,37,0.12,2.5,15,60,6.9,30,18.2,161,NA,NA,0.22,3,NA,9.3,2.7,450,NA,0.62,NA,26.4,0.48,0.15,2.28,30.5,0.37,13.3,0.823,93.8,343
48,J47,68.85,0.47,15.94,2.87,NA,0.036,0.73,1.79,3.99,4.52,0.128,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
