"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"37","I28","63.25","0.79","14.7","5.87",NA,"0.139","2.22","4.4","3.53","2.76","0.17",NA,NA,"1.75",NA,NA,NA,NA,"376",NA,NA,NA,NA,NA,NA,"12","49",NA,"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28",NA,"13",NA,NA,NA,"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,"192",NA,NA,NA,"9",NA,NA,"1.5",NA,NA,"42",NA,"72",NA
"38","I29","63.5","0.836","14.69","5.71","4.34","0.137","2.37","4.22","3.49","2.65","0.166","2.13","0.145","1.75",NA,"1.17",NA,NA,"385","2.5",NA,NA,NA,"56.5",NA,"14","67.5",NA,"31","8.27","4.23","1.57","590",NA,"8.09",NA,NA,NA,"1.36",NA,NA,NA,"23.7","33","0.751",NA,NA,NA,"29.7","18",NA,"17",NA,"8.06",NA,"95.1",NA,NA,NA,"55","0.09",NA,NA,"5.52",NA,"101",NA,"1.11",NA,NA,NA,"0.831",NA,"70.5",NA,"44.1","4.93","78.1",NA
"39","I30","63.4","0.77","14.84","5.78",NA,"0.143","2.31","4.5","3.57","2.71","0.19",NA,NA,"1.7",NA,NA,NA,NA,"351",NA,NA,NA,NA,"61",NA,"17","54",NA,NA,NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","27","20",NA,"16",NA,NA,NA,"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,"103",NA,NA,NA,NA,NA,NA,NA,"82",NA,"48",NA,"73","194"
"40","I31","63.33","0.814","14.48","5.81",NA,"0.139","2.25","4.42","3.66","2.67","0.167","2.17","0.18","1.8",NA,"1.26",NA,NA,"356","1.84",NA,NA,NA,"57.5","224","13.5","60","2.09","29.1","8.06","5.06","1.61",NA,"19","8.55","1.64","6.06",NA,"1.78",NA,NA,NA,"26.1",NA,"0.71","2.19",NA,"12.8","28.3","19.7",NA,"14.9",NA,"7.12",NA,"102",NA,NA,NA,NA,NA,"21.8",NA,"7.19","1.69","103","0.9","1.38",NA,"8.24",NA,"0.77","2.08","84.8",NA,"52.5","5.14","76","203"
"41","I32","63.87","0.77","14.92","5.91",NA,"0.141","2.32","4.47","3.72","2.77","0.18",NA,NA,"1.71",NA,NA,NA,NA,"389",NA,NA,NA,NA,"71",NA,NA,"57",NA,NA,NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21",NA,"24",NA,NA,NA,NA,NA,"116",NA,NA,NA,NA,NA,NA,NA,NA,NA,"115",NA,NA,NA,NA,NA,NA,NA,NA,NA,"53",NA,"67","211"
"42","I33",NA,NA,"15.12","5.49",NA,"0.14",NA,NA,"3.61",NA,NA,NA,NA,NA,NA,"1.1",NA,NA,"352",NA,NA,NA,NA,"64.6","190","12.6","80.5","1.89",NA,"7.1",NA,"1.6",NA,NA,NA,NA,"5.38",NA,NA,NA,NA,NA,"25.2",NA,"0.74",NA,NA,NA,"29.2","41",NA,NA,NA,NA,NA,"96",NA,NA,NA,NA,"0.25","20",NA,"6.68",NA,NA,"0.8","1.25",NA,"8.8",NA,NA,"2.07","86",NA,NA,"4.98",NA,NA
"43","I34","63.9","0.78","14.6","5.9","4.47","0.14","2.4","4.5","3","2.55","0.18",NA,"0.19","1.67",NA,NA,NA,"42","334",NA,NA,NA,NA,"60","310","15","57","3","30","9.3","5.5","2","470","18","8.9","2","5.4",NA,"1.9",NA,NA,NA,"27","31","0.8","0.7",NA,"10","31","32",NA,NA,NA,"7.2",NA,"90",NA,NA,NA,NA,NA,NA,NA,"7.9","3","100","0.6","1.5",NA,"10",NA,"0.8","2.7","85",NA,"46","5.4","74","176"
"44","I35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"361.7",NA,NA,NA,NA,"51.46",NA,NA,NA,"2.091",NA,"7.669","4.53","1.533",NA,NA,"6.831",NA,NA,NA,"1.56",NA,NA,NA,"22.91",NA,"0.675",NA,NA,"11.45","26.25",NA,NA,"14.93",NA,"6.369",NA,"89.3",NA,NA,NA,NA,NA,"18.49",NA,"6.425",NA,"104.4",NA,"1.213",NA,"7.097",NA,"0.663","1.858",NA,NA,"40.73","4.555",NA,NA
"45","I36","62.7","0.75","15.2","6.12",NA,"0.16","2.93","4.1","3.33","2.77","0.17",NA,NA,"1.78","6.6","2",NA,NA,"392",NA,NA,NA,"2.4",NA,NA,"10.4","37.2",NA,"26",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"12",NA,"22.2",NA,"15",NA,NA,NA,"104.3",NA,NA,NA,"59.8",NA,NA,NA,NA,NA,"103",NA,NA,NA,"8",NA,NA,"2.5","101",NA,"44",NA,"79.4","203.2"
"46","I37",NA,"0.77",NA,NA,NA,"0.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.58",NA,NA,"366",NA,"0.062",NA,"0.142","57.1",NA,"14.7","56.7","2.13","29.8","8.34","5.12","1.64",NA,"18.8","7.41","1.88","6.08",NA,"1.79",NA,"0.058",NA,"25.6","37.8","0.71","1.11",NA,"13.7","28.6","22.6",NA,"13.9",NA,"6.79",NA,"102",NA,NA,NA,NA,"0.37","20.8",NA,"7.28","2.31","109","0.96","1.31",NA,"8.43","0.53","0.76","2.23","83.3","3.37","47.2","4.96","68.5","195"
