"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"22","B118","58.05","0.45","15.25","9.09",NA,"0.13","4.64","6.54","2.2","0.26","0.1",NA,NA,"3.16",NA,NA,NA,NA,NA,"154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"4","91",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,"49"
"23","B19","58.45","0.44","14.99","8.85","4.96","0.11","4.69","6.47","2.43","0.21","0.05",NA,NA,"3.18",NA,NA,"8.5",NA,NA,"134","0.4","0.04",NA,"0.1","12.6",NA,NA,"27","0.1","60","3.38","2.4","0.52",NA,"13.9","2.73","1.5","1.5",NA,"0.77",NA,NA,NA,"5.59","19.5","0.37","0.8",NA,"1.8","7","12.5",NA,"4",NA,"1.59",NA,"2",NA,NA,NA,"70","0.2","32.5",NA,"2.07","0.5","105",NA,"0.48",NA,"1.63",NA,NA,"0.38","230",NA,"22.2","2.46","81","57"
"24","B20","59.06","0.445","15.3","9.112",NA,"0.128","4.763","6.486","2.409","0.545",NA,NA,NA,NA,NA,NA,NA,NA,NA,"125.5",NA,NA,NA,NA,NA,NA,NA,"47.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62.13"
"25","B21","58.72","0.44","15","8.99","5.06","0.13","4.78","6.46","2.49","0.23","0.08",NA,NA,"3.19",NA,NA,NA,NA,NA,"125",NA,NA,NA,NA,"11.55",NA,"21","33",NA,"69","3.65",NA,"0.54",NA,NA,"3.16",NA,NA,NA,"0.97",NA,NA,NA,"6.55",NA,"0.41",NA,NA,"4","7.81","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.12",NA,"110",NA,NA,NA,NA,NA,NA,NA,"226",NA,"24","2.63","76","53"
"26","B22","58.31","0.44","15.1","8.99","5","0.124","4.77","6.5","2.45","0.21","0.05",NA,NA,"3.13",NA,NA,NA,NA,NA,"132",NA,NA,NA,NA,NA,NA,"32","28",NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106",NA,NA,NA,NA,NA,NA,NA,"218",NA,"24",NA,"75","54"
"27","B23","58.7","0.43","15.2","8.9",NA,"0.13","4.8","6.4","2.5","0.21","0.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","B24",NA,"0.39","14.7","9.15",NA,"0.12","4.13","6.27","2.53","0.31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","B124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.8",NA,NA,"144",NA,NA,NA,NA,"13.6",NA,"26.2","22.1",NA,NA,"3.1",NA,"0.47",NA,NA,NA,NA,"1.76",NA,NA,NA,NA,NA,"5.68",NA,"0.44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.3","35.4",NA,"2.27",NA,"116",NA,"0.44",NA,"1.72",NA,NA,NA,"214",NA,NA,"2.59",NA,NA
"30","B25","58.79","0.45","15.66","8.86",NA,"0.13","4.84","6.5","2.38","0.21","0.05",NA,NA,"2.98",NA,NA,"7.7",NA,NA,"142",NA,NA,NA,NA,"11.6",NA,"23.6","34",NA,"60.6",NA,NA,NA,NA,"13.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.5",NA,"4.7",NA,"16.7",NA,"5.9",NA,NA,NA,"6.2",NA,NA,NA,NA,NA,NA,NA,NA,"8.2","102.4",NA,NA,NA,"0.7",NA,NA,"1.6","203",NA,"22.9",NA,"76.9","55.3"
"31","B26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.01",NA,NA,NA,NA,NA,"125","0.4",NA,NA,NA,"12.6",NA,"25","60",NA,"75","3.4","2.4","0.49",NA,NA,"2.75",NA,"1.4",NA,"0.77",NA,NA,NA,"5.5","20","0.4",NA,NA,NA,"7.3","20",NA,"15",NA,"1.7",NA,NA,NA,NA,NA,NA,NA,"33.7",NA,"2.2",NA,"102",NA,NA,NA,NA,NA,NA,NA,"220",NA,"20.2","2.54","85","55"
