"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"17","Z17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"547.109715933749","1.63029140401053",NA,NA,"0.0917182034506263","89.1127977829027",NA,"38.2602711476332","10.9407941129638","0.370215927799454","157.743114358669","8.42120343446375","4.07972137912157","3.26628044685744",NA,"23.6128175927257","10.1717607966541","1.71967005853382","7.41465204361865",NA,"1.62061505252307",NA,NA,NA,"40.5602255998221","6.54402931367099","0.488645867825142","1.50670430016062","30.8612617013905","50.744230550482","22.2190044982287",NA,"5.16318274289914",NA,"12.1720560418859",NA,"34.9264533377894",NA,NA,NA,NA,NA,"28.7096886221391",NA,"11.0071668069913","2.66695406669799","487.367197854681","1.87954059433289","1.47134187925561",NA,"3.79159031967984","0.112520743491603","0.551130805872379","0.782139951007514","394.107841539618","0.47","43.0404917060464","3.379518537437","140.357074795799","307.646026531529"
"18","Z18","50.69","3.87","12.18","15.79",NA,"0.21","3.9","7.88","2.67","1.56","0.62",NA,NA,"0.57",NA,NA,NA,NA,"559","1.88",NA,NA,NA,"91.3",NA,"38.6","12","0.37","160","8.56","4.22","3.38",NA,"24.3","10.4","1.8","7.85",NA,"1.67",NA,NA,NA,"41.9","7.41","0.5",NA,"32.7","52.1","23.4",NA,"5.78",NA,"11.8",NA,"37.1",NA,NA,NA,NA,NA,"30.4",NA,"11.3",NA,"500","1.95","1.53",NA,"4.01",NA,"0.59","0.83","410",NA,"43.6","3.55","144","316"
"19","Z19","50","3.897","12.53","15.86",NA,NA,NA,"7.941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.62","4.37","3.29",NA,NA,"11.1",NA,NA,NA,"1.61",NA,NA,NA,"39.8","6","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,"1.54",NA,NA,NA,"0.553",NA,NA,NA,"40.3","3.5","140",NA
"20","Z19.1",NA,NA,NA,NA,NA,"0.208","4.058",NA,"2.755","1.49","0.592",NA,NA,"0.85","0.09","4.6","0.1","4.4","530","2.81",NA,NA,"0.11","92.7",NA,"39","22.4",NA,"165",NA,NA,NA,"1150","24.3",NA,"1.4","7.59","0.007",NA,NA,NA,NA,NA,NA,NA,"1.8","35.8","52.3","24.2",NA,"5.6",NA,"11.4",NA,"30",NA,NA,NA,NA,NA,"29.1",NA,NA,"3.4","500","1.99",NA,NA,"4.1","0.17",NA,"0.822","411","1.5",NA,NA,NA,"324"
"21","Z20","50.11","3.86","12.6","15.87",NA,"0.21","3.8","7.76","2.87","1.32","0.62",NA,NA,"0.38","0.035",NA,NA,NA,"594","1.1",NA,NA,"0.41","86.6",NA,"51.8","14.55",NA,"165.6","6.08","3.61","3.15",NA,NA,"9.43",NA,"16",NA,"1.23",NA,NA,NA,"41.7","8.6","0.45",NA,NA,"51.9","26",NA,NA,NA,"11.9",NA,NA,NA,NA,NA,"218.9",NA,"28","3.32","10.62",NA,"424.3",NA,"1.68",NA,NA,NA,"0.54",NA,"399.3",NA,"59.3","3.88","150","360"
"22","Z21","49.8","3.72","11.34","14.91",NA,"0.198","2.4","7.34","1.84","1.6","0.707",NA,NA,NA,NA,NA,NA,NA,"552.3",NA,NA,NA,"1.3","87",NA,NA,NA,NA,"161.5",NA,NA,NA,NA,"22.2",NA,NA,NA,NA,NA,NA,NA,NA,"36.4",NA,NA,NA,"26","34.8","23.4",NA,"6.1",NA,NA,NA,"33.2",NA,NA,NA,"289.1",NA,NA,NA,"15.8","3.5","440.1",NA,NA,NA,"3.1",NA,NA,"2.4","417.2",NA,"38.8","5.8","123.5","297.4"
"23","Z22","49.761","3.741","12.195","15.649",NA,"0.231","3.856","7.789","2.607","1.556","0.62",NA,NA,"0.928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Z23","50.665","3.818","12.423","15.698",NA,"0.219","3.994","7.944","2.671","1.543","0.632",NA,NA,"0.295",NA,NA,NA,NA,"566.3",NA,NA,NA,NA,"99.3",NA,NA,"2.3",NA,"177.7",NA,NA,NA,NA,"24.7",NA,NA,NA,NA,NA,NA,NA,NA,"48",NA,NA,NA,"29.7",NA,"21",NA,"9",NA,NA,NA,"38",NA,NA,NA,NA,NA,"29.3",NA,NA,NA,"513.3",NA,NA,NA,"4",NA,NA,NA,"386.3",NA,"45",NA,"134.3","331"
"25","Z24","51.2","3.8","13.3","15.3",NA,"0.236",NA,"7.9",NA,"1.78",NA,NA,NA,NA,NA,NA,NA,NA,"618",NA,NA,NA,"2.5","95.9",NA,NA,"82.6",NA,"192",NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,"39.9",NA,NA,NA,"25.6","51.2","22.9",NA,"2.7",NA,"11.3",NA,"38.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"532",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39.8",NA,"145","336"
"26","Z25","50.7","3.86","12.2","15.8",NA,"0.217","3.82","7.96","2.93","1.53","0.657",NA,NA,"0.48",NA,NA,NA,NA,"670",NA,NA,NA,NA,"102",NA,"45.8","4.3",NA,"160",NA,NA,NA,NA,"23.8",NA,NA,"5.8",NA,NA,NA,NA,NA,"33",NA,NA,"2.4","27.8","56","15.6",NA,NA,NA,NA,NA,"35.7",NA,NA,NA,"200",NA,"28.8",NA,NA,NA,"461",NA,NA,NA,"5.4",NA,NA,NA,"362",NA,"43",NA,"134","310"
"27","Z26","50.1","3.98","12.1","15.79",NA,"0.23","4.18","7.77",NA,"1.54","0.55",NA,NA,"0.88","14",NA,NA,"27.5","571","2.8",NA,NA,"0.6","102.9",NA,"37.7","14.5",NA,"85.7","9.7","4.9","3.6",NA,"28.8","11.5","7.8",NA,NA,"1.1",NA,NA,NA,"47.5","10.1","0.7",NA,"25.1","55.2","23.5",NA,"28.5",NA,"12.7",NA,NA,NA,NA,NA,NA,"5.4","33.2",NA,"13.1",NA,"455.7",NA,"2.6",NA,NA,NA,"0.2",NA,"457.6",NA,"48.5","4","146.8",NA
